dataset	run_id	subject_id	site	qc_status	fd	connectome_npz
ABIDE1	sub-0050002_task-rest_run-1	sub-0050002	PITT	ok	0.2	/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/connectomes/CC200/ABIDE1/sub-0050002_task-rest_run-1_atlas-CC200_fd-0.2_connectome.npz
ABIDE1	sub-0050004_task-rest_run-1	sub-0050004	PITT	ok	0.2	/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/connectomes/CC200/ABIDE1/sub-0050004_task-rest_run-1_atlas-CC200_fd-0.2_connectome.npz
ABIDE1	sub-0050005_task-rest_run-1	sub-0050005	PITT	ok	0.2	/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/connectomes/CC200/ABIDE1/sub-0050005_task-rest_run-1_atlas-CC200_fd-0.2_connectome.npz
ABIDE1	sub-0050006_task-rest_run-1	sub-0050006	PITT	ok	0.2	/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/connectomes/CC200/ABIDE1/sub-0050006_task-rest_run-1_atlas-CC200_fd-0.2_connectome.npz
ABIDE1	sub-0050007_task-rest_run-1	sub-0050007	PITT	ok	0.2	/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/connectomes/CC200/ABIDE1/sub-0050007_task-rest_run-1_atlas-CC200_fd-0.2_connectome.npz
ABIDE1	sub-0050008_task-rest_run-1	sub-0050008	PITT	ok	0.2	/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/connectomes/CC200/ABIDE1/sub-0050008_task-rest_run-1_atlas-CC200_fd-0.2_connectome.npz
ABIDE1	sub-0050011_task-rest_run-1	sub-0050011	PITT	ok	0.2	/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/connectomes/CC200/ABIDE1/sub-0050011_task-rest_run-1_atlas-CC200_fd-0.2_connectome.npz
ABIDE1	sub-0050012_task-rest_run-1	sub-0050012	PITT	ok	0.2	/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/connectomes/CC200/ABIDE1/sub-0050012_task-rest_run-1_atlas-CC200_fd-0.2_connectome.npz
ABIDE1	sub-0050014_task-rest_run-1	sub-0050014	PITT	ok	0.2	/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/connectomes/CC200/ABIDE1/sub-0050014_task-rest_run-1_atlas-CC200_fd-0.2_connectome.npz
ABIDE1	sub-0050015_task-rest_run-1	sub-0050015	PITT	ok	0.2	/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/connectomes/CC200/ABIDE1/sub-0050015_task-rest_run-1_atlas-CC200_fd-0.2_connectome.npz
ABIDE1	sub-0050016_task-rest_run-1	sub-0050016	PITT	ok	0.2	/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/connectomes/CC200/ABIDE1/sub-0050016_task-rest_run-1_atlas-CC200_fd-0.2_connectome.npz
ABIDE1	sub-0050017_task-rest_run-1	sub-0050017	PITT	ok	0.2	/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/connectomes/CC200/ABIDE1/sub-0050017_task-rest_run-1_atlas-CC200_fd-0.2_connectome.npz
ABIDE1	sub-0050020_task-rest_run-1	sub-0050020	PITT	ok	0.2	/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/connectomes/CC200/ABIDE1/sub-0050020_task-rest_run-1_atlas-CC200_fd-0.2_connectome.npz
ABIDE1	sub-0050022_task-rest_run-1	sub-0050022	PITT	ok	0.2	/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/connectomes/CC200/ABIDE1/sub-0050022_task-rest_run-1_atlas-CC200_fd-0.2_connectome.npz
ABIDE1	sub-0050023_task-rest_run-1	sub-0050023	PITT	ok	0.2	/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/connectomes/CC200/ABIDE1/sub-0050023_task-rest_run-1_atlas-CC200_fd-0.2_connectome.npz
ABIDE1	sub-0050024_task-rest_run-1	sub-0050024	PITT	ok	0.2	/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/connectomes/CC200/ABIDE1/sub-0050024_task-rest_run-1_atlas-CC200_fd-0.2_connectome.npz
ABIDE1	sub-0050025_task-rest_run-1	sub-0050025	PITT	ok	0.2	/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/connectomes/CC200/ABIDE1/sub-0050025_task-rest_run-1_atlas-CC200_fd-0.2_connectome.npz
ABIDE1	sub-0050027_task-rest_run-1	sub-0050027	PITT	ok	0.2	/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/connectomes/CC200/ABIDE1/sub-0050027_task-rest_run-1_atlas-CC200_fd-0.2_connectome.npz
ABIDE1	sub-0050029_task-rest_run-1	sub-0050029	PITT	ok	0.2	/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/connectomes/CC200/ABIDE1/sub-0050029_task-rest_run-1_atlas-CC200_fd-0.2_connectome.npz
ABIDE1	sub-0050030_task-rest_run-1	sub-0050030	PITT	ok	0.2	/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/connectomes/CC200/ABIDE1/sub-0050030_task-rest_run-1_atlas-CC200_fd-0.2_connectome.npz
ABIDE1	sub-0050031_task-rest_run-1	sub-0050031	PITT	ok	0.2	/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/connectomes/CC200/ABIDE1/sub-0050031_task-rest_run-1_atlas-CC200_fd-0.2_connectome.npz
ABIDE1	sub-0050032_task-rest_run-1	sub-0050032	PITT	ok	0.2	/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/connectomes/CC200/ABIDE1/sub-0050032_task-rest_run-1_atlas-CC200_fd-0.2_connectome.npz
