dataset,BIDS_ID,SITE_ID
ABIDE1,sub-0051456,CALTECH
ABIDE1,sub-0051457,CALTECH
ABIDE1,sub-0051458,CALTECH
ABIDE1,sub-0051459,CALTECH
ABIDE1,sub-0051460,CALTECH
ABIDE1,sub-0051461,CALTECH
ABIDE1,sub-0051462,CALTECH
ABIDE1,sub-0051463,CALTECH
ABIDE1,sub-0051464,CALTECH
ABIDE1,sub-0051465,CALTECH
ABIDE1,sub-0051466,CALTECH
ABIDE1,sub-0051467,CALTECH
ABIDE1,sub-0051468,CALTECH
ABIDE1,sub-0051469,CALTECH
ABIDE1,sub-0051470,CALTECH
ABIDE1,sub-0051471,CALTECH
ABIDE1,sub-0051472,CALTECH
ABIDE1,sub-0051473,CALTECH
ABIDE1,sub-0051474,CALTECH
ABIDE1,sub-0051475,CALTECH
ABIDE1,sub-0051476,CALTECH
ABIDE1,sub-0051477,CALTECH
ABIDE1,sub-0051478,CALTECH
ABIDE1,sub-0051479,CALTECH
ABIDE1,sub-0051480,CALTECH
ABIDE1,sub-0051481,CALTECH
ABIDE1,sub-0051482,CALTECH
ABIDE1,sub-0051483,CALTECH
ABIDE1,sub-0051484,CALTECH
ABIDE1,sub-0051485,CALTECH
ABIDE1,sub-0051486,CALTECH
ABIDE1,sub-0051487,CALTECH
ABIDE1,sub-0051488,CALTECH
ABIDE1,sub-0051489,CALTECH
ABIDE1,sub-0051490,CALTECH
ABIDE1,sub-0051491,CALTECH
ABIDE1,sub-0051492,CALTECH
ABIDE1,sub-0051493,CALTECH
ABIDE1,sub-0050642,CMU
ABIDE1,sub-0050643,CMU
ABIDE1,sub-0050644,CMU
ABIDE1,sub-0050645,CMU
ABIDE1,sub-0050646,CMU
ABIDE1,sub-0050647,CMU
ABIDE1,sub-0050648,CMU
ABIDE1,sub-0050649,CMU
ABIDE1,sub-0050650,CMU
ABIDE1,sub-0050651,CMU
ABIDE1,sub-0050652,CMU
ABIDE1,sub-0050653,CMU
ABIDE1,sub-0050654,CMU
ABIDE1,sub-0050655,CMU
ABIDE1,sub-0050656,CMU
ABIDE1,sub-0050657,CMU
ABIDE1,sub-0050658,CMU
ABIDE1,sub-0050659,CMU
ABIDE1,sub-0050660,CMU
ABIDE1,sub-0050661,CMU
ABIDE1,sub-0050663,CMU
ABIDE1,sub-0050664,CMU
ABIDE1,sub-0050665,CMU
ABIDE1,sub-0050666,CMU
ABIDE1,sub-0050667,CMU
ABIDE1,sub-0050668,CMU
ABIDE1,sub-0050669,CMU
ABIDE1,sub-0050772,KKI
ABIDE1,sub-0050773,KKI
ABIDE1,sub-0050774,KKI
ABIDE1,sub-0050775,KKI
ABIDE1,sub-0050776,KKI
ABIDE1,sub-0050777,KKI
ABIDE1,sub-0050778,KKI
ABIDE1,sub-0050779,KKI
ABIDE1,sub-0050780,KKI
ABIDE1,sub-0050781,KKI
ABIDE1,sub-0050782,KKI
ABIDE1,sub-0050783,KKI
ABIDE1,sub-0050784,KKI
ABIDE1,sub-0050785,KKI
ABIDE1,sub-0050786,KKI
ABIDE1,sub-0050787,KKI
ABIDE1,sub-0050788,KKI
ABIDE1,sub-0050789,KKI
ABIDE1,sub-0050790,KKI
ABIDE1,sub-0050791,KKI
ABIDE1,sub-0050792,KKI
ABIDE1,sub-0050793,KKI
ABIDE1,sub-0050794,KKI
ABIDE1,sub-0050795,KKI
ABIDE1,sub-0050796,KKI
ABIDE1,sub-0050797,KKI
ABIDE1,sub-0050798,KKI
ABIDE1,sub-0050799,KKI
ABIDE1,sub-0050800,KKI
ABIDE1,sub-0050801,KKI
ABIDE1,sub-0050802,KKI
ABIDE1,sub-0050803,KKI
ABIDE1,sub-0050804,KKI
ABIDE1,sub-0050805,KKI
ABIDE1,sub-0050806,KKI
ABIDE1,sub-0050807,KKI
ABIDE1,sub-0050808,KKI
ABIDE1,sub-0050809,KKI
ABIDE1,sub-0050810,KKI
ABIDE1,sub-0050811,KKI
ABIDE1,sub-0050812,KKI
ABIDE1,sub-0050813,KKI
ABIDE1,sub-0050814,KKI
ABIDE1,sub-0050815,KKI
ABIDE1,sub-0050816,KKI
ABIDE1,sub-0050817,KKI
ABIDE1,sub-0050818,KKI
ABIDE1,sub-0050819,KKI
ABIDE1,sub-0050820,KKI
ABIDE1,sub-0050821,KKI
ABIDE1,sub-0050822,KKI
ABIDE1,sub-0050823,KKI
ABIDE1,sub-0050824,KKI
ABIDE1,sub-0050825,KKI
ABIDE1,sub-0050826,KKI
ABIDE1,sub-0050682,LEUVEN_1
ABIDE1,sub-0050683,LEUVEN_1
ABIDE1,sub-0050685,LEUVEN_1
