field,field_label,pct_missing
ADOS_GOTHAM_SOCAFFECT,Gotham social affect,69.85294117647058
ADOS_GOTHAM_RRB,Gotham RRB,69.11764705882352
ADOS_GOTHAM_SEVERITY,Gotham severity,68.75
ADOS_GOTHAM_TOTAL,Gotham total,68.75
ADOS_STEREO_BEHAV,ADOS stereotyped behaviour,66.72794117647058
ADOS_COMM,ADOS communication,58.82352941176471
ADOS_SOCIAL,ADOS social,58.63970588235294
ADOS_TOTAL,ADOS total,54.595588235294116
ADOS_RSRCH_RELIABLE,ADOS research reliable,19.301470588235293
ADOS_MODULE,ADOS module,13.051470588235295
