age_group,age_label,sex_label,requirement_set,base_n,n_retained,pct_retained
child_0_9,Child (0–9),Male,FIQ only,84,74,88.0952380952381
child_0_9,Child (0–9),Male,FIQ + handedness,84,51,60.714285714285715
child_0_9,Child (0–9),Male,FIQ + ADOS total,84,33,39.285714285714285
child_0_9,Child (0–9),Male,All selected phenotypic fields,84,5,5.9523809523809526
child_0_9,Child (0–9),Female,FIQ only,20,17,85.0
child_0_9,Child (0–9),Female,FIQ + handedness,20,15,75.0
child_0_9,Child (0–9),Female,FIQ + ADOS total,20,5,25.0
child_0_9,Child (0–9),Female,All selected phenotypic fields,20,3,15.0
preteen_10_12,Preteen (10–12),Male,FIQ only,115,110,95.65217391304348
preteen_10_12,Preteen (10–12),Male,FIQ + handedness,115,92,80.0
preteen_10_12,Preteen (10–12),Male,FIQ + ADOS total,115,49,42.608695652173914
preteen_10_12,Preteen (10–12),Male,All selected phenotypic fields,115,18,15.652173913043478
preteen_10_12,Preteen (10–12),Female,FIQ only,20,20,100.0
preteen_10_12,Preteen (10–12),Female,FIQ + handedness,20,17,85.0
preteen_10_12,Preteen (10–12),Female,FIQ + ADOS total,20,8,40.0
preteen_10_12,Preteen (10–12),Female,All selected phenotypic fields,20,1,5.0
teen_13_17,Teen (13–17),Male,FIQ only,132,123,93.18181818181819
teen_13_17,Teen (13–17),Male,FIQ + handedness,132,105,79.54545454545455
teen_13_17,Teen (13–17),Male,FIQ + ADOS total,132,68,51.515151515151516
teen_13_17,Teen (13–17),Male,All selected phenotypic fields,132,20,15.151515151515152
teen_13_17,Teen (13–17),Female,FIQ only,18,16,88.88888888888889
teen_13_17,Teen (13–17),Female,FIQ + handedness,18,12,66.66666666666667
teen_13_17,Teen (13–17),Female,FIQ + ADOS total,18,6,33.333333333333336
teen_13_17,Teen (13–17),Female,All selected phenotypic fields,18,0,0.0
adult_18_plus,Adult (18+),Male,FIQ only,140,128,91.42857142857143
adult_18_plus,Adult (18+),Male,FIQ + handedness,140,108,77.14285714285714
adult_18_plus,Adult (18+),Male,FIQ + ADOS total,140,58,41.42857142857143
adult_18_plus,Adult (18+),Male,All selected phenotypic fields,140,0,0.0
adult_18_plus,Adult (18+),Female,FIQ only,15,14,93.33333333333333
adult_18_plus,Adult (18+),Female,FIQ + handedness,15,10,66.66666666666667
adult_18_plus,Adult (18+),Female,FIQ + ADOS total,15,10,66.66666666666667
adult_18_plus,Adult (18+),Female,All selected phenotypic fields,15,0,0.0
