field,field_label,diagnosis,pct_missing,n_missing,n_total
FIQ,FIQ,ASD,7.720588235294118,42,544
FIQ,FIQ,Control,6.515580736543909,46,706
RIGHT_HANDED,Right-handed,ASD,18.38235294117647,100,544
RIGHT_HANDED,Right-handed,Control,16.997167138810198,120,706
ADOS_MODULE,ADOS module,ASD,13.051470588235295,71,544
ADOS_MODULE,ADOS module,Control,99.85835694050992,705,706
ADOS_TOTAL,ADOS total,ASD,54.595588235294116,297,544
ADOS_TOTAL,ADOS total,Control,100.0,706,706
ADOS_COMM,ADOS communication,ASD,58.82352941176471,320,544
ADOS_COMM,ADOS communication,Control,100.0,706,706
ADOS_SOCIAL,ADOS social,ASD,58.63970588235294,319,544
ADOS_SOCIAL,ADOS social,Control,100.0,706,706
ADOS_STEREO_BEHAV,ADOS stereotyped behaviour,ASD,66.72794117647058,363,544
ADOS_STEREO_BEHAV,ADOS stereotyped behaviour,Control,100.0,706,706
ADOS_RSRCH_RELIABLE,ADOS research reliable,ASD,19.301470588235293,105,544
ADOS_RSRCH_RELIABLE,ADOS research reliable,Control,99.85835694050992,705,706
ADOS_GOTHAM_SOCAFFECT,Gotham social affect,ASD,69.85294117647058,380,544
ADOS_GOTHAM_SOCAFFECT,Gotham social affect,Control,100.0,706,706
ADOS_GOTHAM_RRB,Gotham RRB,ASD,69.11764705882352,376,544
ADOS_GOTHAM_RRB,Gotham RRB,Control,100.0,706,706
ADOS_GOTHAM_TOTAL,Gotham total,ASD,68.75,374,544
ADOS_GOTHAM_TOTAL,Gotham total,Control,100.0,706,706
ADOS_GOTHAM_SEVERITY,Gotham severity,ASD,68.75,374,544
ADOS_GOTHAM_SEVERITY,Gotham severity,Control,100.0,706,706
