SITE_ID,n_subjects,mean_pct_missing_clinical,pct_ados_total_missing
LEUVEN_1,14,100.0,100.0
MAX_MUN,19,92.10526315789474,84.21052631578947
ABIDEII-KKI_1,37,80.0,100.0
ABIDEII-KUL_3,23,80.0,100.0
ABIDEII-NYU_2,15,80.0,100.0
ABIDEII-OHSU_1,15,80.0,100.0
ABIDEII-GU_1,18,80.0,100.0
TRINITY,22,80.0,0.0
PITT,24,51.25,16.666666666666664
UM_1,33,50.60606060606061,100.0
YALE,22,40.45454545454545,95.45454545454545
CALTECH,18,40.0,0.0
STANFORD,16,22.5,0.0
NYU,77,12.987012987012987,0.0
UCLA_1,27,2.962962962962963,0.0
