ROI_index	Module
1	5
2	3
3	5
4	8
5	3
6	6
7	6
8	1
9	2
10	2
11	3
12	6
13	8
14	3
15	8
16	4
17	4
18	8
19	3
20	8
21	1
22	3
23	4
24	8
25	4
26	5
27	7
28	1
29	3
30	2
31	4
32	3
33	8
34	4
35	8
36	2
37	7
38	6
39	6
40	6
41	2
42	6
43	3
44	5
45	8
46	3
47	8
48	7
49	3
50	4
51	3
52	2
53	6
54	5
55	8
56	6
57	4
58	3
59	8
60	1
61	6
62	7
63	4
64	4
65	1
66	8
67	8
68	8
69	6
70	5
71	3
72	3
73	4
74	6
75	6
76	6
77	2
78	3
79	8
80	2
81	5
82	3
83	8
84	8
85	5
86	2
87	7
88	8
89	5
90	1
91	3
92	7
93	4
94	8
95	4
96	1
97	5
98	8
99	4
100	4
101	3
102	5
103	2
104	3
105	5
106	6
107	6
108	5
109	3
110	7
111	1
112	7
113	6
114	4
115	4
116	8
117	6
118	2
119	8
120	2
121	8
122	7
123	1
124	6
125	6
126	2
127	6
128	8
129	7
130	3
131	5
132	4
133	3
134	1
135	8
136	4
137	8
138	5
139	3
140	3
141	6
142	5
143	4
144	6
145	7
146	8
147	6
148	8
149	6
150	4
151	4
152	2
153	3
154	8
155	7
156	4
157	8
158	5
159	5
160	3
161	8
162	2
163	4
164	4
165	8
166	3
167	6
168	6
169	6
170	5
171	4
172	5
173	6
174	3
175	5
176	2
177	5
178	8
179	5
180	8
181	3
182	8
183	6
184	8
185	8
186	3
187	6
188	1
189	5
190	2
191	3
192	2
193	3
194	2
195	5
196	6
197	6
198	7
199	2
200	8
