ROI_index	Module
1	6
2	5
3	6
4	3
5	5
6	3
7	5
8	3
9	7
10	7
11	5
12	5
13	3
14	5
15	4
16	6
17	2
18	4
19	6
20	3
21	3
22	5
23	2
24	3
25	2
26	6
27	7
28	3
29	5
30	7
31	6
32	5
33	3
34	2
35	3
36	7
37	7
38	5
39	5
40	5
41	7
42	5
43	5
44	6
45	4
46	5
47	4
48	6
49	5
50	3
51	5
52	7
53	5
54	6
55	3
56	5
57	5
58	5
59	3
60	3
61	5
62	6
63	6
64	3
65	3
66	3
67	3
68	7
69	1
70	6
71	5
72	5
73	2
74	5
75	5
76	5
77	5
78	5
79	3
80	5
81	6
82	5
83	3
84	4
85	6
86	7
87	7
88	3
89	6
90	3
91	5
92	7
93	2
94	4
95	5
96	3
97	6
98	3
99	5
100	6
101	5
102	6
103	7
104	5
105	6
106	5
107	5
108	6
109	5
110	7
111	3
112	5
113	5
114	6
115	2
116	3
117	1
118	7
119	3
120	5
121	3
122	6
123	3
124	5
125	3
126	5
127	5
128	3
129	7
130	7
131	6
132	6
133	5
134	3
135	4
136	6
137	3
138	6
139	5
140	5
141	1
142	6
143	6
144	1
145	7
146	3
147	6
148	4
149	5
150	6
151	2
152	7
153	5
154	3
155	7
156	2
157	3
158	6
159	6
160	5
161	3
162	7
163	6
164	2
165	3
166	5
167	5
168	3
169	5
170	6
171	3
172	6
173	5
174	5
175	6
176	7
177	6
178	3
179	6
180	3
181	5
182	3
183	5
184	3
185	3
186	5
187	5
188	3
189	6
190	7
191	5
192	6
193	5
194	7
195	6
196	1
197	6
198	7
199	7
200	3
