ROI_index	Module
1	7
2	1
3	7
4	4
5	1
6	6
7	2
8	4
9	8
10	8
11	1
12	2
13	4
14	1
15	3
16	7
17	2
18	3
19	7
20	4
21	4
22	1
23	2
24	4
25	2
26	7
27	1
28	4
29	1
30	8
31	7
32	1
33	4
34	2
35	4
36	8
37	1
38	2
39	2
40	3
41	8
42	2
43	1
44	7
45	3
46	1
47	3
48	7
49	1
50	4
51	1
52	8
53	1
54	7
55	4
56	2
57	1
58	1
59	4
60	4
61	1
62	7
63	7
64	4
65	4
66	4
67	4
68	3
69	5
70	7
71	1
72	1
73	5
74	1
75	2
76	6
77	8
78	1
79	4
80	8
81	7
82	1
83	4
84	3
85	7
86	8
87	1
88	4
89	7
90	4
91	1
92	1
93	2
94	3
95	2
96	4
97	7
98	4
99	2
100	7
101	1
102	7
103	8
104	1
105	7
106	2
107	1
108	7
109	1
110	1
111	4
112	1
113	2
114	7
115	5
116	4
117	5
118	8
119	4
120	8
121	4
122	7
123	4
124	2
125	6
126	8
127	2
128	4
129	1
130	1
131	7
132	7
133	1
134	4
135	3
136	7
137	4
138	7
139	1
140	1
141	5
142	7
143	7
144	5
145	1
146	4
147	7
148	3
149	2
150	7
151	2
152	8
153	1
154	4
155	1
156	2
157	4
158	7
159	7
160	1
161	4
162	8
163	7
164	2
165	4
166	1
167	1
168	2
169	2
170	7
171	4
172	7
173	1
174	1
175	7
176	8
177	7
178	4
179	7
180	4
181	1
182	4
183	2
184	4
185	4
186	1
187	1
188	4
189	7
190	8
191	1
192	8
193	1
194	8
195	7
196	4
197	6
198	1
199	8
200	4
