ROI_index	Module
1	5
2	3
3	5
4	1
5	7
6	6
7	7
8	6
9	2
10	2
11	3
12	7
13	1
14	3
15	4
16	5
17	6
18	2
19	5
20	1
21	6
22	7
23	7
24	1
25	7
26	5
27	4
28	6
29	7
30	2
31	6
32	4
33	1
34	7
35	1
36	2
37	2
38	7
39	3
40	7
41	2
42	7
43	4
44	5
45	2
46	3
47	4
48	2
49	4
50	6
51	4
52	2
53	7
54	5
55	1
56	7
57	4
58	3
59	1
60	6
61	7
62	4
63	5
64	6
65	6
66	1
67	1
68	2
69	3
70	5
71	4
72	4
73	7
74	7
75	7
76	6
77	2
78	4
79	1
80	2
81	5
82	3
83	1
84	7
85	5
86	2
87	4
88	1
89	5
90	6
91	7
92	4
93	6
94	7
95	7
96	6
97	5
98	1
99	3
100	5
101	4
102	5
103	2
104	7
105	5
106	7
107	3
108	5
109	4
110	4
111	6
112	4
113	7
114	5
115	6
116	6
117	3
118	2
119	1
120	2
121	1
122	2
123	1
124	7
125	7
126	2
127	7
128	1
129	4
130	4
131	5
132	6
133	7
134	6
135	7
136	6
137	1
138	5
139	7
140	4
141	7
142	5
143	5
144	7
145	4
146	1
147	5
148	2
149	7
150	5
151	7
152	2
153	4
154	1
155	4
156	6
157	1
158	5
159	5
160	4
161	1
162	2
163	6
164	7
165	1
166	3
167	7
168	7
169	7
170	5
171	6
172	5
173	7
174	3
175	5
176	2
177	5
178	1
179	5
180	6
181	4
182	1
183	7
184	1
185	1
186	7
187	7
188	6
189	5
190	2
191	7
192	2
193	7
194	2
195	5
196	4
197	6
198	4
199	2
200	1
