ROI_index	Module
1	2
2	6
3	6
4	1
5	6
6	1
7	5
8	1
9	4
10	4
11	6
12	6
13	1
14	6
15	3
16	2
17	5
18	3
19	2
20	1
21	1
22	6
23	5
24	1
25	5
26	2
27	4
28	1
29	6
30	4
31	1
32	4
33	1
34	5
35	1
36	4
37	4
38	6
39	6
40	6
41	4
42	6
43	4
44	2
45	3
46	6
47	3
48	4
49	6
50	1
51	6
52	4
53	6
54	2
55	1
56	5
57	6
58	6
59	1
60	1
61	6
62	4
63	4
64	1
65	1
66	1
67	1
68	4
69	7
70	2
71	6
72	6
73	5
74	6
75	6
76	1
77	4
78	4
79	1
80	4
81	2
82	6
83	1
84	3
85	2
86	4
87	4
88	1
89	2
90	1
91	6
92	4
93	1
94	3
95	6
96	1
97	2
98	1
99	6
100	2
101	6
102	2
103	4
104	6
105	2
106	6
107	7
108	2
109	6
110	4
111	1
112	4
113	6
114	2
115	5
116	1
117	7
118	4
119	1
120	4
121	1
122	4
123	1
124	6
125	1
126	4
127	6
128	1
129	4
130	4
131	2
132	2
133	6
134	1
135	3
136	2
137	1
138	2
139	6
140	6
141	6
142	2
143	2
144	5
145	4
146	1
147	2
148	3
149	6
150	2
151	5
152	4
153	7
154	1
155	4
156	5
157	1
158	2
159	2
160	6
161	1
162	4
163	2
164	5
165	1
166	6
167	6
168	1
169	6
170	2
171	1
172	2
173	6
174	6
175	2
176	4
177	2
178	1
179	2
180	1
181	4
182	1
183	6
184	1
185	1
186	6
187	6
188	1
189	2
190	4
191	6
192	4
193	6
194	4
195	2
196	7
197	1
198	4
199	4
200	1
