sex,age_group,metric,module,beta_CTL_minus_ASD,p_uncorrected,mean_ASD,mean_CTL,n_ASD,n_CTL,p_FDR,FDR_significant
female,child,PC,1,-0.03705268153123192,0.2514698494307445,0.41081056061617277,0.38845983927623123,23,34,0.7312141334117799,False
female,child,PC,2,-0.0235476564302992,0.5109813044996284,0.44916725233849003,0.4684008390141298,23,34,0.9050373854818923,False
female,child,PC,3,0.06367094623231194,0.2611479047899214,0.4884459737973741,0.5614410944907416,23,34,0.7312141334117799,False
female,child,PC,4,0.001981534738198013,0.967353822783233,0.360756947581693,0.38150559117494753,23,34,0.967353822783233,False
female,child,PC,5,-0.012994576249734135,0.36340572690573525,0.6600509082721022,0.6389276528725878,23,34,0.8479466961133822,False
female,child,PC,6,-0.06083676490045409,0.01255983146675734,0.513397687681429,0.4534490275294182,23,34,0.17583764053460277,False
female,child,PC,7,-0.04369225074504018,0.13307779243680667,0.6854339992640689,0.6516683790549666,23,34,0.7312141334117799,False
female,child,Z,1,-0.02212322021080372,0.6473550076505814,-0.0726720232125905,-0.08852456529828039,23,34,0.9059405373382122,False
female,child,Z,2,-0.017611766639558896,0.7186849859061284,0.06349953826975412,0.04166109783113812,23,34,0.9059405373382122,False
female,child,Z,3,0.040903341577088664,0.517164220275367,0.05756536204419779,0.06419755163490942,23,34,0.9050373854818923,False
female,child,Z,4,0.01875524790173144,0.7107119379726172,-0.16132328368827778,-0.12799911506593625,23,34,0.9059405373382122,False
female,child,Z,5,0.010760413294137404,0.8486419477735557,0.07765920956092583,0.031800806805908785,23,34,0.9139220976022907,False
female,child,Z,6,0.012238269525150358,0.7765204605756104,-0.055947730894317774,-0.06939436449640587,23,34,0.9059405373382122,False
female,child,Z,7,0.13039522933676104,0.21055463220912218,-0.11021525929033062,0.05487692601471887,23,34,0.7312141334117799,False
