sex,age_group,metric,module,beta_CTL_minus_ASD,p_uncorrected,mean_ASD,mean_CTL,n_ASD,n_CTL,p_FDR,FDR_significant
female,teen_13_17,PC,1,-0.005846934535682336,0.7340100759151272,0.5292303042843189,0.5325074059304639,17,40,0.944998446998105,False
female,teen_13_17,PC,2,-0.00450561922723449,0.8970972444852596,0.4307443559036062,0.4275284063182041,17,40,0.944998446998105,False
female,teen_13_17,PC,3,-0.004936300613025563,0.8324122649076797,0.4510924780365686,0.44513040743410326,17,40,0.944998446998105,False
female,teen_13_17,PC,4,0.03890829569039445,0.4948080487200823,0.49830856918704663,0.5440889730947234,17,40,0.944998446998105,False
female,teen_13_17,PC,5,-0.00796014729976117,0.7241574394354853,0.4892815970967375,0.4898545301661006,17,40,0.944998446998105,False
female,teen_13_17,PC,6,-0.1402543408636709,0.007789112126394696,0.5066653477236375,0.37451718248513777,17,40,0.10904756976952575,False
female,teen_13_17,PC,7,0.03736427898167583,0.23135311803733136,0.44233914285527787,0.46804336852251216,17,40,0.8097359131306598,False
female,teen_13_17,Z,1,0.0028734667178889096,0.944998446998105,-0.06356709231995994,-0.05397261966707534,17,40,0.944998446998105,False
female,teen_13_17,Z,2,-0.04787769980101487,0.4360415906092152,0.07429828745284796,0.029604481531630377,17,40,0.944998446998105,False
female,teen_13_17,Z,3,0.015097380020395047,0.7843427908737524,-0.19026397511908558,-0.17972027221428116,17,40,0.944998446998105,False
female,teen_13_17,Z,4,0.15921179390104317,0.031450483806779395,-0.1348116558243319,0.01702044850862805,17,40,0.22015338664745576,False
female,teen_13_17,Z,5,0.04222872595815609,0.376131264011509,-0.020494897525130226,-0.0011070902026190433,17,40,0.944998446998105,False
female,teen_13_17,Z,6,-0.028194932835188584,0.6501190078345916,-0.039798373347446445,-0.06313409259815816,17,40,0.944998446998105,False
female,teen_13_17,Z,7,0.08016354302249004,0.11994686760043818,-0.0458248413356682,0.029344088666931757,17,40,0.5597520488020449,False
