sex,age_group,metric,module,beta_CTL_minus_ASD,p_uncorrected,mean_ASD,mean_CTL,n_ASD,n_CTL,p_FDR,FDR_significant
female,teen_13_17,PC,1,-0.023485674354773077,0.2130754236971002,0.5016864384993162,0.4730720205669911,17,39,0.49717598862656714,False
female,teen_13_17,PC,2,-0.017687706352006373,0.3861680065656321,0.59493086132213,0.5941083909418433,17,39,0.6296728945219362,False
female,teen_13_17,PC,3,0.06052856627343985,0.17132292838638494,0.4156466921762839,0.4693205921749224,17,39,0.49000320794403396,False
female,teen_13_17,PC,4,0.03285110691368798,0.3305923077859879,0.4434718868368661,0.46536302038344884,17,39,0.6296728945219362,False
female,teen_13_17,PC,5,-0.1209913151424296,0.011075112786014816,0.5083224173188298,0.3953875712341629,17,39,0.11628868425315557,False
female,teen_13_17,PC,6,-0.007009853029786784,0.8365772576066418,0.42907014476949173,0.416717370893878,17,39,0.878406120486974,False
female,teen_13_17,PC,7,-0.02967465408254013,0.14169579621956055,0.5204644780225937,0.5026619810145114,17,39,0.49000320794403396,False
female,teen_13_17,Z,1,0.030768464202309446,0.518650693015234,-0.02677148387200637,0.009827292504496854,17,39,0.6807290345824947,False
female,teen_13_17,Z,2,-0.02271328961113096,0.6344329101857868,0.02465819706560116,0.014898492034240282,17,39,0.7012153217842907,False
female,teen_13_17,Z,3,0.046731222253141365,0.3897975061326272,-0.1540294737130442,-0.12680876659598025,17,39,0.6296728945219362,False
female,teen_13_17,Z,4,0.048994391814093374,0.3131132369862895,-0.09089749731361788,-0.03484543418247023,17,39,0.6296728945219362,False
female,teen_13_17,Z,5,-0.026170265948778977,0.629092429433159,-0.11637539996489693,-0.13568762825455113,17,39,0.7012153217842907,False
female,teen_13_17,Z,6,-0.07402364995510408,0.15475404447774155,0.12188210827495286,0.05292930182897974,17,39,0.49000320794403396,False
female,teen_13_17,Z,7,0.025828262218346408,0.6025410780575915,0.0058669877148437855,0.0167726638604381,17,39,0.7012153217842907,False
female,teen_13_17,Strength,1,-0.19577614004098204,0.8830181241965543,13.321567013383302,13.381860099562504,17,39,0.8830181241965543,False
female,teen_13_17,Strength,2,-1.5506760908216883,0.18666788874058435,9.329300733514208,8.198976885132526,17,39,0.49000320794403396,False
female,teen_13_17,Strength,3,0.6145370281582438,0.42739419736484785,4.710609616548557,5.043790784933038,17,39,0.6410912960472718,False
female,teen_13_17,Strength,4,2.8937579759641543,0.005651491501264533,8.539662298881684,11.155098390774523,17,39,0.11628868425315557,False
female,teen_13_17,Strength,5,-1.2509406962543912,0.12424918291717744,6.203123538171902,4.873680975018681,17,39,0.49000320794403396,False
female,teen_13_17,Strength,6,1.1439260862416318,0.48601758883970436,14.260406584219682,14.641332068523944,17,39,0.680424624375586,False
female,teen_13_17,Strength,7,2.0939968583257285,0.107757218145915,10.283676947619716,11.460622962111794,17,39,0.49000320794403396,False
