sex,age_group,metric,module,beta_CTL_minus_ASD,p_uncorrected,mean_ASD,mean_CTL,n_ASD,n_CTL,p_FDR,FDR_significant
female,teen,PC,1,0.014442315000104403,0.659182805136515,0.3481750981310224,0.34962687587393465,17,39,0.8487184130492673,False
female,teen,PC,2,-0.010699984271901851,0.7412649399004277,0.45929807070532297,0.44961714357082627,17,39,0.8648090965504991,False
female,teen,PC,3,0.06523049127159386,0.2038246716557514,0.5004866213595915,0.5663271169150951,17,39,0.71338635079513,False
female,teen,PC,4,-0.06752131151794356,0.10530308787032641,0.4626917736355906,0.3964257536561637,17,39,0.5462795313992168,False
female,teen,PC,5,0.0037329352098227214,0.8340065566254442,0.6290025875893422,0.641828795462031,17,39,0.8981609071350938,False
female,teen,PC,6,-0.012895694300658914,0.5588838290208604,0.46209767267591484,0.4489307296056752,17,39,0.8487184130492673,False
female,teen,PC,7,0.010796191545833264,0.6668501816815672,0.6598617727448872,0.6676749375885687,17,39,0.8487184130492673,False
female,teen,Z,1,-0.040076911975557857,0.26735358790149133,-0.027913888284557202,-0.07100921126702517,17,39,0.7485900461241757,False
female,teen,Z,2,0.004644719334867955,0.9344966686519558,0.0565638150860675,0.0664423545176219,17,39,0.9344966686519558,False
female,teen,Z,3,0.04972464620746026,0.49689186357920556,0.013555365707188493,0.057801594765140296,17,39,0.8487184130492673,False
female,teen,Z,4,0.06348593577818512,0.11705989958554645,-0.14964750457790693,-0.09967638324510417,17,39,0.5462795313992168,False
female,teen,Z,5,-0.05685795654955686,0.39314581014364924,0.11166497217033294,0.040862022900693386,17,39,0.7862916202872985,False
female,teen,Z,6,-0.09217945060567811,0.025901281832127403,0.012593961513143275,-0.06568757218498575,17,39,0.36261794564978367,False
female,teen,Z,7,0.08087009661360176,0.33628043751684533,0.1341660343725382,0.20356911151160811,17,39,0.7846543542059725,False
