sex,age_group,metric,module,beta_CTL_minus_ASD,p_uncorrected,mean_ASD,mean_CTL,n_ASD,n_CTL,p_FDR,FDR_significant
male,teen_13_17,PC,1,-0.024860039166893864,0.014508699228979068,0.5103534067756783,0.4814626321299167,123,122,0.15234134190428023,False
male,teen_13_17,PC,2,-0.009509956531028853,0.3308517212091805,0.5999587736499118,0.592272003219768,123,122,0.7246482358937837,False
male,teen_13_17,PC,3,0.0156418871918237,0.40007209091277307,0.4330042275846979,0.4588806804235636,123,122,0.7406225100138956,False
male,teen_13_17,PC,4,-0.008588775458008468,0.4872242275199735,0.4882617042684374,0.47926395457688475,123,122,0.7406225100138956,False
male,teen_13_17,PC,5,-0.04293892477610182,0.0834287228176975,0.38799425040428526,0.34529549939146353,123,122,0.46960568468243324,False
male,teen_13_17,PC,6,0.007934282862977968,0.6220846414454022,0.4017205372741246,0.40577065889596875,123,122,0.8093588420638367,False
male,teen_13_17,PC,7,-0.0012696389453109391,0.9134123882628163,0.5118298634924965,0.5103423209954323,123,122,0.9134123882628163,False
male,teen_13_17,Z,1,0.026329418841909088,0.19351051872574945,-0.03105521326281269,-0.0009107179234982992,123,122,0.573744136230528,False
male,teen_13_17,Z,2,-0.01852088792706309,0.430507902918426,0.004207302545907578,-0.014334684436571684,123,122,0.7406225100138956,False
male,teen_13_17,Z,3,-0.015803301886027556,0.5380338125942508,-0.0875504782423953,-0.1049832754671747,123,122,0.7532473376319511,False
male,teen_13_17,Z,4,0.030121054659759956,0.18347475598065774,-0.04734903938368717,-0.020384460753014796,123,122,0.573744136230528,False
male,teen_13_17,Z,5,-0.018153312016171447,0.4937483400092637,-0.1217113958742623,-0.13818335530398404,123,122,0.7406225100138956,False
male,teen_13_17,Z,6,0.004503003044465436,0.8527348804562161,0.10654863960207271,0.10771221928839833,123,122,0.895371624479027,False
male,teen_13_17,Z,7,0.00841535377075583,0.6551952530992964,-0.015726308751559778,-0.013384452032838935,123,122,0.8093588420638367,False
male,teen_13_17,Strength,1,0.8668938736095172,0.08944870184427299,11.42489613595503,12.524510707628597,123,122,0.46960568468243324,False
male,teen_13_17,Strength,2,-0.546842101243367,0.21856919475448686,8.757488946567097,8.183495302607671,123,122,0.573744136230528,False
male,teen_13_17,Strength,3,-0.11635630345315767,0.8322184711745204,5.6983892390713615,5.391719747965086,123,122,0.895371624479027,False
male,teen_13_17,Strength,4,1.5938626795245103,0.0055663639520185364,10.46886377947191,11.852735463631287,123,122,0.11689364299238927,False
male,teen_13_17,Strength,5,0.548253042719262,0.3450705885208494,4.855412881355223,5.142548015195297,123,122,0.7246482358937837,False
male,teen_13_17,Strength,6,0.1992632144821557,0.7934442501733106,15.111421580006349,14.867560278498708,123,122,0.895371624479027,False
male,teen_13_17,Strength,7,0.9084440850189605,0.14471103971651036,11.157499726036631,11.723703248590322,123,122,0.573744136230528,False
