sex,age_group,metric,module,beta_CTL_minus_ASD,p_uncorrected,mean_ASD,mean_CTL,n_ASD,n_CTL,p_FDR,FDR_significant
male,young_adult,PC,1,-0.020245602745662804,0.23553915071566733,0.44466540351969003,0.4225300367194204,80,97,0.6595096220038685,False
male,young_adult,PC,2,0.04767616851181547,0.006798310707971586,0.46202724615057733,0.5107642782879303,80,97,0.0951763499116022,False
male,young_adult,PC,3,-0.002856366429650611,0.7798742029243775,0.5724943200474976,0.5682678878683092,80,97,0.9098532367451071,False
male,young_adult,PC,4,0.016483322723370383,0.1402812833911644,0.5425504537433273,0.5603784312678651,80,97,0.49098449186907545,False
male,young_adult,PC,5,0.00860172356341722,0.4629364495305085,0.5922446330760378,0.6029599933240412,80,97,0.6805948814924607,False
male,young_adult,PC,6,-0.05302618579349612,0.11528625767359774,0.40080372029051936,0.3571889854644326,80,97,0.49098449186907545,False
male,young_adult,PC,7,-0.022808082072054214,0.5347531211726477,0.40838282650263646,0.39184986729711224,80,97,0.6805948814924607,False
male,young_adult,Z,1,-0.002355375585664315,0.9159567589654822,-0.15607061361768887,-0.15966734283964457,80,97,0.9499800876693777,False
male,young_adult,Z,2,0.0016352313426638437,0.9499800876693777,0.14752981722365086,0.15442470489523108,80,97,0.9499800876693777,False
male,young_adult,Z,3,-0.016376615495354827,0.5083784354429515,-0.011656397956726627,-0.03122273536141851,80,97,0.6805948814924607,False
male,young_adult,Z,4,-0.02292634573534137,0.40195298012716196,0.0028985901881461106,-0.017255244504023222,80,97,0.6805948814924607,False
male,young_adult,Z,5,0.01640139856144652,0.5167887414863805,0.05762913092919082,0.06904670951895499,80,97,0.6805948814924607,False
male,young_adult,Z,6,-0.02276728689182805,0.4920335953743209,-0.07765439481551747,-0.10916569069056635,80,97,0.6805948814924607,False
male,young_adult,Z,7,-0.0930483047817234,0.020359454041961312,0.024599970972909557,-0.06654412963444588,80,97,0.1425161782937292,False
