scenario,age_group,metric,module,mean_ASD_male,n_ASD_male,mean_ASD_female,n_ASD_female,mean_CTL_male,n_CTL_male,mean_CTL_female,n_CTL_female,n_ASD,n_CTL,n_male,n_female,n_total,beta_DX_m1,p_DX_m1,beta_SEX_m1,p_SEX_m1,beta_DXxSEX_m1,p_DXxSEX_m1,p_SITE_m1,p_IQ_m1,p_RIGHT_HANDED_m1,note_m1,n_model_m1,n_model_ASD_m1,n_model_CTL_m1,n_model_male_m1,n_model_female_m1,n_model_ASD_male_m1,n_model_ASD_female_m1,n_model_CTL_male_m1,n_model_CTL_female_m1,beta_DX_m2,p_DX_m2,beta_SEX_m2,p_SEX_m2,beta_DXxSEX_m2,p_DXxSEX_m2,p_SITE_m2,p_IQ_m2,p_RIGHT_HANDED_m2,note_m2,n_model_m2,n_model_ASD_m2,n_model_CTL_m2,n_model_male_m2,n_model_female_m2,n_model_ASD_male_m2,n_model_ASD_female_m2,n_model_CTL_male_m2,n_model_CTL_female_m2,beta_DX_m3,p_DX_m3,beta_SEX_m3,p_SEX_m3,beta_DXxSEX_m3,p_DXxSEX_m3,p_SITE_m3,p_IQ_m3,p_RIGHT_HANDED_m3,note_m3,n_model_m3,n_model_ASD_m3,n_model_CTL_m3,n_model_male_m3,n_model_female_m3,n_model_ASD_male_m3,n_model_ASD_female_m3,n_model_CTL_male_m3,n_model_CTL_female_m3,p_DXxSEX_FDR_m1,DXxSEX_FDR_significant_m1,p_DXxSEX_FDR_m2,DXxSEX_FDR_significant_m2,p_DXxSEX_FDR_m3,DXxSEX_FDR_significant_m3
OVERALL_ageSexMatched_fd-0.2,teen_13_17,PC,1,0.8491615148993362,106,0.8469932868301946,18,0.8490124661640147,126,0.8499076645974201,42,124,168,232,60,292,-0.00011502663110087713,0.9163421208666592,-0.0013360485975856748,0.5258775834263272,0.002664032831249691,0.3039840048189813,0.0007348264952667524,,,,292,124,168,232,60,106,18,126,42,4.602388900373615e-05,0.968520830097486,-0.0017503745483834709,0.4464750967128533,0.0029195865684413912,0.2971652350299584,0.0011431733415184341,0.9892931649273519,,,271,115,156,216,55,99,16,117,39,-9.735864509166487e-05,0.9426895664033796,-0.0027464927317468334,0.3278865441067153,0.0032467299380849694,0.3366794515255644,0.009563830470966362,0.9918996211432318,0.700688272189747,,221,95,126,178,43,83,12,95,31,0.979837877149144,False,0.9265659546187947,False,0.8790505176069996,False
OVERALL_ageSexMatched_fd-0.2,teen_13_17,PC,2,0.8521717164693658,106,0.8516848348218217,18,0.8450273734579299,126,0.8512715126080979,42,124,168,232,60,292,-0.00845625489854562,0.21521403698105457,-2.0882869769853207e-05,0.9987281435358876,0.005811335990908495,0.7183288989755798,0.30210604836978666,,,,292,124,168,232,60,106,18,126,42,-0.009382051710138676,0.20196735274707936,-0.00034723385879169635,0.9808468360433923,0.007173410884551264,0.6837730058221551,0.3226699147469155,0.9835029511305394,,,271,115,156,216,55,99,16,117,39,-0.012211844176619049,0.17783159740983748,0.0012372218075714912,0.9473068146753422,0.009186805136213894,0.6836087813098095,0.4162590852331643,0.9405551645950521,0.3552142409011476,,221,95,126,178,43,83,12,95,31,0.979837877149144,False,0.9265659546187947,False,0.8790505176069996,False
OVERALL_ageSexMatched_fd-0.2,teen_13_17,PC,3,0.8410159851839276,106,0.8405480208585046,18,0.8311700856549359,126,0.8370569967298176,42,124,168,232,60,292,-0.01020231743039441,0.13318561262293616,8.870913664638103e-06,0.9994570489513035,0.005013948928465052,0.7544696933630194,0.4581120920766247,,,,292,124,168,232,60,106,18,126,42,-0.011296410311921334,0.12257248483868685,-0.0013316327358666117,0.9262205749944273,0.006896112894799449,0.6936900120837654,0.4754528882700372,0.9606065902609051,,,271,115,156,216,55,99,16,117,39,-0.013342201112500571,0.13867446344055534,0.002315369491244516,0.9009530051447854,0.0056260409588297705,0.8016714245674412,0.5793268047987996,0.9566793367145676,0.3647236443322082,,221,95,126,178,43,83,12,95,31,0.979837877149144,False,0.9265659546187947,False,0.8790505176069996,False
OVERALL_ageSexMatched_fd-0.2,teen_13_17,PC,4,0.8463017195518951,106,0.8468141960907779,18,0.8452983643102355,126,0.8451228745769922,42,124,168,232,60,292,-0.00039557015497610273,0.6391718534873755,0.0010708192617532308,0.5092794925478137,-0.001977827762575983,0.3217943224715341,0.00043934803652267464,,,,292,124,168,232,60,106,18,126,42,-0.0003038174855138076,0.7333454753785076,0.0005836826527339995,0.7397502035644079,-0.001130230181041015,0.5973107109864159,0.0004956323212591568,0.8277357162744577,,,271,115,156,216,55,99,16,117,39,-0.0004194634301541119,0.6955240872782962,0.00024124674220489122,0.913408908111725,-0.0010626644910997373,0.6907821127624225,0.007027223696004092,0.811815751411054,0.9934555918458163,,221,95,126,178,43,83,12,95,31,0.979837877149144,False,0.9265659546187947,False,0.8790505176069996,False
OVERALL_ageSexMatched_fd-0.2,teen_13_17,PC,5,0.8445990648046212,106,0.8432530547994852,18,0.8372508758252912,126,0.8441261822828183,42,124,168,232,60,292,-0.007629422404976998,0.2659920563900706,0.00020063005709722304,0.9878483577918604,0.0058617091688844825,0.7174859557577028,0.501350550465077,,,,292,124,168,232,60,106,18,126,42,-0.008337985074123953,0.2591657458386626,-0.00018191145369422573,0.9900183805276599,0.0069435148427540675,0.694924465964096,0.545027535145792,0.8323052943583958,,,271,115,156,216,55,99,16,117,39,-0.010594911470515556,0.24432170851220208,0.00308310632070544,0.8697971260375673,0.0067687726646517826,0.7650172383602719,0.6218140019561742,0.9385170863995743,0.3359722331226938,,221,95,126,178,43,83,12,95,31,0.979837877149144,False,0.9265659546187947,False,0.8790505176069996,False
OVERALL_ageSexMatched_fd-0.2,teen_13_17,PC,6,0.8420361453696353,106,0.8419922736035255,18,0.8401278981090908,126,0.8410083046461533,42,124,168,232,60,292,-0.0012147162974727264,0.2043361442912121,0.0007404596742788261,0.6869898203526426,-5.709898786801504e-05,0.979837877149144,3.5585356123403373e-06,,,,292,124,168,232,60,106,18,126,42,-0.001075700914839009,0.2894980834922411,-4.5656620328069115e-05,0.9817753388079645,0.0005299149124092014,0.8276071088269296,5.705946403454903e-06,0.8465085141998498,,,271,115,156,216,55,99,16,117,39,-0.0011252635281021877,0.33600147586220636,0.0005587764925598235,0.8173048867947625,-0.0004431063983072298,0.8790505176069996,8.774509936295663e-05,0.9851704889252811,0.1735559814916377,,221,95,126,178,43,83,12,95,31,0.979837877149144,False,0.9458366958022052,False,0.8790505176069996,False
OVERALL_ageSexMatched_fd-0.2,teen_13_17,PC,7,0.8533461660716825,106,0.8532709648241631,18,0.8462600312715876,126,0.8533739926020357,42,124,168,232,60,292,-0.008395993797417482,0.21991218180134425,0.00037297802947103276,0.9773571746177283,0.006546479073099638,0.685437207743439,0.3312666919558577,,,,292,124,168,232,60,106,18,126,42,-0.009103155608752637,0.2170635609735248,0.00044360952943226124,0.9756072414066898,0.007280184129653549,0.680255198384404,0.35192287195955246,0.9197690543253082,,,271,115,156,216,55,99,16,117,39,-0.01159890021746977,0.20168125019974742,0.0021713660650191664,0.9079032054005765,0.00928533225307176,0.6811939625222325,0.4337435391402492,0.9822557317513485,0.27693248481663135,,221,95,126,178,43,83,12,95,31,0.979837877149144,False,0.9265659546187947,False,0.8790505176069996,False
OVERALL_ageSexMatched_fd-0.2,teen_13_17,PC,8,0.8379262588755397,106,0.83784655686104,18,0.8360406972618534,126,0.8365137604450537,42,124,168,232,60,292,-0.0009740829566817211,0.4108561011630297,0.0008722785046575421,0.701574583808025,-0.0002155502524441577,0.9386113682308014,1.885134358136699e-11,,,,292,124,168,232,60,106,18,126,42,-0.0008081676506754738,0.5113514805034962,0.00047840728795032345,0.8435223585113325,-0.00016054507467609842,0.9566061741004998,1.726331431961835e-11,0.8254499526420559,,,271,115,156,216,55,99,16,117,39,-0.0012855310553211644,0.3633584802612276,-0.0006988357895487124,0.8111788168345623,0.0009767834018635025,0.7814988820071321,6.563546271813042e-10,0.9029318130431079,0.48691287726250515,,221,95,126,178,43,83,12,95,31,0.979837877149144,False,0.9566061741004998,False,0.8790505176069996,False
OVERALL_ageSexMatched_fd-0.2,teen_13_17,PC_pos,1,0.8336671296618218,106,0.8266973422112327,18,0.832123961419993,126,0.8329910445332066,42,124,168,232,60,292,-0.0028139623986311625,0.2867080357884018,-0.004881882659270476,0.33632641086957793,0.00932631084898096,0.1357337294759133,5.982748386372066e-05,,,,292,124,168,232,60,106,18,126,42,-0.0022677618990966254,0.4223430085068118,-0.005926299050120881,0.28747333019426924,0.01014364261651397,0.1352186561467662,0.0011617548854768445,0.893738120226857,,,271,115,156,216,55,99,16,117,39,-0.0025182726807591433,0.4357518565997558,-0.005772972330434997,0.3882240987948338,0.01013635504795579,0.20871563824389502,0.004204522667926893,0.8769670042335076,0.9538761917429521,,221,95,126,178,43,83,12,95,31,0.8798849907962458,False,0.8685594901033723,False,0.9609984752618538,False
OVERALL_ageSexMatched_fd-0.2,teen_13_17,PC_pos,2,0.8353333696381167,106,0.8362387666861648,18,0.8271075600766638,126,0.8340356429297331,42,124,168,232,60,292,-0.00966412754559632,0.16042935840958306,0.0018832994336501624,0.8866717517100028,0.004862964223273293,0.7647534439108257,0.1763890198797396,,,,292,124,168,232,60,106,18,126,42,-0.010493212897511425,0.1565648571301437,0.0008713255353449008,0.9522932251421679,0.00723612503285288,0.6832354692287556,0.2218581750843622,0.9015614254790855,,,271,115,156,216,55,99,16,117,39,-0.013131185027855615,0.14878449428042026,0.0010296641170568714,0.9562751339779954,0.011678046825560623,0.6056038426679275,0.3219422939432655,0.8523993986278803,0.4169513667830151,,221,95,126,178,43,83,12,95,31,0.8798849907962458,False,0.8685594901033723,False,0.9609984752618538,False
