scenario                    , age_group    , metric      , module, mean_ASD_male       , n_ASD_male, mean_ASD_female      , n_ASD_female, mean_CTL_male       , n_CTL_male, mean_CTL_female     , n_CTL_female, n_ASD, n_CTL, n_male, n_female, n_total, beta_DX_m1            , p_DX_m1              , beta_SEX_m1           , p_SEX_m1             , beta_DXxSEX_m1        , p_DXxSEX_m1           , p_SITE_m1             , p_IQ_m1, p_RIGHT_HANDED_m1, note_m1, n_model_m1, n_model_ASD_m1, n_model_CTL_m1, n_model_male_m1, n_model_female_m1, n_model_ASD_male_m1, n_model_ASD_female_m1, n_model_CTL_male_m1, n_model_CTL_female_m1, beta_DX_m2            , p_DX_m2              , beta_SEX_m2           , p_SEX_m2             , beta_DXxSEX_m2         , p_DXxSEX_m2          , p_SITE_m2             , p_IQ_m2              , p_RIGHT_HANDED_m2, note_m2, n_model_m2, n_model_ASD_m2, n_model_CTL_m2, n_model_male_m2, n_model_female_m2, n_model_ASD_male_m2, n_model_ASD_female_m2, n_model_CTL_male_m2, n_model_CTL_female_m2, beta_DX_m3            , p_DX_m3              , beta_SEX_m3          , p_SEX_m3            , beta_DXxSEX_m3        , p_DXxSEX_m3         , p_SITE_m3             , p_IQ_m3             , p_RIGHT_HANDED_m3    , note_m3, n_model_m3, n_model_ASD_m3, n_model_CTL_m3, n_model_male_m3, n_model_female_m3, n_model_ASD_male_m3, n_model_ASD_female_m3, n_model_CTL_male_m3, n_model_CTL_female_m3, p_DXxSEX_FDR_m1      , DXxSEX_FDR_significant_m1, p_DXxSEX_FDR_m2      , DXxSEX_FDR_significant_m2, p_DXxSEX_FDR_m3    , DXxSEX_FDR_significant_m3
OVERALL_ageSexMatched_fd-0.3, adult_18_plus, PC          ,      1, 0.8498064060449639  ,        140, 0.8495929284521097   ,           15, 0.8459141715733722  ,        156, 0.8510811190711177  ,           23,   155,   179,    296,       38,     334, -0.006770320332708506 , 0.2466721158701369   , 0.0011416992125610065 , 0.9307410501992281   , 0.006602500907880969  , 0.6896998137919099    , 0.05234410178439009   ,        ,                  ,        ,        334,            155,            179,             296,                38,                 140,                    15,                 156,                    23, -0.006830826446273221 , 0.24318200281484026  , 0.0008724067761671506 , 0.9471640287669432   , 0.006891202779861681   , 0.6774702701155496   , 0.05075130129568477   , 0.6347783005361507   ,                  ,        ,        334,            155,            179,             296,                38,                 140,                    15,                 156,                    23, -0.010617716852908021 , 0.1664443128258154   , 0.001716608807303649 , 0.9212402455272654  , 0.004820133709593333  , 0.8291920492451413  , 0.2098491580952055    , 0.8444519904363187  , 0.011378954787674969 ,        ,        256,            123,            133,             230,                26,                 112,                    11,                 118,                    15, 0.9912263748084389   , False                    , 0.9942718587870547   , False                    , 0.9919908124749413 , False
OVERALL_ageSexMatched_fd-0.3, adult_18_plus, PC          ,      2, 0.8519078054678915  ,        140, 0.8529759310676963   ,           15, 0.8420401779555394  ,        156, 0.8521546320907483  ,           23,   155,   179,    296,       38,     334, -0.01312400631797069  , 0.11296375884605286  , 0.004936826612636384  , 0.79062881107242     , 0.010140426322593217  , 0.6648648846089577    , 0.22325001049932372   ,        ,                  ,        ,        334,            155,            179,             296,                38,                 140,                    15,                 156,                    23, -0.013187715668784775 , 0.11182161503998876  , 0.004653277640623538  , 0.8028476145950727   , 0.010444412279698355   , 0.6561306080752348   , 0.22982214403062837   , 0.7238463712228493   ,                  ,        ,        334,            155,            179,             296,                38,                 140,                    15,                 156,                    23, -0.01828168357456979  , 0.09600233816714697  , 0.007498640624298586 , 0.7626526782123283  , 0.010877370368876024  , 0.7335373151646178  , 0.46868506513528196   , 0.9394250196131151  , 0.12112578286937203  ,        ,        256,            123,            133,             230,                26,                 112,                    11,                 118,                    15, 0.9912263748084389   , False                    , 0.9942718587870547   , False                    , 0.9919908124749413 , False
OVERALL_ageSexMatched_fd-0.3, adult_18_plus, PC          ,      3, 0.8524227393011606  ,        140, 0.8535205170255099   ,           15, 0.8489053507957084  ,        156, 0.8517097883672035  ,           23,   155,   179,    296,       38,     334, -0.00597274959129271  , 0.3047523158310841   , 0.0026355405059613965 , 0.8403673053975146   , 0.0022460946489506056 , 0.8915213405216905    , 0.03461412813728636   ,        ,                  ,        ,        334,            155,            179,             296,                38,                 140,                    15,                 156,                    23, -0.0060513002888549095, 0.2990404650140465   , 0.0022859376727808814 , 0.8615734464957936   , 0.0026208953442114005  , 0.8737702060254808   , 0.03328186505223408   , 0.5357832514601019   ,                  ,        ,        334,            155,            179,             296,                38,                 140,                    15,                 156,                    23, -0.00944762377656077  , 0.21614466717101247  , 0.0033179080131252037, 0.84782945081831    , -0.0002233415338737041, 0.9919908124749413  , 0.18265666443716896   , 0.7237634224063738  , 0.007248863087397918 ,        ,        256,            123,            133,             230,                26,                 112,                    11,                 118,                    15, 0.9912263748084389   , False                    , 0.9942718587870547   , False                    , 0.9919908124749413 , False
OVERALL_ageSexMatched_fd-0.3, adult_18_plus, PC          ,      4, 0.8418815667038063  ,        140, 0.8450577692885095   ,           15, 0.841572410497218   ,        156, 0.8437217277479473  ,           23,   155,   179,    296,       38,     334, -0.0012547812140246053, 0.20915439855877718  , 0.0020746939684027146 , 0.3558081680991492   , 0.00010216253936735226, 0.9711640964419836    , 2.5559653870551826e-06,        ,                  ,        ,        334,            155,            179,             296,                38,                 140,                    15,                 156,                    23, -0.001229117468799508 , 0.21841546729488243  , 0.0021889146986980162 , 0.330128738039401    , -2.029072778204216e-05 , 0.9942718587870547   , 3.950898861422893e-06 , 0.23806227658489126  ,                  ,        ,        334,            155,            179,             296,                38,                 140,                    15,                 156,                    23, -0.0016192001014494507, 0.2007193223074631   , 0.0031189357372025384, 0.27678281187430065 , -0.0008033646686572485, 0.8274607869342091  , 3.464680263908795e-05 , 0.22669432088289643 , 0.05139773414347216  ,        ,        256,            123,            133,             230,                26,                 112,                    11,                 118,                    15, 0.9912263748084389   , False                    , 0.9942718587870547   , False                    , 0.9919908124749413 , False
OVERALL_ageSexMatched_fd-0.3, adult_18_plus, PC          ,      5, 0.8412969097355896  ,        140, 0.8427148922317627   ,           15, 0.8418885435971247  ,        156, 0.8421732398362348  ,           23,   155,   179,    296,       38,     334, 5.559723681653958e-05 , 0.9547243068087216   , 0.00040150222449930606, 0.8554178864047741   , 3.0498575299124642e-05, 0.9912263748084389    , 1.6761779159219526e-06,        ,                  ,        ,        334,            155,            179,             296,                38,                 140,                    15,                 156,                    23, 6.712287709776874e-05 , 0.9454269263673294   , 0.00045279898724742   , 0.837522255360389    , -2.4495436527258163e-05, 0.9929660256017138   , 4.409045023565382e-06 , 0.5895722016010863   ,                  ,        ,        334,            155,            179,             296,                38,                 140,                    15,                 156,                    23, -0.0008040719463304896, 0.49839245375453683  , 0.001260679376317242 , 0.6395705197326226  , -0.0011433260806053142, 0.7413365133515453  , 9.625300350616093e-06 , 0.6297750880572393  , 0.32368036207302653  ,        ,        256,            123,            133,             230,                26,                 112,                    11,                 118,                    15, 0.9912263748084389   , False                    , 0.9942718587870547   , False                    , 0.9919908124749413 , False
OVERALL_ageSexMatched_fd-0.3, adult_18_plus, PC          ,      6, 0.8458472975085041  ,        140, 0.8477887674533606   ,           15, 0.8409093026216158  ,        156, 0.845433877274158   ,           23,   155,   179,    296,       38,     334, -0.007022113930637942 , 0.22811272003982191  , 0.003112516751552913  , 0.8121296402524268   , 0.0031808167760645004 , 0.8469796736102976    , 0.05835177558098743   ,        ,                  ,        ,        334,            155,            179,             296,                38,                 140,                    15,                 156,                    23, -0.007041054040651123 , 0.22770414496102817  , 0.003028220668554009  , 0.8175744683761061   , 0.003271188556603258   , 0.8430365789065454   , 0.059395618648280156  , 0.881446073717246    ,                  ,        ,        334,            155,            179,             296,                38,                 140,                    15,                 156,                    23, -0.010010149582703687 , 0.19091342601501934  , 0.004469377076359138 , 0.7963989210115316  , 0.0005005664482746128 , 0.9820827925695625  , 0.20661958516540616   , 0.9755739662041853  , 0.011934100626430631 ,        ,        256,            123,            133,             230,                26,                 112,                    11,                 118,                    15, 0.9912263748084389   , False                    , 0.9942718587870547   , False                    , 0.9919908124749413 , False
OVERALL_ageSexMatched_fd-0.3, adult_18_plus, PC          ,      7, 0.8391130589514637  ,        140, 0.8444531232706435   ,           15, 0.8387597257090723  ,        156, 0.8401908353801012  ,           23,   155,   179,    296,       38,     334, -0.0014079944551769214, 0.2549727692756466   , 0.0032605995137966123 , 0.24140380231235709  , -0.0022640539934051657, 0.5177989326445329    , 1.4418028897489821e-08,        ,                  ,        ,        334,            155,            179,             296,                38,                 140,                    15,                 156,                    23, -0.0013945360332385023, 0.26022135798560353  , 0.0033204984400425908 , 0.2338830985908689   , -0.002328270175516532  , 0.506802843083131    , 2.983010382552934e-08 , 0.6176241073751935   ,                  ,        ,        334,            155,            179,             296,                38,                 140,                    15,                 156,                    23, -0.0020480735388162356, 0.18411764288832486  , 0.0025304958545869227, 0.4686008441757999  , -0.001653449911104013 , 0.7127499872787513  , 1.798635111731694e-07 , 0.43465980377752145 , 0.2701821657100196   ,        ,        256,            123,            133,             230,                26,                 112,                    11,                 118,                    15, 0.9912263748084389   , False                    , 0.9942718587870547   , False                    , 0.9919908124749413 , False
OVERALL_ageSexMatched_fd-0.3, adult_18_plus, PC          ,      8, 0.8457245752714826  ,        140, 0.8478927654499946   ,           15, 0.8406265469745893  ,        156, 0.8466629467476771  ,           23,   155,   179,    296,       38,     334, -0.007971393920527961 , 0.16920393521298815  , 0.002435123926942527  , 0.8517245995122628   , 0.005143335814744486  , 0.7537973965799055    , 0.06016335396720147   ,        ,                  ,        ,        334,            155,            179,             296,                38,                 140,                    15,                 156,                    23, -0.008024405869909185 , 0.16705724082842235  , 0.0021991855040990743 , 0.8662457079655049   , 0.005396279659953228   , 0.7426082824063623   , 0.058729037615821954  , 0.6747520006623781   ,                  ,        ,        334,            155,            179,             296,                38,                 140,                    15,                 156,                    23, -0.011300806511835924 , 0.1376296412251379   , 0.002967755443836484 , 0.8631476494237594  , 0.0034210512861353806 , 0.8772860243010152  , 0.22676507043970232   , 0.8952288017189114  , 0.007579603969626398 ,        ,        256,            123,            133,             230,                26,                 112,                    11,                 118,                    15, 0.9912263748084389   , False                    , 0.9942718587870547   , False                    , 0.9919908124749413 , False
OVERALL_ageSexMatched_fd-0.3, adult_18_plus, PC_pos      ,      1, 0.8343824109768562  ,        140, 0.8331573649944043   ,           15, 0.8309770183007583  ,        156, 0.8353095737846855  ,           23,   155,   179,    296,       38,     334, -0.007473735514212104 , 0.21692029583355685  , 0.0009249924479301647 , 0.945786475384021    , 0.007549980390631164  , 0.6593031081171002    , 0.06717507922866366   ,        ,                  ,        ,        334,            155,            179,             296,                38,                 140,                    15,                 156,                    23, -0.007494320478330915 , 0.2164890138309178   , 0.000833375670483541  , 0.9512706299235797   , 0.007648200509651294   , 0.6558795301840198   , 0.06879649926991051   , 0.8760067082577522   ,                  ,        ,        334,            155,            179,             296,                38,                 140,                    15,                 156,                    23, -0.012928835664492638 , 0.09917975426102695  , -0.001939795788456794, 0.9128625621596053  , 0.010359003099204296  , 0.6498052534858155  , 0.22121066558945646   , 0.8768018954587679  , 0.02700114797111493  ,        ,        256,            123,            133,             230,                26,                 112,                    11,                 118,                    15, 0.7911251292317928   , False                    , 0.7905973416013303   , False                    , 0.7658212965206915 , False
OVERALL_ageSexMatched_fd-0.3, adult_18_plus, PC_pos      ,      2, 0.833579214185019   ,        140, 0.8328051957904951   ,           15, 0.8224848806935444  ,        156, 0.8291290049439767  ,           23,   155,   179,    296,       38,     334, -0.01621887440209679  , 0.0547864914710736   , 0.004943558969050875  , 0.794157280098324    , 0.009362806152831075  , 0.6946422635346795    , 0.24084105837980782   ,        ,                  ,        ,        334,            155,            179,             296,                38,                 140,                    15,                 156,                    23, -0.016247347195164526 , 0.0548014049740654   , 0.0048168361080970085 , 0.799808874274254    , 0.009498662650214512   , 0.6910977111921293   , 0.25801035489684865   , 0.8768537252538169   ,                  ,        ,        334,            155,            179,             296,                38,                 140,                    15,                 156,                    23, -0.022299464154957198 , 0.04454934810741472  , 0.006664383864229906 , 0.790296940089878   , 0.013740331330893904  , 0.6700936344556051  , 0.5149209368291308    , 0.9760758533859293  , 0.15063582996017358  ,        ,        256,            123,            133,             230,                26,                 112,                    11,                 118,                    15, 0.7911251292317928   , False                    , 0.7905973416013303   , False                    , 0.7658212965206915 , False
