scenario,age_group,metric,module,mean_ASD_male,n_ASD_male,mean_ASD_female,n_ASD_female,mean_CTL_male,n_CTL_male,mean_CTL_female,n_CTL_female,n_ASD,n_CTL,n_male,n_female,n_total,beta_DX_m1,p_DX_m1,beta_SEX_m1,p_SEX_m1,beta_DXxSEX_m1,p_DXxSEX_m1,p_SITE_m1,p_IQ_m1,p_RIGHT_HANDED_m1,note_m1,n_model_m1,n_model_ASD_m1,n_model_CTL_m1,n_model_male_m1,n_model_female_m1,n_model_ASD_male_m1,n_model_ASD_female_m1,n_model_CTL_male_m1,n_model_CTL_female_m1,beta_DX_m2,p_DX_m2,beta_SEX_m2,p_SEX_m2,beta_DXxSEX_m2,p_DXxSEX_m2,p_SITE_m2,p_IQ_m2,p_RIGHT_HANDED_m2,note_m2,n_model_m2,n_model_ASD_m2,n_model_CTL_m2,n_model_male_m2,n_model_female_m2,n_model_ASD_male_m2,n_model_ASD_female_m2,n_model_CTL_male_m2,n_model_CTL_female_m2,beta_DX_m3,p_DX_m3,beta_SEX_m3,p_SEX_m3,beta_DXxSEX_m3,p_DXxSEX_m3,p_SITE_m3,p_IQ_m3,p_RIGHT_HANDED_m3,note_m3,n_model_m3,n_model_ASD_m3,n_model_CTL_m3,n_model_male_m3,n_model_female_m3,n_model_ASD_male_m3,n_model_ASD_female_m3,n_model_CTL_male_m3,n_model_CTL_female_m3,p_DXxSEX_FDR_m1,DXxSEX_FDR_significant_m1,p_DXxSEX_FDR_m2,DXxSEX_FDR_significant_m2,p_DXxSEX_FDR_m3,DXxSEX_FDR_significant_m3
OVERALL_ageSexMatched_fd-0.3,child_0_9,PC,1,0.85229184107507,84,0.8543383458927046,20,0.8522178127089881,88,0.8501215074386022,57,104,145,172,77,249,-0.0007881532298793949,0.3865127029770186,0.0010287998713795334,0.4742990466142006,-0.002969300981837286,0.08696946874922516,0.05418777762682337,,,,249,104,145,172,77,84,20,88,57,-0.0014558359381142353,0.150805038504457,0.00024070601651719151,0.878214602788919,-0.0017389584759384075,0.35071933152856977,0.02670579866920285,0.6116169876025462,,,225,91,134,153,72,74,17,79,55,-9.737682877293685e-06,0.9937418346512469,0.0008334671395036345,0.6384018221994688,-0.003041682307739478,0.14732552590976164,0.06995441336028393,0.13498044649881236,0.19290313663681563,,182,66,116,118,64,51,15,67,49,0.20039170441289933,False,0.46762577537142636,False,0.2786157413360894,False
OVERALL_ageSexMatched_fd-0.3,child_0_9,PC,2,0.852668826594657,84,0.8551681284292414,20,0.8542052013115938,88,0.853233366664512,57,104,145,172,77,249,0.0004646934324961388,0.42225635289370367,0.0010619957855377276,0.2461605836496126,-0.0016989883816741639,0.12353187043750867,1.090926997116636e-06,,,,249,104,145,172,77,84,20,88,57,0.0005437050712520717,0.40009165111060324,0.0007478106756758624,0.45635979616520617,-0.0015690500079916805,0.18786701156507257,2.6266705466347817e-05,0.30127288173724437,,,225,91,134,153,72,74,17,79,55,0.0012596816140006306,0.1214374356240965,0.0010605115722383302,0.3600677219257107,-0.0019315147327181943,0.15853481953613302,0.001819199876079526,0.0853764664184086,0.6199908667310268,,182,66,116,118,64,51,15,67,49,0.20039170441289933,False,0.40547962016531064,False,0.2786157413360894,False
OVERALL_ageSexMatched_fd-0.3,child_0_9,PC,3,0.8540554004182532,84,0.8555380479010228,20,0.8545268394144379,88,0.8531771682532252,57,104,145,172,77,249,-8.470336795741271e-05,0.8950398685942969,0.0007733641653458693,0.44618171257938993,-0.0015242801052442149,0.21259789963501743,4.0276620745845214e-05,,,,249,104,145,172,77,84,20,88,57,-0.00023842278032687003,0.7392329621353252,0.0007606618566772703,0.494569553239097,-0.001429597515477442,0.27909017670750824,0.001415149947040406,0.3368715679363172,,,225,91,134,153,72,74,17,79,55,0.00037597181764725655,0.659677153025051,0.000633527445882246,0.6033939772925678,-0.0016612457517558125,0.2491094632982295,0.004059869976165604,0.1623282071665819,0.9487243839119882,,182,66,116,118,64,51,15,67,49,0.2834638661800232,False,0.4465442827320132,False,0.332145951064306,False
OVERALL_ageSexMatched_fd-0.3,child_0_9,PC,4,0.843889327282796,84,0.8460504295860062,20,0.8434364997276913,88,0.8421953239563816,57,104,145,172,77,249,-0.0015493326659794054,0.08215866256302161,0.0010887563192150354,0.4382979053875061,-0.002596449662369994,0.12524481525806208,0.002537199762990238,,,,249,104,145,172,77,84,20,88,57,-0.0015608482268205611,0.11711868999995063,0.0013194291834023905,0.393019592763089,-0.0023342760809905464,0.20273981008265532,0.0016593216444295835,0.07691713143210047,,,225,91,134,153,72,74,17,79,55,-0.0009858525243340475,0.4225016076039118,0.001083573030786575,0.5368588305183044,-0.002820373246554632,0.17413483833505589,0.004102368319998026,0.057675505136461504,0.8642300704945823,,182,66,116,118,64,51,15,67,49,0.20039170441289933,False,0.40547962016531064,False,0.2786157413360894,False
OVERALL_ageSexMatched_fd-0.3,child_0_9,PC,5,0.840275903024826,84,0.8407887597707926,20,0.839531864391967,88,0.838354255736931,57,104,145,172,77,249,-0.0024162856603262427,0.06412713610864902,-0.0017207019181023854,0.4027172383179657,0.00041310249184473767,0.8673141236445177,0.0012466475156120921,,,,249,104,145,172,77,84,20,88,57,-0.002713155170947293,0.06292275385572088,-0.0010672674164420985,0.6364943639492682,0.00018001871401197915,0.9463536642855259,0.001743246002800861,0.8353140569751994,,,225,91,134,153,72,74,17,79,55,-0.0009762139094983085,0.5731163841914214,-0.0015322305997413047,0.535771113370619,-0.000319004965116356,0.9129584057616303,0.0043297744946356005,0.1611070610914171,0.41123017699934655,,182,66,116,118,64,51,15,67,49,0.8673141236445177,False,0.9463536642855259,False,0.9129584057616303,False
OVERALL_ageSexMatched_fd-0.3,child_0_9,PC,6,0.8478786610090429,84,0.8445159516991492,20,0.8459452830199293,88,0.8465201522473599,57,104,145,172,77,249,-0.002561226499664374,0.01387045069402276,-0.00484335716447354,0.0033219931360181578,0.005649540404228741,0.00440092383682539,0.014559177979092041,,,,249,104,145,172,77,84,20,88,57,-0.0030609750796373706,0.00913805220532906,-0.005953178805626755,0.0011648248890784596,0.006817742371296179,0.001684323343175826,0.05391797656844426,0.3826669415687835,,,225,91,134,153,72,74,17,79,55,-0.0022029886339960465,0.12535707191164724,-0.005712660141657513,0.005774757325299736,0.00613500427491127,0.011835542710171343,0.281653334644734,0.40552453611229855,0.38631504697729036,,182,66,116,118,64,51,15,67,49,0.018965045094862232,True,0.013474586745406608,True,0.09468434168137074,False
OVERALL_ageSexMatched_fd-0.3,child_0_9,PC,7,0.8440421894586783,84,0.8461850942525558,20,0.8425661678054728,88,0.8381882667391611,57,104,145,172,77,249,-0.0020156592227607846,0.08578403574816316,0.001561312937800452,0.39854337738273604,-0.006335105948284037,0.004741261273715558,0.005343901519277324,,,,249,104,145,172,77,84,20,88,57,-0.002307674604288008,0.08205436969056322,0.0007611314018903862,0.7111167513802524,-0.005187976773232805,0.03409821146071704,0.009261396404501616,0.14640104674069618,,,225,91,134,153,72,74,17,79,55,-0.0014297111783188412,0.39252459515164867,0.0010601750329179958,0.656793466110342,-0.005833245470313508,0.039513659298914164,0.015272851494657047,0.13691754355499508,0.7786715242494702,,182,66,116,118,64,51,15,67,49,0.018965045094862232,True,0.13639284584286815,False,0.15805463719565666,False
OVERALL_ageSexMatched_fd-0.3,child_0_9,PC,8,0.8482474790254321,84,0.8475590025646088,20,0.8475376346931331,88,0.8471045063665394,57,104,145,172,77,249,-0.001624222766975754,0.030293213984632875,-0.0014073677613158644,0.23323017488278525,0.0006796704478848368,0.6319025073612433,0.015080067461189913,,,,249,104,145,172,77,84,20,88,57,-0.002084684418572642,0.012641809317548202,-0.0013811765452730346,0.28472983025090637,0.0011877083679072912,0.437286546659659,0.009732044212025717,0.6808342832009244,,,225,91,134,153,72,74,17,79,55,-0.0012103105383151243,0.2288117593957537,-0.0015790098459463875,0.2714242616418104,0.0008859607847239804,0.6005141772035498,0.024300866593818162,0.2542189469973619,0.420068092858282,,182,66,116,118,64,51,15,67,49,0.7221742941271352,False,0.4997560533253246,False,0.6863019168040569,False
OVERALL_ageSexMatched_fd-0.3,child_0_9,PC_pos,1,0.8362532144523284,84,0.8391481706774782,20,0.8379384382796347,88,0.8325936158125088,57,104,145,172,77,249,-0.0008233638708572396,0.7463216249485238,-0.0002818131727449968,0.9441340593399695,-0.004819182066467203,0.31984459323678843,0.22070765784422056,,,,249,104,145,172,77,84,20,88,57,-0.0028976987080398843,0.2935574934292773,-0.0013518689366361092,0.7522286204482265,-0.0027677935082443448,0.5855436865766458,0.24532545214649962,0.12225273755815695,,,225,91,134,153,72,74,17,79,55,-0.001409634321219571,0.6379243289610395,-0.0008225572398164888,0.8474724073193229,-0.003212693978232083,0.524622543493508,0.24206203016868866,0.15309184777789012,0.7231079970841628,,182,66,116,118,64,51,15,67,49,0.6396891864735769,False,0.7827794801930315,False,0.7163718740760033,False
OVERALL_ageSexMatched_fd-0.3,child_0_9,PC_pos,2,0.8331188955436074,84,0.8316121570610461,20,0.8349905349377384,88,0.8340344268530888,57,104,145,172,77,249,-0.0030525963486419607,0.25402242067228464,-0.006320431027747883,0.13543499639112044,0.0052240835316166535,0.30449490323053297,0.005828707921134779,,,,249,104,145,172,77,84,20,88,57,-0.004723976120816975,0.10913106644951653,-0.007362376318482521,0.10812844721617632,0.006903555175412732,0.20309086063190687,0.006023742825122371,0.30562494170469684,,,225,91,134,153,72,74,17,79,55,-0.00497644561823427,0.16806569781465217,-0.007990859611126664,0.12145178761151498,0.008784728106345539,0.14889604530233916,0.021184834416351092,0.3354203559550159,0.9430691362162911,,182,66,116,118,64,51,15,67,49,0.6396891864735769,False,0.7827794801930315,False,0.5955841812093566,False
