scenario,age_group,metric,module,mean_ASD_male,n_ASD_male,mean_ASD_female,n_ASD_female,mean_CTL_male,n_CTL_male,mean_CTL_female,n_CTL_female,n_ASD,n_CTL,n_male,n_female,n_total,beta_DX_m1,p_DX_m1,beta_SEX_m1,p_SEX_m1,beta_DXxSEX_m1,p_DXxSEX_m1,p_SITE_m1,p_IQ_m1,p_RIGHT_HANDED_m1,note_m1,n_model_m1,n_model_ASD_m1,n_model_CTL_m1,n_model_male_m1,n_model_female_m1,n_model_ASD_male_m1,n_model_ASD_female_m1,n_model_CTL_male_m1,n_model_CTL_female_m1,beta_DX_m2,p_DX_m2,beta_SEX_m2,p_SEX_m2,beta_DXxSEX_m2,p_DXxSEX_m2,p_SITE_m2,p_IQ_m2,p_RIGHT_HANDED_m2,note_m2,n_model_m2,n_model_ASD_m2,n_model_CTL_m2,n_model_male_m2,n_model_female_m2,n_model_ASD_male_m2,n_model_ASD_female_m2,n_model_CTL_male_m2,n_model_CTL_female_m2,beta_DX_m3,p_DX_m3,beta_SEX_m3,p_SEX_m3,beta_DXxSEX_m3,p_DXxSEX_m3,p_SITE_m3,p_IQ_m3,p_RIGHT_HANDED_m3,note_m3,n_model_m3,n_model_ASD_m3,n_model_CTL_m3,n_model_male_m3,n_model_female_m3,n_model_ASD_male_m3,n_model_ASD_female_m3,n_model_CTL_male_m3,n_model_CTL_female_m3,p_DXxSEX_FDR_m1,DXxSEX_FDR_significant_m1,p_DXxSEX_FDR_m2,DXxSEX_FDR_significant_m2,p_DXxSEX_FDR_m3,DXxSEX_FDR_significant_m3
OVERALL_ageSexMatched_fd-0.3,preteen_10_12,PC,1,0.8427936888008775,115,0.8499273886877461,20,0.8510823626273943,151,0.8504305118467036,50,135,201,266,70,336,0.0011655374892604285,0.7984461624048155,-0.00019814688346811438,0.9821672264925537,-0.0008096734090417002,0.9396600790890953,4.109687066229591e-33,,,,336,135,201,266,70,115,20,151,50,0.0012607670301247008,0.788248599284464,-6.696194851038562e-05,0.9940643449265985,-0.0008758578645971099,0.9359439235325987,5.0097433238577394e-33,0.7860240326946263,,,327,131,196,258,69,111,20,147,49,0.0012665128238047807,0.8199760567628812,-0.0012452178906692762,0.9072851560375284,0.00023759910054802326,0.9852103383417579,1.656020619966911e-27,0.8041064413592097,0.9119530203413515,,281,110,171,220,61,93,17,127,44,0.99851815428176,False,0.999446657444305,False,0.9976973197825542,False
OVERALL_ageSexMatched_fd-0.3,preteen_10_12,PC,2,0.8456714511339171,115,0.8520421656077085,20,0.8536382257646256,151,0.8532470625341072,50,135,201,266,70,336,0.00034340171703071964,0.9389418162923266,-0.0007674978298675139,0.9297637479205011,1.951240611704902e-05,0.99851815428176,5.250321409159061e-35,,,,336,135,201,266,70,115,20,151,50,0.00030934129859412976,0.9465169094090088,-0.0007727856144288236,0.9303629427262503,7.4251589918458705e-06,0.999446657444305,7.291215678708273e-35,0.9304724716230768,,,327,131,196,258,69,111,20,147,49,9.630571655902348e-05,0.9859571771695023,-0.0010378133234145673,0.9213593337757786,0.0006739601443487257,0.9573507898697389,4.68427274852282e-29,0.9382294661358764,0.9444044856703232,,281,110,171,220,61,93,17,127,44,0.99851815428176,False,0.999446657444305,False,0.9976973197825542,False
OVERALL_ageSexMatched_fd-0.3,preteen_10_12,PC,3,0.8468832783740591,115,0.8549077856110314,20,0.8543171864798085,151,0.8526109015561947,50,135,201,266,70,336,0.00010090922379139833,0.9821535859306548,0.0010481224040639892,0.904784053318368,-0.0030529034920883727,0.7727712887798003,1.7033583446201714e-34,,,,336,135,201,266,70,115,20,151,50,4.961088292549515e-05,0.9914686240723863,0.0010304318753835721,0.9078011026880453,-0.0029351607151056856,0.7852705615873682,2.2924747577150885e-34,0.9956176044563483,,,327,131,196,258,69,111,20,147,49,-0.00018926794244536634,0.9725815011742291,0.0002978467647845091,0.9775405073766278,-0.0020231883420341033,0.8732641179368612,1.2136870040486205e-28,0.9989542301377827,0.9863146112794967,,281,110,171,220,61,93,17,127,44,0.99851815428176,False,0.999446657444305,False,0.9976973197825542,False
OVERALL_ageSexMatched_fd-0.3,preteen_10_12,PC,4,0.8418024898384883,115,0.8417712080007027,20,0.8427703678309563,151,0.8427442520520024,50,135,201,266,70,336,-0.00043253336434343967,0.6843902430815898,-0.0009299884913118867,0.6527462170303466,0.00046307995472227165,0.8526688520575905,8.55393664345822e-25,,,,336,135,201,266,70,115,20,151,50,-0.0004220146471868684,0.6988561362861507,-0.00093615553235401,0.6545144332750689,0.00032522295376065206,0.8978140820402676,6.3866195550944185e-25,0.9094975404105218,,,327,131,196,258,69,111,20,147,49,-0.000704331676900031,0.5786812605288686,-0.0006584550007213445,0.7869526201354322,0.0005341635699492099,0.8548775371079262,1.4231586191307135e-21,0.9369936132126658,0.9217979265216533,,281,110,171,220,61,93,17,127,44,0.99851815428176,False,0.999446657444305,False,0.9976973197825542,False
OVERALL_ageSexMatched_fd-0.3,preteen_10_12,PC,5,0.8325901780496021,115,0.8403137186051646,20,0.8400310705169609,151,0.8400423159470618,50,135,201,266,70,336,0.0005797268038746882,0.8969992224619716,0.002021227122865857,0.8162541108644312,-0.0029146212094538562,0.7812435246722931,1.978626934185452e-34,,,,336,135,201,266,70,115,20,151,50,0.0004413432412840555,0.9236498975379659,0.001960937401544528,0.8242802029787395,-0.0029076200310692735,0.7856771391636785,2.488278427408378e-34,0.8613786050724563,,,327,131,196,258,69,111,20,147,49,8.09515288438832e-05,0.9881545899294012,0.001267529538194035,0.9036955162084584,-0.0021897520777289154,0.8615837133941644,8.83520957112699e-29,0.870278980966945,0.9872792157580683,,281,110,171,220,61,93,17,127,44,0.99851815428176,False,0.999446657444305,False,0.9976973197825542,False
OVERALL_ageSexMatched_fd-0.3,preteen_10_12,PC,6,0.8387984288545435,115,0.8448154614195917,20,0.8460279236168996,151,0.8464450896055706,50,135,201,266,70,336,-0.000216746442265478,0.9615302953201134,-0.0008631448204313719,0.9212247419288012,0.0005028883049327595,0.9619139289885403,7.601536880824809e-35,,,,336,135,201,266,70,115,20,151,50,-0.0001455023645440881,0.9748811675440259,-0.0008017783672510893,0.9279072705918865,0.0002704978872403955,0.9798858502451393,1.0268757670867272e-34,0.8676159657574515,,,327,131,196,258,69,111,20,147,49,-0.0013552965713738273,0.8041565264328294,-0.00240239541504435,0.8190359325520286,0.0022172544330705565,0.8601846706774596,3.3643815662252693e-29,0.8971790054038978,0.8341085101603273,,281,110,171,220,61,93,17,127,44,0.99851815428176,False,0.999446657444305,False,0.9976973197825542,False
OVERALL_ageSexMatched_fd-0.3,preteen_10_12,PC,7,0.8345851722490507,115,0.8397667016773352,20,0.8405481704637107,151,0.8389073905145292,50,135,201,266,70,336,-0.0014731941017128054,0.7424961215682613,-0.0024736607822870293,0.7763836773685416,0.00018834652028264232,0.9856986363230215,1.8163451723372786e-34,,,,336,135,201,266,70,115,20,151,50,-0.001661117901514438,0.7185614043019294,-0.0025899864395905288,0.7695019327979669,0.00014189136976314187,0.9894202563134987,2.2414805528856213e-34,0.9013051278956559,,,327,131,196,258,69,111,20,147,49,-0.001919234941148511,0.7252606387889131,-0.00269497110963806,0.797280787225719,0.0007074433657886108,0.9551427232186013,9.75929361577862e-29,0.9179307208645741,0.900531266749311,,281,110,171,220,61,93,17,127,44,0.99851815428176,False,0.999446657444305,False,0.9976973197825542,False
OVERALL_ageSexMatched_fd-0.3,preteen_10_12,PC,8,0.8393586763977303,115,0.846592283021732,20,0.846910821487904,151,0.8473464494154385,50,135,201,266,70,336,0.0002932212652833367,0.9470603477248116,0.0006326658479030023,0.9412015401788297,-0.0006178042182792554,0.9523983136553414,2.9323830097799973e-36,,,,336,135,201,266,70,115,20,151,50,0.0003694197073451245,0.935189445967392,0.0006814464076872785,0.9376517800683055,-0.0006554707803562675,0.9504479664292995,4.506809895141466e-36,0.9888415584010718,,,327,131,196,258,69,111,20,147,49,-0.00014548539644562258,0.9784672539383885,0.0005160630118772402,0.9602564036924887,-3.5829531585345525e-05,0.9976973197825542,4.261686627785445e-30,0.9825254249747616,0.941749698380259,,281,110,171,220,61,93,17,127,44,0.99851815428176,False,0.999446657444305,False,0.9976973197825542,False
OVERALL_ageSexMatched_fd-0.3,preteen_10_12,PC_pos,1,0.8301019766896873,115,0.8381850890510136,20,0.8361701336126348,151,0.8350483809273014,50,135,201,266,70,336,-0.0014196358611484293,0.7724649143326298,0.0005602336127322471,0.9531491037106826,-0.0032766892506566267,0.7758124045633432,4.740658661941913e-28,,,,336,135,201,266,70,115,20,151,50,-0.0012628196073184716,0.8021144901114371,0.0008215774921924652,0.9322396021119145,-0.0035047480699827663,0.7645098922856955,3.6375028985415403e-28,0.5202803880707383,,,327,131,196,258,69,111,20,147,49,-0.0018181292790531297,0.7590089047841786,-0.0023684373847929585,0.8352147208061823,8.014822875103505e-05,0.9953147019123794,8.218994361118954e-24,0.5741161038432759,0.9705670034315855,,281,110,171,220,61,93,17,127,44,0.9344767440297741,False,0.9263996477609098,False,0.9953147019123794,False
OVERALL_ageSexMatched_fd-0.3,preteen_10_12,PC_pos,2,0.8285042156451319,115,0.8361121247021138,20,0.8371362624725152,151,0.8348649188699687,50,135,201,266,70,336,0.0008432092299017722,0.8584803021075026,0.0020252303706031205,0.8254901443257502,-0.005213722193861778,0.6380873052882238,1.3199806590123345e-30,,,,336,135,201,266,70,115,20,151,50,0.0009103386734940454,0.85116426602266,0.002163735692010983,0.816103220064958,-0.005318068800741638,0.6369006851104625,1.0897381191738735e-30,0.7102071337272199,,,327,131,196,258,69,111,20,147,49,5.786759835553122e-05,0.9919119372955586,0.0011518026357344386,0.9163618579967049,-0.003440092480721885,0.7936112940229769,5.81312535376325e-26,0.7447322280949351,0.9723019546770117,,281,110,171,220,61,93,17,127,44,0.9344767440297741,False,0.9263996477609098,False,0.9953147019123794,False
