scenario,sex,age_group,metric,module,mean_ASD,mean_CTL,n_ASD,n_CTL,beta_CTL_minus_ASD_m1,p_DX_m1,p_SITE_m1,p_IQ_m1,p_RIGHT_HANDED_m1,n_model_m1,n_model_ASD_m1,n_model_CTL_m1,note_m1,beta_CTL_minus_ASD_m2,p_DX_m2,p_SITE_m2,p_IQ_m2,p_RIGHT_HANDED_m2,n_model_m2,n_model_ASD_m2,n_model_CTL_m2,note_m2,beta_CTL_minus_ASD_m3,p_DX_m3,p_SITE_m3,p_IQ_m3,p_RIGHT_HANDED_m3,n_model_m3,n_model_ASD_m3,n_model_CTL_m3,note_m3,p_DX_FDR_m1,DX_FDR_significant_m1,p_DX_FDR_m2,DX_FDR_significant_m2,p_DX_FDR_m3,DX_FDR_significant_m3
OVERALL_ageSexMatched_fd-0.2,female,adult_18_plus,PC,1,0.8484674749971,0.8501632472942059,14,22,0.0025243249292720704,0.2512615996828974,0.7663884662010163,,,36,14,22,,0.0028329504520847593,0.1728808648232864,0.3916036494115891,0.03791814794586284,,36,14,22,,0.004303839534070333,0.07866894786039232,0.9254990413157677,0.09117703543219195,0.016293267143226264,24,10,14,,0.3703342232052543,False,0.36265695189868535,False,0.38171116123515125,False
OVERALL_ageSexMatched_fd-0.2,female,adult_18_plus,PC,2,0.8524191422325939,0.8516726107190206,14,22,-0.00048031670577433627,0.7002712437356794,0.07661055429480064,,,36,14,22,,-0.0004620091392675829,0.7168399287709175,0.09010250409335147,0.8367506472167208,,36,14,22,,-0.001233858762388601,0.5047281657053995,0.3974312329123187,0.9792374372650243,0.6446732587152018,24,10,14,,0.7002712437356794,False,0.7168399287709175,False,0.5888495266562994,False
OVERALL_ageSexMatched_fd-0.2,female,adult_18_plus,PC,3,0.8447013446720099,0.8390389503703276,14,22,-0.00457928642280897,0.01739407852592598,0.0010278683118762246,,,36,14,22,,-0.004458045451772197,0.021000880301325537,0.0018579245656186677,0.3473015899453742,,36,14,22,,-0.0034853879836655305,0.22129718448058197,0.09178528939725335,0.6882248019723717,0.4301696757224958,24,10,14,,0.12175854968148186,False,0.14700616210927878,False,0.3872700728410185,False
OVERALL_ageSexMatched_fd-0.2,female,adult_18_plus,PC,4,0.8483875428718607,0.8465823881930102,14,22,-0.0013084027300480916,0.37706619329621677,0.5365331505414631,,,36,14,22,,-0.0013200726611258817,0.38308981851099755,0.6287902301777677,0.9114046813330049,,36,14,22,,-0.0007401965583096054,0.7379258792509379,0.8876579884178503,0.6989473872147026,0.4691003817244292,24,10,14,,0.4399105588455863,False,0.4469381215961638,False,0.7379258792509379,False
OVERALL_ageSexMatched_fd-0.2,female,adult_18_plus,PC,5,0.8483197314844934,0.8450173097361975,14,22,-0.0026840542920732735,0.2645244451466102,0.7249066836364664,,,36,14,22,,-0.0028043662520977064,0.24982380763974132,0.6768174752107905,0.4759002118444844,,36,14,22,,-0.003134840812508921,0.3516346543235055,0.9897703995731969,0.5571775486056896,0.3761857619280583,24,10,14,,0.3703342232052543,False,0.36265695189868535,False,0.4922885160529077,False
OVERALL_ageSexMatched_fd-0.2,female,adult_18_plus,PC,6,0.8449158321047329,0.8430653753241478,14,22,-0.001615966154959042,0.25728031592143397,0.0337329149023446,,,36,14,22,,-0.0017172384992970025,0.23022833160364292,0.08428641997800888,0.30887175975862197,,36,14,22,,-0.0030973730087542617,0.10906033178147177,0.4686666931754018,0.12094674918139932,0.9622271604421637,24,10,14,,0.3703342232052543,False,0.36265695189868535,False,0.38171116123515125,False
OVERALL_ageSexMatched_fd-0.2,female,adult_18_plus,PC,7,0.8530378154186169,0.851267759874548,14,22,-0.0017008940714227927,0.22847311110007515,0.1382104838609034,,,36,14,22,,-0.0015750782025767684,0.2590406799276324,0.13034108454694454,0.1982265228983579,,36,14,22,,-0.0022361591338243836,0.20513893871594657,0.24479781954981417,0.14652412105004317,0.9724508355147938,24,10,14,,0.3703342232052543,False,0.36265695189868535,False,0.3872700728410185,False
OVERALL_ageSexMatched_fd-0.2,female,adult_18_plus,PC_pos,1,0.8322235312566227,0.8337987447866735,14,22,0.0007361341667703747,0.8984816026074286,0.9229156905667443,,,36,14,22,,0.001025588050147852,0.8605920651037472,0.9533158827078787,0.479710246293975,,36,14,22,,0.006807740523096073,0.3498829587971454,0.8167179326271228,0.8028705959622745,0.07017128573133545,24,10,14,,0.8984816026074286,False,0.8735563691355055,False,0.8243496044367566,False
OVERALL_ageSexMatched_fd-0.2,female,adult_18_plus,PC_pos,2,0.8340009472684455,0.8280656470420585,14,22,-0.004638061777574531,0.5046013850922848,0.8554431294763317,,,36,14,22,,-0.004338646346327857,0.5381842415038028,0.8965050124424712,0.542805315585357,,36,14,22,,-0.004606489430014626,0.5888211460262548,0.49431754113383264,0.8549151797505455,0.8526465084309862,24,10,14,,0.8830524239114984,False,0.8481275507718685,False,0.8243496044367566,False
OVERALL_ageSexMatched_fd-0.2,female,adult_18_plus,PC_pos,3,0.8030247421358244,0.8023773064621395,14,22,0.0019275901596848,0.8349176436883455,0.06020340980643888,,,36,14,22,,0.0014910251745587078,0.8735563691355055,0.06526936289113383,0.5062007180262402,,36,14,22,,0.007608614054165255,0.5047956140427045,0.09586250547918063,0.379258587222728,0.5219324269774062,24,10,14,,0.8984816026074286,False,0.8735563691355055,False,0.8243496044367566,False
OVERALL_ageSexMatched_fd-0.2,female,adult_18_plus,PC_pos,4,0.829629205400794,0.8259509490435994,14,22,-0.005961338611182365,0.229136848059864,0.5153555720740322,,,36,14,22,,-0.006316467096643075,0.20399051670734802,0.48668525039973554,0.30364160575153715,,36,14,22,,0.0002805555514039382,0.9590613852871739,0.2786211430863489,0.1421242856835227,0.24903021022631616,24,10,14,,0.8019789682095241,False,0.7139668084757181,False,0.9590613852871739,False
OVERALL_ageSexMatched_fd-0.2,female,adult_18_plus,PC_pos,5,0.8223511706732175,0.820956087277299,14,22,-0.003660086988231004,0.6559871202453366,0.8089389291885021,,,36,14,22,,-0.004249244636112232,0.6058053934084775,0.76489956088986,0.3090190859082646,,36,14,22,,0.0022629630216279284,0.8357364909123398,0.8255710336772069,0.24071996857785807,0.3361042833632047,24,10,14,,0.8984816026074286,False,0.8481275507718685,False,0.9590613852871739,False
