scenario,sex,age_group,metric,module,mean_ASD,mean_CTL,n_ASD,n_CTL,beta_CTL_minus_ASD_m1,p_DX_m1,p_SITE_m1,p_IQ_m1,p_RIGHT_HANDED_m1,n_model_m1,n_model_ASD_m1,n_model_CTL_m1,note_m1,beta_CTL_minus_ASD_m2,p_DX_m2,p_SITE_m2,p_IQ_m2,p_RIGHT_HANDED_m2,n_model_m2,n_model_ASD_m2,n_model_CTL_m2,note_m2,beta_CTL_minus_ASD_m3,p_DX_m3,p_SITE_m3,p_IQ_m3,p_RIGHT_HANDED_m3,n_model_m3,n_model_ASD_m3,n_model_CTL_m3,note_m3,p_DX_FDR_m1,DX_FDR_significant_m1,p_DX_FDR_m2,DX_FDR_significant_m2,p_DX_FDR_m3,DX_FDR_significant_m3
OVERALL_ageSexMatched_fd-0.2,female,child_0_9,PC,1,0.8539169318331089,0.8489350447104931,10,49,-0.005473525135219412,0.05647085875309974,0.6936164193638574,,,59,10,49,,-0.003765141504933789,0.25447605844681126,0.5567800529769515,0.06280570003519212,,56,8,48,,-0.004319621646042524,0.28143304143495834,0.4325507201873886,0.033293027601811576,0.7058841019727823,49,7,42,,0.14267087739908021,False,0.5937774697092263,False,0.6566770966815695,False
OVERALL_ageSexMatched_fd-0.2,female,child_0_9,PC,2,0.8538427610653297,0.8524611471494259,10,49,7.364036450580036e-05,0.9509387133266255,0.0006940343876341786,,,59,10,49,,6.05788592415446e-05,0.9659667374831111,0.0051228460939733,0.7163328730828273,,56,8,48,,0.0010897642723931265,0.5359637000708829,0.013559661793456312,0.5763264667847842,0.39594651773978007,49,7,42,,0.997239276144235,False,0.9659667374831111,False,0.750349180099236,False
OVERALL_ageSexMatched_fd-0.2,female,child_0_9,PC,3,0.8443658585625474,0.8367914898932318,10,49,-0.009158184760529695,0.028731691764788993,0.25475559623226757,,,59,10,49,,-0.0064955855559716835,0.16664380157178468,0.15116527845738129,0.012769144803516246,,56,8,48,,-0.004571983518041698,0.4285972129682036,0.1371128941357859,0.021518009131568386,0.4828380403376639,49,7,42,,0.14267087739908021,False,0.5832533055012464,False,0.7500451226943563,False
OVERALL_ageSexMatched_fd-0.2,female,child_0_9,PC,4,0.8472780273647131,0.8472405981936346,10,49,-0.001181524248687546,0.5570251742778586,0.3146342594434509,,,59,10,49,,0.00021658728083068235,0.9297691865913593,0.6170461170524202,0.29325227497123796,,56,8,48,,0.003286890639578512,0.27193890755901967,0.7542226473831557,0.10883074167733932,0.08320211911834663,49,7,42,,0.779835243989002,False,0.9659667374831111,False,0.6566770966815695,False
OVERALL_ageSexMatched_fd-0.2,female,child_0_9,PC,5,0.8446314908767343,0.8463264569998175,10,49,0.004475160228116171,0.06114466174246294,0.012134398407706172,,,59,10,49,,0.005818593270663919,0.04719770814009549,0.018996771123973733,0.712134059718288,,56,8,48,,0.008882476661611207,0.015108271153718145,0.04452508791986463,0.6590998973765108,0.10406707520875767,49,7,42,,0.14267087739908021,False,0.3303839569806684,False,0.10575789807602702,False
OVERALL_ageSexMatched_fd-0.2,female,child_0_9,PC,6,0.8452874986967973,0.8414747915009837,10,49,-0.004297889237168867,0.10840383658805433,0.9844162135510204,,,59,10,49,,-0.0019354307816657479,0.5324933744007135,0.9505850770473504,0.049991597810394396,,56,8,48,,0.0007739063324072277,0.8429434015443218,0.9320916427922563,0.029636388340631304,0.2378354334157744,49,7,42,,0.18970671402909509,False,0.9318634052012488,False,0.876334106781928,False
OVERALL_ageSexMatched_fd-0.2,female,child_0_9,PC,7,0.8542704163556374,0.8528017342268668,10,49,5.052913757380706e-06,0.997239276144235,0.010043300394628106,,,59,10,49,,0.0005352061516042395,0.7557279457078959,0.012144271510927361,0.5612905106362385,,56,8,48,,0.0003028178084573928,0.876334106781928,0.0029557346323348713,0.873535527844426,0.8031783535670611,49,7,42,,0.997239276144235,False,0.9659667374831111,False,0.876334106781928,False
OVERALL_ageSexMatched_fd-0.2,female,child_0_9,PC_pos,1,0.8344370718653918,0.831841123842708,10,49,-0.0054037787540846954,0.3685102179388224,0.7214114312431955,,,59,10,49,,-0.0037828452508757993,0.5906706041749081,0.5976478534618951,0.22291499325765318,,56,8,48,,-0.0015651224671702551,0.8294034609842196,0.8338255499083517,0.38895343796912807,0.3131649725055802,49,7,42,,0.4913948499297325,False,0.6891157048707262,False,0.8496954511402696,False
OVERALL_ageSexMatched_fd-0.2,female,child_0_9,PC_pos,2,0.8276438988605321,0.8339836455413155,10,49,0.007944863839748378,0.13651700171756914,0.039995218386528156,,,59,10,49,,0.007962138693559884,0.17920385894763885,0.12711098604220336,0.16493703907476598,,56,8,48,,0.014570173898922867,0.019204780598582355,0.07746838028800491,0.20884089479914075,0.023379750372581286,49,7,42,,0.4913948499297325,False,0.4782823205055942,False,0.06721673209503824,False
OVERALL_ageSexMatched_fd-0.2,female,child_0_9,PC_pos,3,0.8016599656536864,0.7953729059318438,10,49,-0.016167503056184113,0.2908020572196308,0.9382175123203376,,,59,10,49,,-0.018694666380404235,0.2733041831460538,0.8226513750419169,0.1711979540831537,,56,8,48,,-0.008478300822174748,0.6200853737763443,0.49320643545478193,0.40911245763316806,0.1134859969155082,49,7,42,,0.4913948499297325,False,0.4782823205055942,False,0.8496954511402696,False
