scenario,sex,age_group,metric,module,mean_ASD,mean_CTL,n_ASD,n_CTL,beta_CTL_minus_ASD_m1,p_DX_m1,p_SITE_m1,p_IQ_m1,p_RIGHT_HANDED_m1,n_model_m1,n_model_ASD_m1,n_model_CTL_m1,note_m1,beta_CTL_minus_ASD_m2,p_DX_m2,p_SITE_m2,p_IQ_m2,p_RIGHT_HANDED_m2,n_model_m2,n_model_ASD_m2,n_model_CTL_m2,note_m2,beta_CTL_minus_ASD_m3,p_DX_m3,p_SITE_m3,p_IQ_m3,p_RIGHT_HANDED_m3,n_model_m3,n_model_ASD_m3,n_model_CTL_m3,note_m3,p_DX_FDR_m1,DX_FDR_significant_m1,p_DX_FDR_m2,DX_FDR_significant_m2,p_DX_FDR_m3,DX_FDR_significant_m3
OVERALL_ageSexMatched_fd-0.2,male,teen_13_17,PC,1,0.8491615148993362,0.8490124661640147,106,126,3.395758772449173e-06,0.9976415282425037,0.0037103385495827978,,,232,106,126,,0.00015594062973678597,0.8984561469931164,0.004193476785871765,0.9188283165974787,,216,99,117,,-4.590681438654552e-05,0.9740951143634919,0.020971030855990797,0.8633544876245077,0.4608266018202658,178,83,95,,0.9976415282425037,False,0.8984561469931164,False,0.9740951143634919,False
OVERALL_ageSexMatched_fd-0.2,male,teen_13_17,PC,2,0.8521717164693658,0.8450273734579299,106,126,-0.008758419458500217,0.25568536958473925,0.3889753579104649,,,232,106,126,,-0.009696180652144412,0.24235874384551712,0.40965500724826676,0.9967192603165628,,216,99,117,,-0.012506300274495287,0.219173529760474,0.4910154490446529,0.8983023090944163,0.3497942036283092,178,83,95,,0.4094076831977783,False,0.45288654321187877,False,0.48196654380561393,False
OVERALL_ageSexMatched_fd-0.2,male,teen_13_17,PC,3,0.8410159851839276,0.8311700856549359,106,126,-0.010572151366308971,0.1676695719827871,0.500960207573941,,,232,106,126,,-0.011681387375968225,0.15631458438529616,0.5165850784902948,0.9927172560427792,,216,99,117,,-0.013730269216939716,0.1743358489992937,0.6021045946107595,0.9034481210093949,0.3513042345771528,178,83,95,,0.4094076831977783,False,0.45288654321187877,False,0.48196654380561393,False
OVERALL_ageSexMatched_fd-0.2,male,teen_13_17,PC,4,0.8463017195518951,0.8452983643102355,106,126,-0.0004984134500083115,0.5775889412728216,0.006518496833287777,,,232,106,126,,-0.0003842754257949131,0.6880972366014162,0.008344656248202152,0.7509750398730212,,216,99,117,,-0.000541539973044918,0.6368397287695605,0.035758317682317166,0.6952438355080154,0.6933079355840535,178,83,95,,0.6738537648182918,False,0.8027801093683189,False,0.7429796835644873,False
OVERALL_ageSexMatched_fd-0.2,male,teen_13_17,PC,5,0.8445990648046212,0.8372508758252912,106,126,-0.008140015890148535,0.2924340594269845,0.5235215058183349,,,232,106,126,,-0.008859367839028028,0.2869352363028362,0.5582817787690847,0.8938238374732423,,216,99,117,,-0.011127345570071319,0.27540945360320795,0.6183504773839186,0.9736596238729776,0.30905856423250594,178,83,95,,0.4094076831977783,False,0.45288654321187877,False,0.48196654380561393,False
OVERALL_ageSexMatched_fd-0.2,male,teen_13_17,PC,6,0.8420361453696353,0.8401278981090908,106,126,-0.0012275344800688447,0.22841154940437747,0.0007957788652341425,,,232,106,126,,-0.0010720639200416226,0.32349038800848484,0.0011040616447758314,0.8942576745819022,,216,99,117,,-0.0011521238623778557,0.3543231332911197,0.002766601779551964,0.8708030100544482,0.08509618834073117,178,83,95,,0.4094076831977783,False,0.45288654321187877,False,0.49605238660756756,False
OVERALL_ageSexMatched_fd-0.2,male,teen_13_17,PC,7,0.8533461660716825,0.8462600312715876,106,126,-0.008808061546568534,0.25369722123871785,0.374870074411755,,,232,106,126,,-0.009541033228386446,0.2506099406289866,0.3962853693250583,0.9503388209114103,,216,99,117,,-0.012049660598695585,0.23673835694413067,0.46537170814240125,0.9274444886526575,0.2774990178103301,178,83,95,,0.4094076831977783,False,0.45288654321187877,False,0.48196654380561393,False
OVERALL_ageSexMatched_fd-0.2,male,teen_13_17,PC_pos,1,0.8336671296618218,0.832123961419993,106,126,-0.0025198228493902184,0.3406172285234513,0.0007690190278782192,,,232,106,126,,-0.0019447915775402708,0.4912432387259534,0.003767079105003318,0.9367242311908154,,216,99,117,,-0.00210304012022715,0.5108152491815692,0.011088949747277229,0.9500755970865606,0.885168950713099,178,83,95,,0.5960801499160397,False,0.703626008145199,False,0.6808100217922103,False
OVERALL_ageSexMatched_fd-0.2,male,teen_13_17,PC_pos,2,0.8353333696381167,0.8271075600766638,106,126,-0.009916927565245145,0.20123017943613308,0.3404296371343343,,,232,106,126,,-0.010692757616950266,0.1999361770186902,0.3924702750050171,0.8940194131035077,,216,99,117,,-0.013172723771270342,0.196878165198293,0.47958846075390604,0.816218066570674,0.39525980233707214,178,83,95,,0.5960801499160397,False,0.6460493502244381,False,0.5926878468206482,False
OVERALL_ageSexMatched_fd-0.2,male,teen_13_17,PC_pos,3,0.8088752208442689,0.794776735278526,106,126,-0.013906923951621285,0.09318865015868759,0.32741618103652986,,,232,106,126,,-0.015059054196943113,0.08983298355176021,0.41617013384479273,0.9395514633180491,,216,99,117,,-0.01525895462680152,0.15184517312430254,0.461433693853626,0.9658889195650507,0.36556678550493976,178,83,95,,0.5960801499160397,False,0.6288308848623215,False,0.5926878468206482,False
OVERALL_ageSexMatched_fd-0.2,male,teen_13_17,PC_pos,4,0.8281667061059896,0.8271750488822329,106,126,-0.00034004680958317317,0.8766669860512124,0.4400002009397302,,,232,106,126,,0.00026498329321288094,0.9083936038265765,0.6118417102984766,0.6868585386827295,,216,99,117,,2.3759718914866075e-05,0.9928129152908632,0.6357978340697672,0.7467248398699649,0.651328451592786,178,83,95,,0.8766669860512124,False,0.9083936038265765,False,0.9928129152908632,False
