scenario,sex,age_group,metric,module,mean_ASD,mean_CTL,n_ASD,n_CTL,beta_CTL_minus_ASD_m1,p_DX_m1,p_SITE_m1,p_IQ_m1,p_RIGHT_HANDED_m1,n_model_m1,n_model_ASD_m1,n_model_CTL_m1,note_m1,beta_CTL_minus_ASD_m2,p_DX_m2,p_SITE_m2,p_IQ_m2,p_RIGHT_HANDED_m2,n_model_m2,n_model_ASD_m2,n_model_CTL_m2,note_m2,beta_CTL_minus_ASD_m3,p_DX_m3,p_SITE_m3,p_IQ_m3,p_RIGHT_HANDED_m3,n_model_m3,n_model_ASD_m3,n_model_CTL_m3,note_m3,p_DX_FDR_m1,DX_FDR_significant_m1,p_DX_FDR_m2,DX_FDR_significant_m2,p_DX_FDR_m3,DX_FDR_significant_m3
OVERALL_ageSexMatched_fd-0.3,male,adult_18_plus,PC,1,0.8498064060449639,0.8459141715733722,140,156,-0.0072153168921462,0.24198961004978753,0.030596754766406196,,,296,140,156,,-0.007202010710051828,0.2437771184088331,0.03146134170600407,0.9043494958892067,,296,140,156,,-0.01156020604684034,0.15122971589968104,0.15397437309336443,0.6862140770922834,0.011874756707287845,230,112,118,,0.3488491717234134,False,0.3490618701935947,False,0.23587814998650347,False
OVERALL_ageSexMatched_fd-0.3,male,adult_18_plus,PC,2,0.8519078054678915,0.8420401779555394,140,156,-0.013770584784050056,0.11608073691983428,0.16774213838098337,,,296,140,156,,-0.013771065653147348,0.11679072635883074,0.17753312846713662,0.997559174358668,,296,140,156,,-0.01932467446895037,0.09526305763981215,0.4201749621557694,0.7803996307559238,0.15864605746248547,230,112,118,,0.3488491717234134,False,0.3490618701935947,False,0.23587814998650347,False
OVERALL_ageSexMatched_fd-0.3,male,adult_18_plus,PC,3,0.8524227393011606,0.8489053507957084,140,156,-0.006383296646405131,0.29901357576292575,0.023153281688099835,,,296,140,156,,-0.006393449800085656,0.29919588873736686,0.024601437843335256,0.9267188816386783,,296,140,156,,-0.010248341983387255,0.20218127141700296,0.15612126234277707,0.8572301616795237,0.009894933407424715,230,112,118,,0.3488491717234134,False,0.3490618701935947,False,0.23587814998650347,False
OVERALL_ageSexMatched_fd-0.3,male,adult_18_plus,PC,4,0.8418815667038063,0.841572410497218,140,156,-0.001330250738990322,0.2021971999534174,1.0966843473836889e-05,,,296,140,156,,-0.0013044272020223367,0.21039053248642497,1.004029422400475e-05,0.16712833496129625,,296,140,156,,-0.0017284196333218933,0.18966999294037593,4.656283482408023e-05,0.18799993774841856,0.056823740729121525,230,112,118,,0.3488491717234134,False,0.3490618701935947,False,0.23587814998650347,False
OVERALL_ageSexMatched_fd-0.3,male,adult_18_plus,PC,5,0.8412969097355896,0.8418885435971247,140,156,-1.7148307319771877e-05,0.9864592485080422,7.61067025461848e-05,,,296,140,156,,5.133723683024144e-06,0.9959429810716874,0.00012551599615925465,0.21933314338661464,,296,140,156,,-0.0009961037345341088,0.4154635487686899,6.40088864501304e-05,0.24062784715047159,0.1650032118345669,230,112,118,,0.9864592485080422,False,0.9959429810716874,False,0.4154635487686899,False
OVERALL_ageSexMatched_fd-0.3,male,adult_18_plus,PC,6,0.8458472975085041,0.8409093026216158,140,156,-0.007416367293797195,0.22761424548246026,0.034961150069416476,,,296,140,156,,-0.007379321259775494,0.23076584531839264,0.03491317422334475,0.7370933637435853,,296,140,156,,-0.010874029959815425,0.17588565200145814,0.14806678699993175,0.5872543211957786,0.014062165135465717,230,112,118,,0.3488491717234134,False,0.3490618701935947,False,0.23587814998650347,False
OVERALL_ageSexMatched_fd-0.3,male,adult_18_plus,PC,7,0.8391130589514637,0.8387597257090723,140,156,-0.0014279452401918698,0.2705141981316601,1.378098017150058e-06,,,296,140,156,,-0.0014107332071530976,0.2767912366976352,1.935221377986678e-06,0.4593312639857727,,296,140,156,,-0.0021404914840026986,0.18313053256265943,2.5909450705122257e-06,0.3109068836638496,0.18972023729414292,230,112,118,,0.3488491717234134,False,0.3490618701935947,False,0.23587814998650347,False
OVERALL_ageSexMatched_fd-0.3,male,adult_18_plus,PC_pos,1,0.8343824109768562,0.8309770183007583,140,156,-0.007907053373544786,0.21409358826312921,0.0399570903424378,,,296,140,156,,-0.007858472954031644,0.21767294141509103,0.039209997855616185,0.6706608030897983,,296,140,156,,-0.013878991522992922,0.09075619962277078,0.16045736601824193,0.6807426496638103,0.023322551757100525,230,112,118,,0.26834373619536456,False,0.2712332837384449,False,0.12705867947187907,False
OVERALL_ageSexMatched_fd-0.3,male,adult_18_plus,PC_pos,2,0.833579214185019,0.8224848806935444,140,156,-0.01690570777584133,0.05812596627279805,0.23456656466644366,,,296,140,156,,-0.01687057684432534,0.059124952262548595,0.2489359210713678,0.8260795005242341,,296,140,156,,-0.023230741965796456,0.047260004149119114,0.5659276507742201,0.7868234496863465,0.18109810385099512,230,112,118,,0.1355515543805418,False,0.13795822194594673,False,0.10349765181125149,False
OVERALL_ageSexMatched_fd-0.3,male,adult_18_plus,PC_pos,3,0.8338330358831109,0.8318927321491147,140,156,-0.007569169225303048,0.2300089167388839,0.04376371304547314,,,296,140,156,,-0.007543217180247606,0.23248567177580992,0.044655957056572465,0.8186921437811396,,296,140,156,,-0.011071895095003018,0.17658397174192533,0.2278464104805269,0.8793848069422331,0.011109403655339715,230,112,118,,0.26834373619536456,False,0.2712332837384449,False,0.17658397174192533,False
OVERALL_ageSexMatched_fd-0.3,male,adult_18_plus,PC_pos,4,0.8215431032905491,0.8186529957204659,140,156,-0.00711729229944397,0.0015430322063129723,3.9726085228402005e-05,,,296,140,156,,-0.007053324384090946,0.0016511461669670568,2.566022601264066e-05,0.10932916510466786,,296,140,156,,-0.007858525741701317,0.003894815144338334,0.0001367632956179256,0.5322950651500306,0.300314840626264,230,112,118,,0.010801225444190807,True,0.011558023168769398,True,0.015711349140674576,True
OVERALL_ageSexMatched_fd-0.3,male,adult_18_plus,PC_pos,5,0.816547330411749,0.8170551094066113,140,156,-0.0024882198682195378,0.36460352988402894,0.05833864658072044,,,296,140,156,,-0.002417215499651057,0.37756760373201786,0.03871852160144808,0.14905980203544533,,296,140,156,,-0.004511240481538243,0.1647513635406123,0.043629270523437846,0.48143824205336216,0.5118923958339158,230,112,118,,0.36460352988402894,False,0.37756760373201786,False,0.17658397174192533,False
OVERALL_ageSexMatched_fd-0.3,male,adult_18_plus,PC_pos,6,0.8245561897565555,0.8166276009352448,140,156,-0.01200182450468382,0.07745803107459531,0.054129694659618595,,,296,140,156,,-0.011933397751847673,0.079576075508601,0.051468246977742535,0.5743382912754403,,296,140,156,,-0.016396188789611035,0.059141515320715134,0.10432231915278244,0.4923703107192207,0.010960650264591455,230,112,118,,0.1355515543805418,False,0.13925813214005175,False,0.10349765181125149,False
OVERALL_ageSexMatched_fd-0.3,male,adult_18_plus,PC_pos,7,0.802673923023465,0.8013933192201939,140,156,-0.009292174761059636,0.020932222930524012,1.6463341834007864e-11,,,296,140,156,,-0.009166285592078039,0.022233028772475308,8.035589159680043e-12,0.07951686922145632,,296,140,156,,-0.0137100184121478,0.004488956897335593,5.885593390389041e-11,0.10380043120705341,0.6425761616157804,230,112,118,,0.07326278025683405,False,0.07781560070366358,False,0.015711349140674576,True
OVERALL_ageSexMatched_fd-0.3,male,adult_18_plus,PC_neg,1,0.7021621030695405,0.6947309989263999,140,156,-0.003003906164621553,0.8463013693073158,2.6378524039926786e-05,,,296,140,156,,-0.0033205683656899257,0.8302714762353289,1.7691177136733914e-05,0.2551323548483342,,296,140,156,,-0.007205539631373294,0.7190226712563128,0.018471538995870368,0.742063748730698,0.9788989176994816,230,112,118,,0.8463013693073158,False,0.8303939069869466,False,0.76665627823136,False
OVERALL_ageSexMatched_fd-0.3,male,adult_18_plus,PC_neg,2,0.7300663906272756,0.7381520651351977,140,156,0.012006405853359357,0.36947222398574586,4.616342359382377e-07,,,296,140,156,,0.011765186514631609,0.3792217824741714,3.559366342250439e-07,0.31510005649696143,,296,140,156,,0.01453050368275013,0.4053394729418778,0.0003338999133189585,0.8213796379585181,0.8307775062687214,230,112,118,,0.8148484999748219,False,0.8303939069869466,False,0.76665627823136,False
OVERALL_ageSexMatched_fd-0.3,male,adult_18_plus,PC_neg,3,0.7352049881258234,0.738117941508177,140,156,0.014232640748688151,0.310940042122482,0.0004324604890074397,,,296,140,156,,0.014073792505097521,0.3169698554636481,0.000608475761732798,0.5288018678616723,,296,140,156,,0.014673658541585867,0.42271135285183886,0.010196493772212574,0.8664894404925622,0.667268886943191,230,112,118,,0.8148484999748219,False,0.8303939069869466,False,0.76665627823136,False
OVERALL_ageSexMatched_fd-0.3,male,adult_18_plus,PC_neg,4,0.7305023591706554,0.734749952048702,140,156,0.012433348920960062,0.3462404685774239,6.12997418411264e-05,,,296,140,156,,0.012169497636739659,0.3564213869531191,5.4236538757921e-05,0.26529469168865716,,296,140,156,,0.013698954842923716,0.42036041891521864,0.044500570711865806,0.8203572110862419,0.8585475795164587,230,112,118,,0.8148484999748219,False,0.8303939069869466,False,0.76665627823136,False
OVERALL_ageSexMatched_fd-0.3,male,adult_18_plus,PC_neg,5,0.7099853218051818,0.7116849512959909,140,156,0.003157193068475183,0.8162096858862737,0.0010258814217348259,,,296,140,156,,0.0029099019613168763,0.8303939069869466,0.0007917989635619003,0.3107750093092823,,296,140,156,,0.006077539575730991,0.7235270106333954,0.07188941599136152,0.6729762306242008,0.16721353717940488,230,112,118,,0.8463013693073158,False,0.8303939069869466,False,0.76665627823136,False
OVERALL_ageSexMatched_fd-0.3,male,adult_18_plus,PC_neg,6,0.7137114650691867,0.7166852114674782,140,156,0.007766877946920027,0.5786112685613497,0.0004015572620831786,,,296,140,156,,0.007549197152031249,0.589523866498921,0.00045998683246195496,0.3861147358230965,,296,140,156,,0.009640494174838522,0.5948715003972403,0.007993694754399077,0.8955999947214855,0.9970108983680857,230,112,118,,0.8148484999748219,False,0.8303939069869466,False,0.76665627823136,False
