scenario,sex,age_group,metric,module,mean_ASD,mean_CTL,n_ASD,n_CTL,beta_CTL_minus_ASD_m1,p_DX_m1,p_SITE_m1,p_IQ_m1,p_RIGHT_HANDED_m1,n_model_m1,n_model_ASD_m1,n_model_CTL_m1,note_m1,beta_CTL_minus_ASD_m2,p_DX_m2,p_SITE_m2,p_IQ_m2,p_RIGHT_HANDED_m2,n_model_m2,n_model_ASD_m2,n_model_CTL_m2,note_m2,beta_CTL_minus_ASD_m3,p_DX_m3,p_SITE_m3,p_IQ_m3,p_RIGHT_HANDED_m3,n_model_m3,n_model_ASD_m3,n_model_CTL_m3,note_m3,p_DX_FDR_m1,DX_FDR_significant_m1,p_DX_FDR_m2,DX_FDR_significant_m2,p_DX_FDR_m3,DX_FDR_significant_m3
OVERALL_ageSexMatched_fd-0.3,male,child_0_9,PC,1,0.85229184107507,0.8522178127089881,84,88,-0.0006956486480694628,0.45607265720976986,0.34922881005070955,,,172,84,88,,-0.001666911614997363,0.11694949705564102,0.27470894428272646,0.6188312629821777,,153,74,79,,-0.00026893414941327415,0.8388248027261267,0.4081722707688168,0.7322343899665363,0.030370786719556172,118,51,67,,0.5625951678294606,False,0.16372929587789742,False,0.8388248027261267,False
OVERALL_ageSexMatched_fd-0.3,male,child_0_9,PC,2,0.852668826594657,0.8542052013115938,84,88,0.00043601203182427536,0.48222442956810907,0.0008988078508468874,,,172,84,88,,0.0005651940891925084,0.42824379277705127,0.0019500926608581133,0.39937407032749,,153,74,79,,0.0012883539000127342,0.16446798758081543,0.03477357403827651,0.12100479929624958,0.37294340054519204,118,51,67,,0.5625951678294606,False,0.4996177582398932,False,0.3837586376885694,False
OVERALL_ageSexMatched_fd-0.3,male,child_0_9,PC,3,0.8540554004182532,0.8545268394144379,84,88,-0.00019634136227378134,0.7691648875541468,0.0004895787504117579,,,172,84,88,,-0.00037073894310912385,0.6282995219301722,0.008236980475298883,0.36024708558271235,,153,74,79,,0.0005505243118395189,0.5561733657027128,0.032643208522410705,0.09804997512441689,0.9242567102806581,118,51,67,,0.7691648875541468,False,0.6282995219301722,False,0.7437131092347568,False
OVERALL_ageSexMatched_fd-0.3,male,child_0_9,PC,4,0.843889327282796,0.8434364997276913,84,88,-0.001744139336494678,0.050280082519574366,0.00029158840742375463,,,172,84,88,,-0.001975894109969813,0.05443559047344307,0.0008781827846426869,0.22893851603344098,,153,74,79,,-0.001460778071114997,0.25601815690182267,0.005881469285354171,0.3611381140158095,0.6985472101284833,118,51,67,,0.10821109164674778,False,0.09526228332852538,False,0.4480317745781897,False
OVERALL_ageSexMatched_fd-0.3,male,child_0_9,PC,5,0.840275903024826,0.839531864391967,84,88,-0.002477926638037635,0.061834909512427295,0.0015209628234745722,,,172,84,88,,-0.0029930985703571934,0.049845382520988225,0.0029552934657133888,0.8997324361573242,,153,74,79,,-0.0008675088001002622,0.6374683793440772,0.00826445194254026,0.3556851631504427,0.8205114636046716,118,51,67,,0.10821109164674778,False,0.09526228332852538,False,0.7437131092347568,False
OVERALL_ageSexMatched_fd-0.3,male,child_0_9,PC,6,0.8478786610090429,0.8459452830199293,84,88,-0.003028020088002868,0.004296508895910929,0.2147002566255973,,,172,84,88,,-0.0033375047382114826,0.006265309091527314,0.3532005561505749,0.9797520513401616,,153,74,79,,-0.0025924573762608825,0.08507134712767186,0.898403691486852,0.8106930361744109,0.8335965920413763,118,51,67,,0.030075562271376505,True,0.02484539458662069,True,0.29774971494685154,False
OVERALL_ageSexMatched_fd-0.3,male,child_0_9,PC,7,0.8440421894586783,0.8425661678054728,84,88,-0.0023251352470416223,0.027392167350892897,0.002890626231220839,,,172,84,88,,-0.003294680394139769,0.007098684167605911,0.014828377519197949,0.6731290907206682,,153,74,79,,-0.0028006682122978187,0.07703392688333613,0.037773300433585,0.7498382930437842,0.49992472773635815,118,51,67,,0.09587258572812514,False,0.02484539458662069,True,0.29774971494685154,False
OVERALL_ageSexMatched_fd-0.3,male,child_0_9,PC_pos,1,0.8362532144523284,0.8379384382796347,84,88,-0.0010029093855384308,0.7121088707665318,0.20205604301805924,,,172,84,88,,-0.003936462094160755,0.18656443250503185,0.1788867767297597,0.02194568986866492,,153,74,79,,-0.0022068447446777916,0.498319331685405,0.06272127182123349,0.03905004410947763,0.11010881526154517,118,51,67,,0.7917203095613475,False,0.43531700917840765,False,0.5813725536329725,False
OVERALL_ageSexMatched_fd-0.3,male,child_0_9,PC_pos,2,0.8331188955436074,0.8349905349377384,84,88,-0.003032263075218408,0.2745392672953018,0.019718687191753983,,,172,84,88,,-0.0054323904832239015,0.08574621904607727,0.014104540703666653,0.08482816001870996,,153,74,79,,-0.005869095182427451,0.14948004330940234,0.052662531135751554,0.1117516609883284,0.3071758778287939,118,51,67,,0.6405916236890375,False,0.30011176666127043,False,0.5231801515829082,False
OVERALL_ageSexMatched_fd-0.3,male,child_0_9,PC_pos,3,0.8355059415608486,0.8383777638551438,84,88,0.003173093769247003,0.1789137647790357,0.21003822205865316,,,172,84,88,,0.001622226709303923,0.5463048151054115,0.2554964215229132,0.4940512813091638,,153,74,79,,0.002298420057352623,0.49049274518940933,0.25091002807015117,0.45712620427145306,0.452627443222945,118,51,67,,0.626198176726625,False,0.6373556176229801,False,0.5813725536329725,False
OVERALL_ageSexMatched_fd-0.3,male,child_0_9,PC_pos,4,0.8189413998195628,0.8211564298479168,84,88,-0.0007439226595479104,0.7917203095613475,0.021699533783545062,,,172,84,88,,-0.0012684981863295248,0.6953038882459472,0.07053474231246991,0.6753130344996862,,153,74,79,,-0.0028505956309294294,0.4209475168911628,0.025414398239672478,0.18266690567701918,0.3706978842290301,118,51,67,,0.7917203095613475,False,0.6953038882459472,False,0.5813725536329725,False
OVERALL_ageSexMatched_fd-0.3,male,child_0_9,PC_pos,5,0.8074574923939437,0.8094561681532042,84,88,-0.003478473651543426,0.48767896721948467,0.09097078075446573,,,172,84,88,,-0.004227369727889016,0.470476081060415,0.1807838007216432,0.3488320333958335,,153,74,79,,-0.005626311301148658,0.427733310116431,0.23343238079946008,0.36846676987812343,0.6659917641992246,118,51,67,,0.6827505541072785,False,0.6373556176229801,False,0.5813725536329725,False
OVERALL_ageSexMatched_fd-0.3,male,child_0_9,PC_pos,6,0.8214772687030931,0.8207447424884028,84,88,-0.0034026580833352617,0.43397580674064046,0.08734778007301745,,,172,84,88,,-0.005017161655251958,0.32109797297758896,0.06644769646377492,0.2660623014722688,,153,74,79,,-0.0028429464402356486,0.6417757685617886,0.14060507284763754,0.3311267536973539,0.6393420316908686,118,51,67,,0.6827505541072785,False,0.5619214527107808,False,0.6417757685617886,False
OVERALL_ageSexMatched_fd-0.3,male,child_0_9,PC_pos,7,0.816113422055997,0.8109333681206107,84,88,-0.00798139726214497,0.07119987576018347,0.0004978189841700048,,,172,84,88,,-0.010836633415968347,0.023685463939860575,0.0011821498816570887,0.40119112818716285,,153,74,79,,-0.011421016968841988,0.032399647919241964,8.35233158725935e-05,0.1297800011130412,0.4364094173151644,118,51,67,,0.4983991303212843,False,0.16579824757902403,False,0.22679753543469375,False
OVERALL_ageSexMatched_fd-0.3,male,child_0_9,PC_neg,1,0.7275720187084099,0.7093373003154881,84,88,-0.01148148871538341,0.5513914152391113,0.34917479059928147,,,172,84,88,,-0.014332419684506758,0.5310892459222859,0.5339371836663216,0.9720904029256273,,153,74,79,,-0.020734394342882368,0.43161174842606986,0.2655780386375408,0.8886208792318606,0.8436002300339787,118,51,67,,0.9649349766684447,False,0.8036819904063894,False,0.5495661219164173,False
