scenario,sex,age_group,metric,module,mean_ASD,mean_CTL,n_ASD,n_CTL,beta_CTL_minus_ASD_m1,p_DX_m1,p_SITE_m1,p_IQ_m1,p_RIGHT_HANDED_m1,n_model_m1,n_model_ASD_m1,n_model_CTL_m1,note_m1,beta_CTL_minus_ASD_m2,p_DX_m2,p_SITE_m2,p_IQ_m2,p_RIGHT_HANDED_m2,n_model_m2,n_model_ASD_m2,n_model_CTL_m2,note_m2,beta_CTL_minus_ASD_m3,p_DX_m3,p_SITE_m3,p_IQ_m3,p_RIGHT_HANDED_m3,n_model_m3,n_model_ASD_m3,n_model_CTL_m3,note_m3,p_DX_FDR_m1,DX_FDR_significant_m1,p_DX_FDR_m2,DX_FDR_significant_m2,p_DX_FDR_m3,DX_FDR_significant_m3
OVERALL_ageSexMatched_fd-0.3,male,preteen_10_12,PC,1,0.8427936888008775,0.8510823626273943,115,151,0.0011683623124301434,0.8215629206021355,1.3558121136535089e-24,,,266,115,151,,0.0012570763342576834,0.8138101512730916,1.4956866179170943e-24,0.8248207057456067,,258,111,147,,0.001280816358586269,0.8405944809315309,4.027312394030451e-20,0.8421559896155706,0.9983945523899459,220,93,127,,0.982268034359254,False,0.9906037806931398,False,0.9941861544344058,False
OVERALL_ageSexMatched_fd-0.3,male,preteen_10_12,PC,2,0.8456714511339171,0.8536382257646256,115,151,0.0004533242341975413,0.9291784021660683,5.819736722191707e-26,,,266,115,151,,0.0004259018665587963,0.9354182942247733,7.06840807222159e-26,0.9302881721623159,,258,111,147,,0.00021168920395374727,0.9730914604023867,3.234833128420691e-21,0.9381718268198097,0.9455954231671565,220,93,127,,0.982268034359254,False,0.9906037806931398,False,0.9941861544344058,False
OVERALL_ageSexMatched_fd-0.3,male,preteen_10_12,PC,3,0.8468832783740591,0.8543171864798085,115,151,0.00011402167108523834,0.982268034359254,1.3797405569973153e-25,,,266,115,151,,6.225310122260144e-05,0.9906037806931398,1.636901727391369e-25,0.9999157093326739,,258,111,147,,-0.00017191878391649776,0.9782741903119534,6.439324276408775e-21,0.9976619098054663,0.9935902994924476,220,93,127,,0.982268034359254,False,0.9906037806931398,False,0.9941861544344058,False
OVERALL_ageSexMatched_fd-0.3,male,preteen_10_12,PC,4,0.8418024898384883,0.8427703678309563,115,151,-0.00040189817315579995,0.7315858035239673,5.272389178871679e-19,,,266,115,151,,-0.0003944966038456864,0.7431874432908181,4.1780952173311465e-19,0.9212900320555715,,258,111,147,,-0.0007239995937270878,0.6078505226663867,3.024738329020801e-16,0.9629113106202849,0.7966375863448334,220,93,127,,0.982268034359254,False,0.9906037806931398,False,0.9941861544344058,False
OVERALL_ageSexMatched_fd-0.3,male,preteen_10_12,PC,5,0.8325901780496021,0.8400310705169609,115,151,0.000544383375873092,0.9147721601103211,1.447981625769582e-25,,,266,115,151,,0.0004016004619563432,0.938913960208999,1.6352135372646743e-25,0.8755621119856918,,258,111,147,,4.549331196980824e-05,0.9941861544344058,4.7516925714726254e-21,0.8852351698294659,0.9504443770955449,220,93,127,,0.982268034359254,False,0.9906037806931398,False,0.9941861544344058,False
OVERALL_ageSexMatched_fd-0.3,male,preteen_10_12,PC,6,0.8387984288545435,0.8460279236168996,115,151,-0.00016731125587208726,0.9738282827105768,5.822915693132372e-26,,,266,115,151,,-9.288566463272474e-05,0.9858952124040918,6.981973501473218e-26,0.8777495519736978,,258,111,147,,-0.0012826296694980477,0.8374972534899954,2.014445856712402e-21,0.9029302190966635,0.8374626264578964,220,93,127,,0.982268034359254,False,0.9906037806931398,False,0.9941861544344058,False
OVERALL_ageSexMatched_fd-0.3,male,preteen_10_12,PC,7,0.8345851722490507,0.8405481704637107,115,151,-0.0012496073382211453,0.8058604825701619,1.089843951573347e-25,,,266,115,151,,-0.0014407188777523679,0.7832303851412028,1.252011568305746e-25,0.9156232712415242,,258,111,147,,-0.001694630915258958,0.7860566901839716,4.38002990365469e-21,0.9332760789244197,0.8845244296475817,220,93,127,,0.982268034359254,False,0.9906037806931398,False,0.9941861544344058,False
OVERALL_ageSexMatched_fd-0.3,male,preteen_10_12,PC_pos,1,0.8301019766896873,0.8361701336126348,115,151,-0.0013399045509508087,0.8079298787754081,4.3294540787122895e-21,,,266,115,151,,-0.0011740198528831167,0.8358746798626858,3.31093826902594e-21,0.560389495471399,,258,111,147,,-0.0017269825214943878,0.7969060048941505,1.2561576457865641e-17,0.6140681081326025,0.8759358770308832,220,93,127,,0.8935094852764272,False,0.9052081553562107,False,0.9306489856125687,False
OVERALL_ageSexMatched_fd-0.3,male,preteen_10_12,PC_pos,2,0.8285042156451319,0.8371362624725152,115,151,0.0012110806513479164,0.8196371147367872,4.769291742007332e-23,,,266,115,151,,0.001290273010677058,0.8131548675484837,3.877173309491938e-23,0.7372395647529021,,258,111,147,,0.00043191464516685596,0.9467885857751525,3.1695422485498524e-19,0.7743567242449803,0.9260799884390439,220,93,127,,0.8935094852764272,False,0.9052081553562107,False,0.9467885857751525,False
OVERALL_ageSexMatched_fd-0.3,male,preteen_10_12,PC_pos,3,0.8298548488285226,0.8361764094442032,115,151,-0.0007185650830599279,0.8935094852764272,1.4177726523282603e-22,,,266,115,151,,-0.0006562960172050367,0.9052081553562107,1.1441256950999065e-22,0.9600303639296676,,258,111,147,,-0.0016773646980327989,0.7976991305250588,8.043385042314938e-19,0.9391846332626166,0.7661173908880047,220,93,127,,0.8935094852764272,False,0.9052081553562107,False,0.9306489856125687,False
