scenario,sex,age_group,metric,module,mean_ASD,mean_CTL,beta_CTL_minus_ASD,p_DX,p_SITE,r2,n_ASD,n_CTL,note,p_DX_FDR,DX_FDR_significant
ABIDE2_fd2,male,preteen_10_12,PC,1,0.529210320113097,0.45527636804390104,-0.02179275387521694,0.5853848002668606,0.046523204407266955,0.2672928195427635,30,55,,0.86651204935502,False
ABIDE2_fd2,male,preteen_10_12,PC,2,0.4037796487914482,0.3850397529189246,0.008114036311996796,0.7427246137328742,0.09572302464332043,0.21115016731508995,30,55,,0.86651204935502,False
ABIDE2_fd2,male,preteen_10_12,PC,3,0.47686865211008767,0.4817444164143272,0.03964065210721568,0.24285524665492508,0.0012063450626130956,0.3319397353852165,30,55,,0.5666622421948252,False
ABIDE2_fd2,male,preteen_10_12,PC,4,0.3485356623264485,0.3367171614191027,-0.0035493782124012036,0.894951054832009,0.6220621319833874,0.1140766009034524,30,55,,0.894951054832009,False
ABIDE2_fd2,male,preteen_10_12,PC,5,0.41629349172045715,0.3888284223295078,-0.03246934505246366,0.1971566243113178,0.0005561599115327189,0.35968687964217605,30,55,,0.5666622421948252,False
ABIDE2_fd2,male,preteen_10_12,PC,6,0.40730398108355664,0.417679811113889,0.013524608736505477,0.6264376304846331,0.2014199627183335,0.17589997390504541,30,55,,0.86651204935502,False
ABIDE2_fd2,male,preteen_10_12,PC,7,0.5212886444676262,0.5111058073327188,-0.04092308628784671,0.12242059838203981,0.05783590850700305,0.2239862241675037,30,55,,0.5666622421948252,False
ABIDE2_fd2,male,preteen_10_12,PC_neg,1,0.02629385515256245,0.0054496309371821535,-0.022481303438687275,0.03085462310365163,0.0222487121049218,0.29556359087618755,30,55,,0.14870236358544317,False
ABIDE2_fd2,male,preteen_10_12,PC_neg,2,0.009301180373787469,0.003660840767032202,-0.006001499196737279,0.19513170196734417,0.100934853502214,0.22027844334968805,30,55,,0.3414804784428523,False
ABIDE2_fd2,male,preteen_10_12,PC_neg,3,0.01457208072241069,0.00804970666621405,-0.008069295458779779,0.31530493316026337,0.0030760468380827705,0.3146044948151119,30,55,,0.4414269064243687,False
ABIDE2_fd2,male,preteen_10_12,PC_neg,4,0.039692901279930644,0.019273326797487663,-0.031856548001412216,0.042486389595840904,0.04342896674305978,0.2513751248935926,30,55,,0.14870236358544317,False
ABIDE2_fd2,male,preteen_10_12,PC_neg,5,0.025412893851065158,0.018543484562056227,-0.015207127172638122,0.1731969995185042,0.0012140683574543,0.3349196120884196,30,55,,0.3414804784428523,False
ABIDE2_fd2,male,preteen_10_12,PC_neg,6,0.014755505319626843,0.01715894838035987,-0.00508947751408197,0.662512477616693,0.07038796903414526,0.21585128605691417,30,55,,0.662512477616693,False
ABIDE2_fd2,male,preteen_10_12,PC_neg,7,0.022125401439552977,0.018769253008999533,-0.01370505197602272,0.3909910900590306,0.38142885421693695,0.1434113640886583,30,55,,0.45615627173553575,False
