gamma,runs_ok,failures,k7_frac,k_counts,stability_k7,Q_best_k7,min_size_best_k7,seed_best_k7
0.8,500,0,0.0,2:500,0.0,,,
0.82,500,0,0.0,2:500,0.0,,,
0.84,500,0,0.0,2:500,0.0,,,
0.86,500,0,0.0,2:500,0.0,,,
0.88,500,0,0.0,2:131; 3:369,0.0,,,
0.9,500,0,0.0,2:3; 3:497,0.0,,,
0.92,500,0,0.0,2:1; 3:499,0.0,,,
0.94,500,0,0.0,3:494; 4:6,0.0,,,
0.96,500,0,0.0,3:480; 4:20,0.0,,,
0.98,500,0,0.0,3:436; 4:64,0.0,,,
1.0,500,0,0.0,3:15; 4:485,0.0,,,
1.02,500,0,0.0,3:8; 4:492,0.0,,,
1.04,500,0,0.0,3:1; 4:499,0.0,,,
1.06,500,0,0.0,4:6; 5:494,0.0,,,
1.08,500,0,0.0,4:202; 5:298,0.0,,,
1.1,500,0,0.0,4:12; 5:488,0.0,,,
1.12,500,0,0.0,4:42; 5:419; 6:39,0.0,,,
1.14,500,0,0.0,4:4; 5:374; 6:122,0.0,,,
1.16,500,0,0.58,5:45; 6:165; 7:290,0.0,,,
1.18,500,0,0.784,5:1; 6:65; 7:392; 8:42,0.0,,,
1.2,500,0,0.82,6:14; 7:410; 8:76,0.0,,,
1.22,500,0,0.096,6:1; 7:48; 8:396; 9:55,0.0,,,
1.24,500,0,0.004,7:2; 8:134; 9:357; 10:7,0.0,,,
1.26,500,0,0.0,8:66; 9:380; 10:42; 11:12,0.0,,,
1.28,500,0,0.0,8:11; 9:162; 10:225; 11:97; 12:5,0.0,,,
1.3,500,0,0.0,8:1; 9:82; 10:192; 11:188; 12:37,0.0,,,
1.32,500,0,0.0,8:1; 9:69; 10:203; 11:188; 12:39,0.0,,,
1.34,500,0,0.0,9:26; 10:170; 11:227; 12:69; 13:8,0.0,,,
1.36,500,0,0.0,9:4; 10:59; 11:324; 12:106; 13:7,0.0,,,
1.38,500,0,0.0,10:11; 11:175; 12:279; 13:35,0.0,,,
1.4,500,0,0.0,10:2; 11:103; 12:351; 13:42; 14:2,0.0,,,
1.42,500,0,0.0,10:2; 11:42; 12:302; 13:145; 14:9,0.0,,,
1.44,500,0,0.0,11:14; 12:257; 13:133; 14:88; 15:8,0.0,,,
1.46,500,0,0.0,11:1; 12:16; 13:207; 14:235; 15:41,0.0,,,
1.48,500,0,0.0,12:2; 13:101; 14:323; 15:74,0.0,,,
1.5,500,0,0.0,13:55; 14:298; 15:132; 16:15,0.0,,,
1.52,500,0,0.0,13:4; 14:150; 15:248; 16:87; 17:11,0.0,,,
1.54,500,0,0.0,13:1; 14:94; 15:281; 16:107; 17:17,0.0,,,
1.56,500,0,0.0,14:48; 15:180; 16:177; 17:69; 18:26,0.0,,,
1.58,500,0,0.0,14:8; 15:102; 16:179; 17:128; 18:83,0.0,,,
1.6,500,0,0.0,14:2; 15:84; 16:192; 17:143; 18:79,0.0,,,
1.62,500,0,0.0,14:2; 15:48; 16:148; 17:139; 18:140; 19:23,0.0,,,
1.64,500,0,0.0,16:3; 17:33; 18:147; 19:210; 20:105; 21:2,0.0,,,
1.66,500,0,0.0,16:1; 17:18; 18:113; 19:232; 20:136,0.0,,,
1.68,500,0,0.0,17:2; 18:13; 19:75; 20:397; 21:13,0.0,,,
1.7,500,0,0.0,17:2; 18:13; 19:146; 20:321; 21:18,0.0,,,
1.72,500,0,0.0,19:1; 20:34; 21:338; 22:119; 23:8,0.0,,,
1.74,500,0,0.0,20:17; 21:236; 22:196; 23:51,0.0,,,
1.76,500,0,0.0,19:1; 20:7; 21:219; 22:201; 23:69; 24:3,0.0,,,
1.78,500,0,0.0,20:4; 21:66; 22:161; 23:175; 24:90; 25:4,0.0,,,
1.8,500,0,0.0,21:8; 22:77; 23:183; 24:165; 25:64; 26:3,0.0,,,
1.82,500,0,0.0,22:2; 23:52; 24:189; 25:169; 26:82; 27:3; 28:3,0.0,,,
1.84,500,0,0.0,22:2; 23:43; 24:182; 25:174; 26:76; 27:14; 28:9,0.0,,,
1.86,500,0,0.0,23:1; 24:10; 25:88; 26:177; 27:178; 28:40; 29:6,0.0,,,
1.88,500,0,0.0,23:1; 24:6; 25:51; 26:183; 27:198; 28:50; 29:11,0.0,,,
1.9,500,0,0.0,24:1; 25:14; 26:149; 27:200; 28:112; 29:23; 30:1,0.0,,,
1.92,500,0,0.0,26:17; 27:90; 28:181; 29:148; 30:60; 31:4,0.0,,,
1.94,500,0,0.0,26:1; 27:42; 28:132; 29:200; 30:103; 31:22,0.0,,,
1.96,500,0,0.0,27:1; 28:3; 29:47; 30:171; 31:220; 32:55; 33:3,0.0,,,
1.98,500,0,0.0,28:1; 29:26; 30:112; 31:185; 32:109; 33:42; 34:19; 35:5; 36:1,0.0,,,
2.0,500,0,0.0,30:1; 31:20; 32:88; 33:233; 34:103; 35:36; 36:17; 37:2,0.0,,,
