ROI_index,Louvain_module,Yeo7_label,Yeo7_name
1,2,1,Visual
2,1,7,DefaultMode
3,2,1,Visual
4,7,4,VentralAttention
5,1,7,DefaultMode
6,7,4,VentralAttention
7,1,6,Frontoparietal
8,7,2,Somatomotor
9,5,0,Background
10,5,1,Visual
11,1,7,DefaultMode
12,1,6,Frontoparietal
13,7,4,VentralAttention
14,1,7,DefaultMode
15,4,5,Limbic
16,2,3,DorsalAttention
17,3,3,DorsalAttention
18,7,0,Background
19,2,7,DefaultMode
20,4,4,VentralAttention
21,7,2,Somatomotor
22,1,7,DefaultMode
23,3,6,Frontoparietal
24,7,2,Somatomotor
25,3,6,Frontoparietal
26,2,1,Visual
27,6,5,Limbic
28,7,2,Somatomotor
29,1,7,DefaultMode
30,5,0,Background
31,2,3,DorsalAttention
32,1,5,Limbic
33,7,4,VentralAttention
34,3,6,Frontoparietal
35,7,2,Somatomotor
36,5,3,DorsalAttention
37,6,1,Visual
38,1,6,Frontoparietal
39,1,6,Frontoparietal
40,4,6,Frontoparietal
41,5,1,Visual
42,1,6,Frontoparietal
43,1,5,Limbic
44,2,1,Visual
45,4,0,Background
46,1,7,DefaultMode
47,4,5,Limbic
48,2,1,Visual
49,1,7,DefaultMode
50,7,3,DorsalAttention
51,1,7,DefaultMode
52,5,0,Background
53,1,7,DefaultMode
54,2,1,Visual
55,7,4,VentralAttention
56,1,7,DefaultMode
57,1,5,Limbic
58,1,7,DefaultMode
59,7,4,VentralAttention
60,7,2,Somatomotor
61,1,7,DefaultMode
62,6,1,Visual
63,2,3,DorsalAttention
64,3,3,DorsalAttention
65,7,2,Somatomotor
66,7,2,Somatomotor
67,7,4,VentralAttention
68,5,0,Background
69,1,4,VentralAttention
70,2,1,Visual
71,1,7,DefaultMode
72,1,7,DefaultMode
73,3,3,DorsalAttention
74,1,7,DefaultMode
75,1,6,Frontoparietal
76,1,4,VentralAttention
77,5,1,Visual
78,1,5,Limbic
79,7,4,VentralAttention
80,5,0,Background
81,2,1,Visual
82,1,7,DefaultMode
83,7,4,VentralAttention
84,4,0,Background
85,2,1,Visual
86,5,0,Background
87,6,5,Limbic
88,7,2,Somatomotor
89,2,1,Visual
90,7,2,Somatomotor
91,1,7,DefaultMode
92,6,5,Limbic
93,3,3,DorsalAttention
94,4,0,Background
95,1,6,Frontoparietal
96,7,2,Somatomotor
97,2,1,Visual
98,7,2,Somatomotor
99,1,6,Frontoparietal
100,2,3,DorsalAttention
101,1,7,DefaultMode
102,2,1,Visual
103,5,1,Visual
104,1,7,DefaultMode
105,2,1,Visual
106,1,7,DefaultMode
107,1,7,DefaultMode
108,2,1,Visual
109,1,7,DefaultMode
110,6,5,Limbic
111,7,2,Somatomotor
112,6,5,Limbic
113,1,6,Frontoparietal
114,2,3,DorsalAttention
115,3,6,Frontoparietal
116,7,3,DorsalAttention
117,1,7,DefaultMode
118,5,1,Visual
119,7,4,VentralAttention
120,5,1,Visual
121,7,2,Somatomotor
122,2,1,Visual
123,7,2,Somatomotor
124,1,6,Frontoparietal
125,4,4,VentralAttention
126,5,1,Visual
127,1,6,Frontoparietal
128,7,4,VentralAttention
129,6,7,DefaultMode
130,6,0,Background
131,2,1,Visual
132,2,3,DorsalAttention
133,1,7,DefaultMode
134,7,2,Somatomotor
135,4,0,Background
136,2,3,DorsalAttention
137,7,4,VentralAttention
138,2,1,Visual
139,1,7,DefaultMode
140,1,7,DefaultMode
141,4,7,DefaultMode
142,2,1,Visual
143,2,3,DorsalAttention
144,4,7,DefaultMode
145,6,5,Limbic
146,7,2,Somatomotor
147,2,1,Visual
148,4,0,Background
149,1,6,Frontoparietal
150,2,1,Visual
151,3,6,Frontoparietal
152,5,1,Visual
153,1,7,DefaultMode
154,7,2,Somatomotor
155,6,5,Limbic
156,3,3,DorsalAttention
157,7,2,Somatomotor
158,2,1,Visual
159,2,1,Visual
160,1,5,Limbic
161,7,4,VentralAttention
162,5,1,Visual
163,2,3,DorsalAttention
164,3,6,Frontoparietal
165,7,4,VentralAttention
166,1,7,DefaultMode
167,1,7,DefaultMode
168,4,4,VentralAttention
169,1,6,Frontoparietal
170,2,1,Visual
171,7,3,DorsalAttention
172,2,1,Visual
173,1,7,DefaultMode
174,1,7,DefaultMode
175,2,1,Visual
176,5,0,Background
177,2,1,Visual
178,7,0,Background
179,2,1,Visual
180,7,4,VentralAttention
181,1,7,DefaultMode
182,7,4,VentralAttention
183,1,6,Frontoparietal
184,7,4,VentralAttention
185,7,2,Somatomotor
186,1,7,DefaultMode
187,1,7,DefaultMode
188,7,3,DorsalAttention
189,2,1,Visual
190,5,1,Visual
191,1,7,DefaultMode
192,5,1,Visual
193,1,7,DefaultMode
194,5,0,Background
195,2,1,Visual
196,4,7,DefaultMode
197,2,3,DorsalAttention
198,6,5,Limbic
199,5,7,DefaultMode
200,7,2,Somatomotor
