ROI_index	Module
1	2
2	1
3	2
4	7
5	1
6	7
7	1
8	7
9	5
10	5
11	1
12	1
13	7
14	1
15	4
16	2
17	3
18	7
19	2
20	4
21	7
22	1
23	3
24	7
25	3
26	2
27	6
28	7
29	1
30	5
31	2
32	1
33	7
34	3
35	7
36	5
37	6
38	1
39	1
40	4
41	5
42	1
43	1
44	2
45	4
46	1
47	4
48	2
49	1
50	7
51	1
52	5
53	1
54	2
55	7
56	1
57	1
58	1
59	7
60	7
61	1
62	6
63	2
64	3
65	7
66	7
67	7
68	5
69	1
70	2
71	1
72	1
73	3
74	1
75	1
76	1
77	5
78	1
79	7
80	5
81	2
82	1
83	7
84	4
85	2
86	5
87	6
88	7
89	2
90	7
91	1
92	6
93	3
94	4
95	1
96	7
97	2
98	7
99	1
100	2
101	1
102	2
103	5
104	1
105	2
106	1
107	1
108	2
109	1
110	6
111	7
112	6
113	1
114	2
115	3
116	7
117	1
118	5
119	7
120	5
121	7
122	2
123	7
124	1
125	4
126	5
127	1
128	7
129	6
130	6
131	2
132	2
133	1
134	7
135	4
136	2
137	7
138	2
139	1
140	1
141	4
142	2
143	2
144	4
145	6
146	7
147	2
148	4
149	1
150	2
151	3
152	5
153	1
154	7
155	6
156	3
157	7
158	2
159	2
160	1
161	7
162	5
163	2
164	3
165	7
166	1
167	1
168	4
169	1
170	2
171	7
172	2
173	1
174	1
175	2
176	5
177	2
178	7
179	2
180	7
181	1
182	7
183	1
184	7
185	7
186	1
187	1
188	7
189	2
190	5
191	1
192	5
193	1
194	5
195	2
196	4
197	2
198	6
199	5
200	7
