gamma,runs_ok,failures,k7_frac,k_counts,stability_k7,Q_best_k7,min_size_best_k7,seed_best_k7
0.8,500,0,0.0,3:3; 4:459; 5:38,0.0,,,
0.82,500,0,0.0,3:2; 4:434; 5:64,0.0,,,
0.84,500,0,0.0,3:2; 4:431; 5:67,0.0,,,
0.86,500,0,0.0,3:2; 4:412; 5:86,0.0,,,
0.88,500,0,0.0,3:1; 4:405; 5:94,0.0,,,
0.9,500,0,0.0,3:1; 4:400; 5:99,0.0,,,
0.92,500,0,0.0,4:396; 5:104,0.0,,,
0.94,500,0,0.0,4:393; 5:107,0.0,,,
0.96,500,0,0.0,4:391; 5:109,0.0,,,
0.98,500,0,0.0,4:378; 5:122,0.0,,,
1.0,500,0,0.0,4:372; 5:128,0.0,,,
1.02,500,0,0.0,4:366; 5:134,0.0,,,
1.04,500,0,0.0,4:355; 5:145,0.0,,,
1.06,500,0,0.0,4:340; 5:160,0.0,,,
1.08,500,0,0.0,4:329; 5:171,0.0,,,
1.1,500,0,0.0,4:257; 5:243,0.0,,,
1.12,500,0,0.0,4:242; 5:257; 6:1,0.0,,,
1.14,500,0,0.0,4:74; 5:421; 6:5,0.0,,,
1.16,500,0,0.0,4:25; 5:469; 6:6,0.0,,,
1.18,500,0,0.0,4:11; 5:349; 6:140,0.0,,,
1.2,500,0,0.0,4:12; 5:341; 6:147,0.0,,,
1.22,500,0,0.0,4:6; 5:339; 6:155,0.0,,,
1.24,500,0,0.0,4:3; 5:342; 6:155,0.0,,,
1.26,500,0,0.0,4:2; 5:344; 6:154,0.0,,,
1.28,500,0,0.0,4:2; 5:307; 6:191,0.0,,,
1.3,500,0,0.0,4:1; 5:292; 6:207,0.0,,,
1.32,500,0,0.0,5:166; 6:334,0.0,,,
1.34,500,0,0.022,5:158; 6:331; 7:11,0.0,,,
1.36,500,0,0.032,5:162; 6:322; 7:16,0.0,,,
1.38,500,0,0.04,5:163; 6:317; 7:20,0.9691959619522095,0.4143241333826366,11.0,386.0
1.4,500,0,0.054,5:158; 6:315; 7:27,0.9691959619522095,0.4114526431874999,11.0,386.0
1.42,500,0,0.056,5:112; 6:360; 7:28,0.9366778135299683,0.4115582913669411,12.0,181.0
1.44,500,0,0.052,5:84; 6:390; 7:26,0.9355176091194153,0.4085423153704488,12.0,181.0
1.46,500,0,0.07,5:88; 6:377; 7:35,0.9410943388938904,0.40552633937395666,12.0,181.0
1.48,500,0,0.068,5:72; 6:394; 7:34,0.9455496072769165,0.4025103633774645,12.0,181.0
1.5,500,0,0.09,5:34; 6:421; 7:45,0.8974660038948059,0.4008470819306522,12.0,313.0
1.52,500,0,0.142,5:61; 6:368; 7:71,0.8860635161399841,0.3992406151009885,10.0,106.0
1.54,500,0,0.178,5:46; 6:364; 7:89; 8:1,0.9083577990531921,0.39616748291597215,10.0,265.0
1.56,500,0,0.194,5:54; 6:349; 7:97,0.918614387512207,0.3931153613949645,10.0,265.0
1.58,500,0,0.196,5:44; 6:356; 7:98; 8:2,0.9247893691062927,0.3889187289614364,11.0,61.0
1.6,500,0,0.242,5:22; 6:356; 7:121; 8:1,0.9173040986061096,0.3859141121477499,12.0,210.0
1.62,500,0,0.292,5:22; 6:329; 7:146; 8:3,0.9048792719841003,0.3845648366439085,11.0,262.0
1.64,500,0,0.322,5:13; 6:320; 7:161; 8:6,0.8835359215736389,0.38161320250593134,11.0,295.0
1.66,500,0,0.338,5:20; 6:299; 7:169; 8:12,0.8816736936569214,0.37866156836795406,11.0,265.0
1.68,500,0,0.406,5:16; 6:247; 7:203; 8:34,0.866581380367279,0.37570993422997684,11.0,265.0
1.7,500,0,0.468,5:19; 6:210; 7:234; 8:35; 9:2,0.8670229911804199,0.3727583000919996,11.0,265.0
1.72,500,0,0.514,5:9; 6:188; 7:257; 8:44; 9:2,0.8636435270309448,0.36897521703930813,12.0,245.0
1.74,500,0,0.536,5:5; 6:158; 7:268; 8:67; 9:2,0.8641430139541626,0.3662523904110392,12.0,245.0
1.76,500,0,0.574,6:93; 7:287; 8:118; 9:2,0.8612697124481201,0.3635295637827702,12.0,410.0
1.78,500,0,0.582,5:1; 6:69; 7:291; 8:135; 9:4,0.855085551738739,0.36018648152809435,16.0,194.0
1.8,500,0,0.552,6:84; 7:276; 8:131; 9:9,0.855879545211792,0.357636247017359,16.0,194.0
1.82,500,0,0.542,6:71; 7:271; 8:140; 9:18,0.8575819730758667,0.35508601250662364,16.0,194.0
1.84,500,0,0.52,6:54; 7:260; 8:168; 9:18,0.8503351807594299,0.3525357779958883,16.0,419.0
1.86,500,0,0.47,6:53; 7:235; 8:186; 9:25; 10:1,0.8476935029029846,0.349985543485153,16.0,194.0
1.88,500,0,0.446,6:51; 7:223; 8:195; 9:30; 10:1,0.8503146767616272,0.3474353089744176,16.0,194.0
1.9,500,0,0.33,6:30; 7:165; 8:228; 9:75; 10:2,0.8505775928497314,0.3448850744636822,16.0,416.0
1.92,500,0,0.302,6:28; 7:151; 8:234; 9:85; 10:2,0.8518563508987427,0.34287574941762616,13.0,96.0
1.94,500,0,0.26,6:18; 7:130; 8:266; 9:85; 10:1,0.857634961605072,0.34032637903761964,13.0,96.0
1.96,500,0,0.238,6:10; 7:119; 8:266; 9:103; 10:2,0.8529608249664307,0.3372343709314762,16.0,220.0
1.98,500,0,0.186,6:10; 7:93; 8:270; 9:125; 10:2,0.8396410942077637,0.334692108592184,16.0,416.0
2.0,500,0,0.146,6:10; 7:73; 8:264; 9:152; 10:1,0.8448547720909119,0.332159738647438,16.0,220.0
