ROI_index,Louvain_module,Yeo7_label,Yeo7_name
1,6,1,Visual
2,5,7,DefaultMode
3,6,1,Visual
4,7,4,VentralAttention
5,5,7,DefaultMode
6,3,4,VentralAttention
7,5,6,Frontoparietal
8,7,2,Somatomotor
9,4,0,Background
10,4,1,Visual
11,5,7,DefaultMode
12,5,6,Frontoparietal
13,2,4,VentralAttention
14,5,7,DefaultMode
15,2,5,Limbic
16,6,3,DorsalAttention
17,3,3,DorsalAttention
18,7,0,Background
19,6,7,DefaultMode
20,2,4,VentralAttention
21,7,2,Somatomotor
22,5,7,DefaultMode
23,3,6,Frontoparietal
24,7,2,Somatomotor
25,3,6,Frontoparietal
26,6,1,Visual
27,1,5,Limbic
28,7,2,Somatomotor
29,5,7,DefaultMode
30,4,0,Background
31,3,3,DorsalAttention
32,5,5,Limbic
33,7,4,VentralAttention
34,3,6,Frontoparietal
35,7,2,Somatomotor
36,4,3,DorsalAttention
37,1,1,Visual
38,5,6,Frontoparietal
39,5,6,Frontoparietal
40,2,6,Frontoparietal
41,4,1,Visual
42,5,6,Frontoparietal
43,1,5,Limbic
44,6,1,Visual
45,2,0,Background
46,5,7,DefaultMode
47,2,5,Limbic
48,6,1,Visual
49,5,7,DefaultMode
50,3,3,DorsalAttention
51,5,7,DefaultMode
52,4,0,Background
53,5,7,DefaultMode
54,6,1,Visual
55,2,4,VentralAttention
56,5,7,DefaultMode
57,5,5,Limbic
58,5,7,DefaultMode
59,2,4,VentralAttention
60,7,2,Somatomotor
61,5,7,DefaultMode
62,1,1,Visual
63,6,3,DorsalAttention
64,3,3,DorsalAttention
65,7,2,Somatomotor
66,7,2,Somatomotor
67,7,4,VentralAttention
68,4,0,Background
69,5,4,VentralAttention
70,6,1,Visual
71,5,7,DefaultMode
72,5,7,DefaultMode
73,3,3,DorsalAttention
74,5,7,DefaultMode
75,5,6,Frontoparietal
76,5,4,VentralAttention
77,4,1,Visual
78,1,5,Limbic
79,7,4,VentralAttention
80,4,0,Background
81,6,1,Visual
82,5,7,DefaultMode
83,7,4,VentralAttention
84,2,0,Background
85,6,1,Visual
86,4,0,Background
87,1,5,Limbic
88,7,2,Somatomotor
89,6,1,Visual
90,7,2,Somatomotor
91,5,7,DefaultMode
92,1,5,Limbic
93,3,3,DorsalAttention
94,2,0,Background
95,5,6,Frontoparietal
96,7,2,Somatomotor
97,6,1,Visual
98,7,2,Somatomotor
99,5,6,Frontoparietal
100,6,3,DorsalAttention
101,5,7,DefaultMode
102,6,1,Visual
103,4,1,Visual
104,5,7,DefaultMode
105,6,1,Visual
106,5,7,DefaultMode
107,5,7,DefaultMode
108,6,1,Visual
109,5,7,DefaultMode
110,1,5,Limbic
111,7,2,Somatomotor
112,1,5,Limbic
113,5,6,Frontoparietal
114,3,3,DorsalAttention
115,3,6,Frontoparietal
116,7,3,DorsalAttention
117,5,7,DefaultMode
118,4,1,Visual
119,7,4,VentralAttention
120,4,1,Visual
121,7,2,Somatomotor
122,6,1,Visual
123,7,2,Somatomotor
124,5,6,Frontoparietal
125,2,4,VentralAttention
126,4,1,Visual
127,5,6,Frontoparietal
128,7,4,VentralAttention
129,1,7,DefaultMode
130,1,0,Background
131,6,1,Visual
132,3,3,DorsalAttention
133,5,7,DefaultMode
134,7,2,Somatomotor
135,2,0,Background
136,3,3,DorsalAttention
137,7,4,VentralAttention
138,6,1,Visual
139,5,7,DefaultMode
140,5,7,DefaultMode
141,2,7,DefaultMode
142,6,1,Visual
143,6,3,DorsalAttention
144,2,7,DefaultMode
145,1,5,Limbic
146,7,2,Somatomotor
147,6,1,Visual
148,2,0,Background
149,5,6,Frontoparietal
150,6,1,Visual
151,3,6,Frontoparietal
152,4,1,Visual
153,5,7,DefaultMode
154,7,2,Somatomotor
155,1,5,Limbic
156,3,3,DorsalAttention
157,7,2,Somatomotor
158,6,1,Visual
159,6,1,Visual
160,5,5,Limbic
161,7,4,VentralAttention
162,4,1,Visual
163,3,3,DorsalAttention
164,3,6,Frontoparietal
165,7,4,VentralAttention
166,5,7,DefaultMode
167,5,7,DefaultMode
168,2,4,VentralAttention
169,5,6,Frontoparietal
170,6,1,Visual
171,3,3,DorsalAttention
172,6,1,Visual
173,5,7,DefaultMode
174,5,7,DefaultMode
175,6,1,Visual
176,4,0,Background
177,6,1,Visual
178,7,0,Background
179,6,1,Visual
180,7,4,VentralAttention
181,1,7,DefaultMode
182,7,4,VentralAttention
183,5,6,Frontoparietal
184,7,4,VentralAttention
185,7,2,Somatomotor
186,5,7,DefaultMode
187,5,7,DefaultMode
188,7,3,DorsalAttention
189,6,1,Visual
190,4,1,Visual
191,5,7,DefaultMode
192,4,1,Visual
193,5,7,DefaultMode
194,4,0,Background
195,6,1,Visual
196,2,7,DefaultMode
197,3,3,DorsalAttention
198,1,5,Limbic
199,4,7,DefaultMode
200,7,2,Somatomotor
