ROI_index	Module
1	6
2	5
3	6
4	7
5	5
6	3
7	5
8	7
9	4
10	4
11	5
12	5
13	2
14	5
15	2
16	6
17	3
18	7
19	6
20	2
21	7
22	5
23	3
24	7
25	3
26	6
27	1
28	7
29	5
30	4
31	3
32	5
33	7
34	3
35	7
36	4
37	1
38	5
39	5
40	2
41	4
42	5
43	1
44	6
45	2
46	5
47	2
48	6
49	5
50	3
51	5
52	4
53	5
54	6
55	2
56	5
57	5
58	5
59	2
60	7
61	5
62	1
63	6
64	3
65	7
66	7
67	7
68	4
69	5
70	6
71	5
72	5
73	3
74	5
75	5
76	5
77	4
78	1
79	7
80	4
81	6
82	5
83	7
84	2
85	6
86	4
87	1
88	7
89	6
90	7
91	5
92	1
93	3
94	2
95	5
96	7
97	6
98	7
99	5
100	6
101	5
102	6
103	4
104	5
105	6
106	5
107	5
108	6
109	5
110	1
111	7
112	1
113	5
114	3
115	3
116	7
117	5
118	4
119	7
120	4
121	7
122	6
123	7
124	5
125	2
126	4
127	5
128	7
129	1
130	1
131	6
132	3
133	5
134	7
135	2
136	3
137	7
138	6
139	5
140	5
141	2
142	6
143	6
144	2
145	1
146	7
147	6
148	2
149	5
150	6
151	3
152	4
153	5
154	7
155	1
156	3
157	7
158	6
159	6
160	5
161	7
162	4
163	3
164	3
165	7
166	5
167	5
168	2
169	5
170	6
171	3
172	6
173	5
174	5
175	6
176	4
177	6
178	7
179	6
180	7
181	1
182	7
183	5
184	7
185	7
186	5
187	5
188	7
189	6
190	4
191	5
192	4
193	5
194	4
195	6
196	2
197	3
198	1
199	4
200	7
