gamma,runs_ok,failures,k7_frac,k_counts,stability_k7,Q_best_k7,min_size_best_k7,seed_best_k7
0.8,500,0,0.0,3:4; 4:480; 5:16,0.0,,,
0.82,500,0,0.0,3:2; 4:467; 5:31,0.0,,,
0.84,500,0,0.0,3:2; 4:447; 5:51,0.0,,,
0.86,500,0,0.0,4:424; 5:76,0.0,,,
0.88,500,0,0.0,4:412; 5:88,0.0,,,
0.9,500,0,0.0,3:1; 4:406; 5:93,0.0,,,
0.92,500,0,0.0,4:398; 5:102,0.0,,,
0.94,500,0,0.0,4:395; 5:105,0.0,,,
0.96,500,0,0.0,4:396; 5:104,0.0,,,
0.98,500,0,0.0,4:385; 5:115,0.0,,,
1.0,500,0,0.0,4:370; 5:130,0.0,,,
1.02,500,0,0.0,4:362; 5:138,0.0,,,
1.04,500,0,0.0,4:338; 5:162,0.0,,,
1.06,500,0,0.0,4:310; 5:190,0.0,,,
1.08,500,0,0.0,4:296; 5:204,0.0,,,
1.1,500,0,0.0,4:264; 5:236,0.0,,,
1.12,500,0,0.0,4:225; 5:275,0.0,,,
1.14,500,0,0.0,4:220; 5:280,0.0,,,
1.16,500,0,0.0,4:48; 5:445; 6:7,0.0,,,
1.18,500,0,0.0,4:24; 5:447; 6:29,0.0,,,
1.2,500,0,0.0,4:11; 5:372; 6:117,0.0,,,
1.22,500,0,0.0,4:15; 5:267; 6:218,0.0,,,
1.24,500,0,0.0,4:9; 5:266; 6:225,0.0,,,
1.26,500,0,0.0,4:9; 5:232; 6:259,0.0,,,
1.28,500,0,0.0,4:5; 5:223; 6:272,0.0,,,
1.3,500,0,0.0,4:3; 5:203; 6:294,0.0,,,
1.32,500,0,0.0,4:3; 5:187; 6:310,0.0,,,
1.34,500,0,0.016,5:136; 6:356; 7:8,0.0,,,
1.36,500,0,0.022,5:127; 6:362; 7:11,0.0,,,
1.38,500,0,0.028,5:96; 6:390; 7:14,0.0,,,
1.4,500,0,0.032,5:90; 6:394; 7:16,0.0,,,
1.42,500,0,0.102,5:56; 6:393; 7:51,0.0,,,
1.44,500,0,0.108,5:68; 6:378; 7:54,1.0,0.4055594493726155,15.0,502.0
1.46,500,0,0.13,5:81; 6:354; 7:65,0.9555779099464417,0.4076592335895117,12.0,506.0
1.48,500,0,0.134,5:60; 6:373; 7:67,0.9511799216270447,0.404664056767424,12.0,506.0
1.5,500,0,0.136,5:50; 6:382; 7:68,0.9548366665840149,0.4016688799453362,12.0,506.0
1.52,500,0,0.204,5:44; 6:354; 7:102,0.9110238552093506,0.3968937949153193,12.0,387.0
1.54,500,0,0.234,5:35; 6:347; 7:117; 8:1,0.9085808992385864,0.39405570857055555,12.0,319.0
1.56,500,0,0.304,5:52; 6:294; 7:152; 8:2,0.9415645003318787,0.3912176222257918,12.0,80.0
1.58,500,0,0.338,5:35; 6:293; 7:169; 8:3,0.9183696508407593,0.38840817934835,13.0,80.0
1.6,500,0,0.36,5:36; 6:280; 7:180; 8:4,0.9267537593841553,0.38574728000330927,12.0,234.0
1.62,500,0,0.304,5:27; 6:302; 7:152; 8:19,0.9192668795585632,0.3838085696683854,12.0,265.0
1.64,500,0,0.364,5:15; 6:294; 7:182; 8:9,0.9207426905632019,0.3805407625252356,11.0,313.0
1.66,500,0,0.442,5:8; 6:258; 7:221; 8:13,0.9025526642799377,0.37754440621388824,11.0,395.0
1.68,500,0,0.506,5:5; 6:208; 7:253; 8:34,0.8893561959266663,0.3747771850432917,12.0,102.0
1.7,500,0,0.604,5:6; 6:134; 7:302; 8:58,0.8778483867645264,0.3716844464851241,13.0,387.0
1.72,500,0,0.558,5:1; 6:118; 7:279; 8:101; 9:1,0.8753986954689026,0.368903704656927,13.0,118.0
1.74,500,0,0.548,6:98; 7:274; 8:126; 9:2,0.8758552074432373,0.36614172324423966,13.0,271.0
1.76,500,0,0.574,6:68; 7:287; 8:142; 9:3,0.8718749284744263,0.36328658694182003,13.0,395.0
1.78,500,0,0.518,6:71; 7:259; 8:163; 9:7,0.8664323091506958,0.36072705916610537,13.0,294.0
1.8,500,0,0.498,6:62; 7:249; 8:183; 9:6,0.8671563267707825,0.35799345909831476,13.0,113.0
1.82,500,0,0.492,6:53; 7:246; 8:190; 9:11,0.8607510328292847,0.3552598590305242,13.0,395.0
1.84,500,0,0.494,6:41; 7:247; 8:202; 9:10,0.8579937815666199,0.3525262589627337,13.0,411.0
1.86,500,0,0.474,6:24; 7:237; 8:217; 9:21; 10:1,0.8615064024925232,0.3497370268596632,14.0,130.0
1.88,500,0,0.412,6:17; 7:206; 8:251; 9:25; 10:1,0.8547331094741821,0.34743193617064766,16.0,144.0
1.9,500,0,0.342,6:15; 7:171; 8:270; 9:43; 10:1,0.853478729724884,0.34489440599911625,16.0,144.0
1.92,500,0,0.302,6:14; 7:151; 8:280; 9:54; 10:1,0.8527708053588867,0.34237444761896885,16.0,144.0
1.94,500,0,0.218,6:11; 7:109; 8:319; 9:60; 10:1,0.8487407565116882,0.3398688168380655,16.0,144.0
1.96,500,0,0.188,6:8; 7:94; 8:299; 9:98; 10:1,0.8445217609405518,0.33738530252436943,16.0,144.0
1.98,500,0,0.186,6:4; 7:93; 8:304; 9:99,0.8415027856826782,0.33490178821067335,16.0,144.0
2.0,500,0,0.184,6:4; 7:92; 8:294; 9:110,0.8465452790260315,0.33241827389697726,16.0,144.0
