network,beta_CTL_minus_ASD,p_uncorrected,mean_ASD,mean_CTL,cohen_d_CTL_minus_ASD,n_ASD,n_CTL,p_FDR,FDR_significant
net1_1,0.03836814378254597,0.0056547518195670405,0.34084221350023197,0.37056101689199755,0.31351735706249945,80,97,0.03166661018957542,True
net1_2,0.057261240302055594,0.0006578120247707637,0.22103031156128816,0.27170891921909635,0.4461496559648728,80,97,0.01826475190455286,True
net1_3,0.03950910544350911,0.011072973917520643,0.23182347134864195,0.26102735184052933,0.2616020229463782,80,97,0.03471492159696524,True
net1_4,0.037198176843735935,0.02680737085536127,0.20997523013443553,0.2368703871510562,0.22462893511673643,80,97,0.057738952611547344,False
net1_5,0.04294375173652106,0.00839082158064912,0.18759849322704336,0.2219363590020385,0.2987070892791267,80,97,0.03471492159696524,True
net1_6,0.026935666304279248,0.02959061759105617,0.21268459130402978,0.23310488745191824,0.2424257022724871,80,97,0.05918123518211234,False
net1_7,0.0184956842362844,0.1996835195818743,0.2315075972061523,0.24488365879711277,0.13815151560650588,80,97,0.25414266128602186,False
net2_2,0.06352012665664401,0.0028478683589846453,0.5403233525066105,0.5938324996954223,0.3623542689376266,80,97,0.01993507851289252,True
net2_3,0.046829229257112866,0.010898946110231938,0.2367311916047538,0.27476093897947823,0.3031094329897938,80,97,0.03471492159696524,True
net2_4,0.06069830756143611,0.0013056491105229685,0.26907886759259575,0.3211968056655483,0.4041592669224267,80,97,0.01826475190455286,True
net2_5,0.06290471044745781,0.0019569377040592347,0.31344672801433116,0.36479468928649134,0.36965580716005836,80,97,0.01826475190455286,True
net2_6,0.02223366609186019,0.1801517377801538,0.2768170919796892,0.2926729648106763,0.14175915788195007,80,97,0.2402023170402051,False
net2_7,0.0057448973110516294,0.7583972088539461,0.208936304661741,0.21114099475687065,0.018008751529674412,80,97,0.7583972088539461,False
net3_3,0.031223803994952375,0.05198514264450668,0.3936113932575647,0.41431603058759653,0.17763419729838856,80,97,0.08562258788506984,False
net3_4,0.040887740942590116,0.036555295414593,0.2410937569026242,0.272002724729694,0.22746624923893843,80,97,0.0682365514405736,False
net3_5,0.03535630217726901,0.060580908723525596,0.26915040367864596,0.2929092975364229,0.17627140822202336,80,97,0.09423696912548425,False
net3_6,0.027679141852092446,0.04483500645043026,0.20231319976946455,0.22414396175522,0.23421680586822102,80,97,0.07846126128825295,False
net3_7,0.02414414725907962,0.14958347974383138,0.22061561733675034,0.23715467358666806,0.14599779497720658,80,97,0.2094168716413639,False
net4_4,0.03028771963131086,0.12535553741532365,0.4792525244561851,0.49654845922564084,0.12327318687870571,80,97,0.18473447619100328,False
net4_5,0.04546223948747059,0.020607257772558844,0.344742018136541,0.3783517812151114,0.24254372874639887,80,97,0.048083601469303974,True
net4_6,0.012205366842715159,0.4278461836300984,0.20199395572077092,0.20920271012262134,0.06930083142114266,80,97,0.4991538809017815,False
net4_7,-0.009172376782037283,0.6278256759863019,0.2518590788570017,0.23428221120039738,-0.1357186130461055,80,97,0.6510784788006093,False
net5_5,0.052903434322838325,0.0177119856316533,0.5016849365187486,0.5353465990677722,0.2066810010254978,80,97,0.048083601469303974,True
net5_6,0.013747603948798351,0.3871738181410497,0.19516280689452145,0.20483299257953547,0.09052179224498767,80,97,0.4713420394760605,False
net5_7,-0.011503343009029575,0.5821259866087121,0.20968440091134974,0.19221567479073656,-0.12518735095784322,80,97,0.626904908655536,False
net6_6,0.013100672582152112,0.46025096450861647,0.3853737685058688,0.3838154657471358,-0.012547781468848761,80,97,0.5154810802496504,False
net6_7,0.03295220098756193,0.019504606959975572,0.2197748751939006,0.24849843536279376,0.3130393887326939,80,97,0.048083601469303974,True
net7_7,0.0446641528898485,0.011158367656167399,0.41673256417106674,0.4527009563113168,0.3060186953346582,80,97,0.03471492159696524,True
