network,beta_CTL_minus_ASD,p_uncorrected,mean_ASD,mean_CTL,cohen_d_CTL_minus_ASD,n_ASD,n_CTL,p_FDR,FDR_significant
net1_1,0.005057244103691435,0.8964316229419125,0.5373660154325198,0.47024313154742964,-0.46215884317101463,23,34,0.9589500544031287,False
net1_2,-0.031197169668957272,0.39221073330299006,0.2627411706649485,0.19884842949548248,-0.5214469159317765,23,34,0.9589500544031287,False
net1_3,-0.0024820027167151374,0.9452417987199466,0.2748903010772191,0.22979521706465464,-0.36093357443102136,23,34,0.9589500544031287,False
net1_4,-0.008823312236172444,0.7651823659615904,0.24272098169390474,0.214061021043703,-0.29315753084637963,23,34,0.9589500544031287,False
net2_2,0.011755930981881064,0.747808099117634,0.39503234160521034,0.3525726883679364,-0.3254617051662739,23,34,0.9589500544031287,False
net2_3,0.003965550544666419,0.9171546158404521,0.2560424609148898,0.20876307956345921,-0.34862491842952165,23,34,0.9589500544031287,False
net2_4,0.01774912898207827,0.5227801637298672,0.21077549147701596,0.18984529044623627,-0.21431907413149068,23,34,0.9589500544031287,False
net3_3,0.02444202949316852,0.49677736168300435,0.3783232342073527,0.34749586850211495,-0.23727305606315843,23,34,0.9589500544031287,False
net3_4,0.0014257690675894112,0.9589500544031287,0.1904952945572463,0.15835940478433425,-0.3357615531318068,23,34,0.9589500544031287,False
net4_4,-0.012327084859694967,0.6544295666283391,0.3042980304735662,0.26398870549942266,-0.4310209377357547,23,34,0.9589500544031287,False
