stream,scenario,age_group,metric,module
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,PC,1
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,PC,2
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,PC,3
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,PC,4
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,PC,5
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,PC,6
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,PC,7
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,PC,8
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,PC_pos,1
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,PC_pos,2
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,PC_pos,3
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,PC_pos,4
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,PC_pos,5
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,PC_pos,6
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,PC_pos,7
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,PC_pos,8
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,PC_neg,1
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,PC_neg,2
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,PC_neg,3
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,PC_neg,4
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,PC_neg,5
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,PC_neg,6
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,PC_neg,7
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,PC_neg,8
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,Z,1
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,Z,2
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,Z,3
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,Z,4
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,Z,5
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,Z,6
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,Z,7
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,Z,8
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,Z_pos,1
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,Z_pos,2
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,Z_pos,3
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,Z_pos,4
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,Z_pos,5
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,Z_pos,6
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,Z_pos,7
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,Z_pos,8
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,Z_neg,1
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,Z_neg,2
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,Z_neg,3
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,Z_neg,4
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,Z_neg,5
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,Z_neg,6
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,Z_neg,7
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,Z_neg,8
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,Strength_pos,1
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,Strength_pos,2
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,Strength_pos,3
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,Strength_pos,4
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,Strength_pos,5
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,Strength_pos,6
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,Strength_pos,7
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,Strength_pos,8
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,Strength_neg,1
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,Strength_neg,2
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,Strength_neg,3
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,Strength_neg,4
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,Strength_neg,5
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,Strength_neg,6
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,Strength_neg,7
dxsex,OVERALL_ageSexMatched_fd-0.2,child_0_9,Strength_neg,8
dxsex,OVERALL_ageSexMatched_fd-0.2,preteen_10_12,PC,1
dxsex,OVERALL_ageSexMatched_fd-0.2,preteen_10_12,PC,2
dxsex,OVERALL_ageSexMatched_fd-0.2,preteen_10_12,PC,3
dxsex,OVERALL_ageSexMatched_fd-0.2,preteen_10_12,PC,4
dxsex,OVERALL_ageSexMatched_fd-0.2,preteen_10_12,PC,5
dxsex,OVERALL_ageSexMatched_fd-0.2,preteen_10_12,PC,6
dxsex,OVERALL_ageSexMatched_fd-0.2,preteen_10_12,PC,7
dxsex,OVERALL_ageSexMatched_fd-0.2,preteen_10_12,PC,8
dxsex,OVERALL_ageSexMatched_fd-0.2,preteen_10_12,PC_pos,1
dxsex,OVERALL_ageSexMatched_fd-0.2,preteen_10_12,PC_pos,2
dxsex,OVERALL_ageSexMatched_fd-0.2,preteen_10_12,PC_pos,3
dxsex,OVERALL_ageSexMatched_fd-0.2,preteen_10_12,PC_pos,4
dxsex,OVERALL_ageSexMatched_fd-0.2,preteen_10_12,PC_pos,5
dxsex,OVERALL_ageSexMatched_fd-0.2,preteen_10_12,PC_pos,6
dxsex,OVERALL_ageSexMatched_fd-0.2,preteen_10_12,PC_pos,7
dxsex,OVERALL_ageSexMatched_fd-0.2,preteen_10_12,PC_pos,8
dxsex,OVERALL_ageSexMatched_fd-0.2,preteen_10_12,PC_neg,1
dxsex,OVERALL_ageSexMatched_fd-0.2,preteen_10_12,PC_neg,2
dxsex,OVERALL_ageSexMatched_fd-0.2,preteen_10_12,PC_neg,3
dxsex,OVERALL_ageSexMatched_fd-0.2,preteen_10_12,PC_neg,4
dxsex,OVERALL_ageSexMatched_fd-0.2,preteen_10_12,PC_neg,5
dxsex,OVERALL_ageSexMatched_fd-0.2,preteen_10_12,PC_neg,6
dxsex,OVERALL_ageSexMatched_fd-0.2,preteen_10_12,PC_neg,7
dxsex,OVERALL_ageSexMatched_fd-0.2,preteen_10_12,PC_neg,8
dxsex,OVERALL_ageSexMatched_fd-0.2,preteen_10_12,Z,1
dxsex,OVERALL_ageSexMatched_fd-0.2,preteen_10_12,Z,2
dxsex,OVERALL_ageSexMatched_fd-0.2,preteen_10_12,Z,3
dxsex,OVERALL_ageSexMatched_fd-0.2,preteen_10_12,Z,4
dxsex,OVERALL_ageSexMatched_fd-0.2,preteen_10_12,Z,5
