scenario,age_group,sex,metric,module
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,PC,1
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,PC,2
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,PC,3
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,PC,4
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,PC,5
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,PC,6
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,PC,7
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,PC,8
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,PC_pos,1
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,PC_pos,2
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,PC_pos,3
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,PC_pos,4
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,PC_pos,5
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,PC_pos,6
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,PC_pos,7
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,PC_pos,8
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,PC_neg,1
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,PC_neg,2
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,PC_neg,3
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,PC_neg,4
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,PC_neg,5
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,PC_neg,6
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,PC_neg,7
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,PC_neg,8
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Z,1
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Z,2
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Z,3
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Z,4
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Z,5
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Z,6
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Z,7
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Z,8
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Z_pos,1
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Z_pos,2
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Z_pos,3
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Z_pos,4
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Z_pos,5
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Z_pos,6
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Z_pos,7
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Z_pos,8
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Z_neg,1
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Z_neg,2
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Z_neg,3
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Z_neg,4
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Z_neg,5
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Z_neg,6
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Z_neg,7
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Z_neg,8
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Strength_pos,1
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Strength_pos,2
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Strength_pos,3
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Strength_pos,4
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Strength_pos,5
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Strength_pos,6
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Strength_pos,7
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Strength_pos,8
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Strength_neg,1
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Strength_neg,2
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Strength_neg,3
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Strength_neg,4
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Strength_neg,5
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Strength_neg,6
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Strength_neg,7
OVERALL_ageSexMatched_fd-0.2,child_0_9,female,Strength_neg,8
OVERALL_ageSexMatched_fd-0.2,child_0_9,male,PC,1
OVERALL_ageSexMatched_fd-0.2,child_0_9,male,PC,2
OVERALL_ageSexMatched_fd-0.2,child_0_9,male,PC,3
OVERALL_ageSexMatched_fd-0.2,child_0_9,male,PC,4
OVERALL_ageSexMatched_fd-0.2,child_0_9,male,PC,5
OVERALL_ageSexMatched_fd-0.2,child_0_9,male,PC,6
OVERALL_ageSexMatched_fd-0.2,child_0_9,male,PC,7
OVERALL_ageSexMatched_fd-0.2,child_0_9,male,PC,8
OVERALL_ageSexMatched_fd-0.2,child_0_9,male,PC_pos,1
OVERALL_ageSexMatched_fd-0.2,child_0_9,male,PC_pos,2
OVERALL_ageSexMatched_fd-0.2,child_0_9,male,PC_pos,3
OVERALL_ageSexMatched_fd-0.2,child_0_9,male,PC_pos,4
OVERALL_ageSexMatched_fd-0.2,child_0_9,male,PC_pos,5
OVERALL_ageSexMatched_fd-0.2,child_0_9,male,PC_pos,6
OVERALL_ageSexMatched_fd-0.2,child_0_9,male,PC_pos,7
OVERALL_ageSexMatched_fd-0.2,child_0_9,male,PC_pos,8
OVERALL_ageSexMatched_fd-0.2,child_0_9,male,PC_neg,1
OVERALL_ageSexMatched_fd-0.2,child_0_9,male,PC_neg,2
OVERALL_ageSexMatched_fd-0.2,child_0_9,male,PC_neg,3
OVERALL_ageSexMatched_fd-0.2,child_0_9,male,PC_neg,4
OVERALL_ageSexMatched_fd-0.2,child_0_9,male,PC_neg,5
OVERALL_ageSexMatched_fd-0.2,child_0_9,male,PC_neg,6
OVERALL_ageSexMatched_fd-0.2,child_0_9,male,PC_neg,7
OVERALL_ageSexMatched_fd-0.2,child_0_9,male,PC_neg,8
OVERALL_ageSexMatched_fd-0.2,child_0_9,male,Z,1
OVERALL_ageSexMatched_fd-0.2,child_0_9,male,Z,2
OVERALL_ageSexMatched_fd-0.2,child_0_9,male,Z,3
OVERALL_ageSexMatched_fd-0.2,child_0_9,male,Z,4
OVERALL_ageSexMatched_fd-0.2,child_0_9,male,Z,5
OVERALL_ageSexMatched_fd-0.2,child_0_9,male,Z,6
OVERALL_ageSexMatched_fd-0.2,child_0_9,male,Z,7
OVERALL_ageSexMatched_fd-0.2,child_0_9,male,Z,8
OVERALL_ageSexMatched_fd-0.2,child_0_9,male,Z_pos,1
OVERALL_ageSexMatched_fd-0.2,child_0_9,male,Z_pos,2
OVERALL_ageSexMatched_fd-0.2,child_0_9,male,Z_pos,3
OVERALL_ageSexMatched_fd-0.2,child_0_9,male,Z_pos,4
OVERALL_ageSexMatched_fd-0.2,child_0_9,male,Z_pos,5
OVERALL_ageSexMatched_fd-0.2,child_0_9,male,Z_pos,6
OVERALL_ageSexMatched_fd-0.2,child_0_9,male,Z_pos,7
OVERALL_ageSexMatched_fd-0.2,child_0_9,male,Z_pos,8
