stream,scenario,model,metric,sex,mapping_threshold,plot
dx_only,OVERALL_ageSexMatched_fd-0.2,site,PC,female,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.2/site/PC/female.png
dx_only,OVERALL_ageSexMatched_fd-0.2,site,PC_pos,female,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.2/site/PC_pos/female.png
dx_only,OVERALL_ageSexMatched_fd-0.2,site,PC_neg,female,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.2/site/PC_neg/female.png
dx_only,OVERALL_ageSexMatched_fd-0.2,site,Z,female,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.2/site/Z/female.png
dx_only,OVERALL_ageSexMatched_fd-0.2,site,Z_pos,female,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.2/site/Z_pos/female.png
dx_only,OVERALL_ageSexMatched_fd-0.2,site,Z_neg,female,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.2/site/Z_neg/female.png
dx_only,OVERALL_ageSexMatched_fd-0.2,site,Strength_pos,female,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.2/site/Strength_pos/female.png
dx_only,OVERALL_ageSexMatched_fd-0.2,site,Strength_neg,female,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.2/site/Strength_neg/female.png
dx_only,OVERALL_ageSexMatched_fd-0.2,site_iq,PC,female,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.2/site_iq/PC/female.png
dx_only,OVERALL_ageSexMatched_fd-0.2,site_iq,PC_pos,female,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.2/site_iq/PC_pos/female.png
dx_only,OVERALL_ageSexMatched_fd-0.2,site_iq,PC_neg,female,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.2/site_iq/PC_neg/female.png
dx_only,OVERALL_ageSexMatched_fd-0.2,site_iq,Z,female,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.2/site_iq/Z/female.png
dx_only,OVERALL_ageSexMatched_fd-0.2,site_iq,Z_pos,female,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.2/site_iq/Z_pos/female.png
dx_only,OVERALL_ageSexMatched_fd-0.2,site_iq,Z_neg,female,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.2/site_iq/Z_neg/female.png
dx_only,OVERALL_ageSexMatched_fd-0.2,site_iq,Strength_pos,female,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.2/site_iq/Strength_pos/female.png
dx_only,OVERALL_ageSexMatched_fd-0.2,site_iq,Strength_neg,female,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.2/site_iq/Strength_neg/female.png
dx_only,OVERALL_ageSexMatched_fd-0.2,site_iq_rh,PC,female,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.2/site_iq_rh/PC/female.png
dx_only,OVERALL_ageSexMatched_fd-0.2,site_iq_rh,PC_pos,female,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.2/site_iq_rh/PC_pos/female.png
dx_only,OVERALL_ageSexMatched_fd-0.2,site_iq_rh,PC_neg,female,fd-0.2,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/module_heatmaps/dx_only/OVERALL_ageSexMatched_fd-0.2/site_iq_rh/PC_neg/female.png
