sex_label,dx_label,AGE_GROUP,n_subjects,n_FIQ,n_RIGHT_HANDED,n_complete_both,pct_FIQ,pct_RIGHT_HANDED,pct_complete_both
female,ASD,adult_18_plus,14,14,10,10,100.0,71.42857142857143,71.42857142857143
female,ASD,child_0_9,10,8,9,7,80.0,90.0,70.0
female,ASD,preteen_10_12,14,14,11,11,100.0,78.57142857142857,78.57142857142857
female,ASD,teen_13_17,18,16,14,12,88.88888888888889,77.77777777777777,66.66666666666667
female,CTL,adult_18_plus,22,22,14,14,100.0,63.63636363636363,63.63636363636363
female,CTL,child_0_9,49,48,43,42,97.95918367346938,87.75510204081633,85.71428571428571
female,CTL,preteen_10_12,46,45,41,40,97.82608695652173,89.1304347826087,86.95652173913044
female,CTL,teen_13_17,42,39,34,31,92.85714285714286,80.95238095238095,73.80952380952381
male,ASD,adult_18_plus,113,113,92,92,100.0,81.41592920353982,81.41592920353982
male,ASD,child_0_9,64,54,49,39,84.375,76.5625,60.9375
male,ASD,preteen_10_12,77,73,62,58,94.8051948051948,80.51948051948052,75.32467532467533
male,ASD,teen_13_17,106,99,90,83,93.39622641509433,84.90566037735849,78.30188679245283
male,CTL,adult_18_plus,131,131,98,98,100.0,74.80916030534351,74.80916030534351
male,CTL,child_0_9,70,62,58,50,88.57142857142857,82.85714285714286,71.42857142857143
male,CTL,preteen_10_12,122,119,104,101,97.54098360655738,85.24590163934427,82.78688524590164
male,CTL,teen_13_17,126,117,104,95,92.85714285714286,82.53968253968254,75.39682539682539
