scenario,sex,age_group,metric,module,mean_ASD,mean_CTL,n_ASD,n_CTL,beta_CTL_minus_ASD,p_DX,p_DX_FDR,DX_FDR_significant,p_SITE,p_IQ,p_RIGHT_HANDED,n_model,n_model_ASD,n_model_CTL,note,model,model_label,module_yeo_label,model_folder,source_file,family,metric_key
OVERALL_ageSexMatched_fd-0.3,female,teen_13_17,PC_neg,1,0.6532996743485541,0.7207157776526664,18,46,0.0864112058602323,0.0052417714610078,0.0364138199134501,True,0.0148773506852253,,,64,18,46,,m1,site,Somatomotor,site,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/PC/neg/teen_13_17/female/site/module_stats_sitecov.csv,family_A_teen_female_PC_neg,PC_neg
OVERALL_ageSexMatched_fd-0.3,female,teen_13_17,PC_neg,2,0.6848330178660913,0.7393429602817242,18,46,0.0731711768269414,0.0091034549783625,0.0364138199134501,True,0.0020158556941946,,,64,18,46,,m1,site,Visual,site,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/PC/neg/teen_13_17/female/site/module_stats_sitecov.csv,family_A_teen_female_PC_neg,PC_neg
OVERALL_ageSexMatched_fd-0.3,female,teen_13_17,PC_neg,3,0.6909867615689353,0.7506558175844453,18,46,0.0642057006005442,0.0207783066006938,0.0522484249164998,False,0.0029536449545628,,,64,18,46,,m1,site,Limbic,site,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/PC/neg/teen_13_17/female/site/module_stats_sitecov.csv,family_A_teen_female_PC_neg,PC_neg
OVERALL_ageSexMatched_fd-0.3,female,teen_13_17,PC_neg,4,0.694989356805574,0.7485555887722621,18,46,0.0663899151585474,0.0271734102920216,0.0522484249164998,False,0.0136407256346838,,,64,18,46,,m1,site,Frontoparietal,site,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/PC/neg/teen_13_17/female/site/module_stats_sitecov.csv,family_A_teen_female_PC_neg,PC_neg
OVERALL_ageSexMatched_fd-0.3,female,teen_13_17,PC_neg,7,0.692558186189432,0.7476384426202879,18,46,0.0631626340888869,0.0326552655728124,0.0522484249164998,False,0.012587771049221,,,64,18,46,,m1,site,DefaultMode,site,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/PC/neg/teen_13_17/female/site/module_stats_sitecov.csv,family_A_teen_female_PC_neg,PC_neg
OVERALL_ageSexMatched_fd-0.3,female,teen_13_17,PC_neg,8,0.6479841596342963,0.6922686565936567,18,46,0.0486945364068376,0.0927059453386824,0.1236079271182432,False,0.0045614782255306,,,64,18,46,,m1,site,DorsalAttention,site,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/PC/neg/teen_13_17/female/site/module_stats_sitecov.csv,family_A_teen_female_PC_neg,PC_neg
OVERALL_ageSexMatched_fd-0.3,female,teen_13_17,PC_neg,1,0.6532996743485541,0.7207157776526664,18,46,0.0768995753938024,0.0209499210091259,0.0475021393649939,True,0.0155767305657625,0.5172182984829691,,59,16,43,,m2,site_iq,Somatomotor,site_iq,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/PC/neg/teen_13_17/female/site_iq/module_stats_sitecov.csv,family_A_teen_female_PC_neg,PC_neg
OVERALL_ageSexMatched_fd-0.3,female,teen_13_17,PC_neg,2,0.6848330178660913,0.7393429602817242,18,46,0.0819086710337256,0.0072686229345946,0.0475021393649939,True,0.0023525554036167,0.3427334632868909,,59,16,43,,m2,site_iq,Visual,site_iq,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/PC/neg/teen_13_17/female/site_iq/module_stats_sitecov.csv,family_A_teen_female_PC_neg,PC_neg
OVERALL_ageSexMatched_fd-0.3,female,teen_13_17,PC_neg,3,0.6909867615689353,0.7506558175844453,18,46,0.0697418385655159,0.0197659198412199,0.0475021393649939,True,0.0027662307664711,0.1692210973603415,,59,16,43,,m2,site_iq,Limbic,site_iq,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/PC/neg/teen_13_17/female/site_iq/module_stats_sitecov.csv,family_A_teen_female_PC_neg,PC_neg
OVERALL_ageSexMatched_fd-0.3,female,teen_13_17,PC_neg,4,0.694989356805574,0.7485555887722621,18,46,0.0738786700366657,0.0237510696824969,0.0475021393649939,True,0.0147713495956883,0.527181793954276,,59,16,43,,m2,site_iq,Frontoparietal,site_iq,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/PC/neg/teen_13_17/female/site_iq/module_stats_sitecov.csv,family_A_teen_female_PC_neg,PC_neg
