scenario,sex,age_group,metric,module,mean_ASD,mean_CTL,n_ASD,n_CTL,beta_CTL_minus_ASD,p_DX,p_DX_FDR,DX_FDR_significant,p_SITE,p_IQ,p_RIGHT_HANDED,n_model,n_model_ASD,n_model_CTL,note,model,model_label,module_yeo_label,model_folder,source_file,family,metric_key
OVERALL_ageSexMatched_fd-0.3,male,child_0_9,PC,6,0.8478786610090429,0.8459452830199293,84,88,-0.0030280200880028,0.0042965088959109,0.0343720711672874,True,0.2147002566255973,,,172,84,88,,m1,site,Visual,site,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/PC/all/child_0_9/male/site/module_stats_sitecov.csv,family_G_child_male_secondary,PC
OVERALL_ageSexMatched_fd-0.3,male,child_0_9,PC,7,0.8440421894586783,0.8425661678054728,84,88,-0.0023251352470416,0.0273921673508928,0.073045779602381,False,0.0028906262312208,,,172,84,88,,m1,site,DefaultMode,site,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/PC/all/child_0_9/male/site/module_stats_sitecov.csv,family_G_child_male_secondary,PC
OVERALL_ageSexMatched_fd-0.3,male,child_0_9,PC,8,0.8482474790254321,0.8475376346931331,84,88,-0.0018054854826756,0.0167106197238112,0.0668424788952448,False,0.0089396443642398,,,172,84,88,,m1,site,DorsalAttention,site,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/PC/all/child_0_9/male/site/module_stats_sitecov.csv,family_G_child_male_secondary,PC
OVERALL_ageSexMatched_fd-0.3,male,child_0_9,PC,6,0.8478786610090429,0.8459452830199293,84,88,-0.0033375047382114,0.0062653090915273,0.018929824446949,True,0.3532005561505749,0.9797520513401616,,153,74,79,,m2,site_iq,Visual,site_iq,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/PC/all/child_0_9/male/site_iq/module_stats_sitecov.csv,family_G_child_male_secondary,PC
OVERALL_ageSexMatched_fd-0.3,male,child_0_9,PC,7,0.8440421894586783,0.8425661678054728,84,88,-0.0032946803941397,0.0070986841676059,0.018929824446949,True,0.0148283775191979,0.6731290907206682,,153,74,79,,m2,site_iq,DefaultMode,site_iq,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/PC/all/child_0_9/male/site_iq/module_stats_sitecov.csv,family_G_child_male_secondary,PC
OVERALL_ageSexMatched_fd-0.3,male,child_0_9,PC,8,0.8482474790254321,0.8475376346931331,84,88,-0.0024403438088305,0.0048266513062148,0.018929824446949,True,0.0079147345175345,0.8982900576537836,,153,74,79,,m2,site_iq,DorsalAttention,site_iq,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/PC/all/child_0_9/male/site_iq/module_stats_sitecov.csv,family_G_child_male_secondary,PC
OVERALL_ageSexMatched_fd-0.3,male,child_0_9,PC,6,0.8478786610090429,0.8459452830199293,84,88,-0.0025924573762608,0.0850713471276718,0.2717757549810615,False,0.898403691486852,0.8106930361744109,0.8335965920413763,118,51,67,,m3,site_iq_rh,Visual,site_iq_rh,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/PC/all/child_0_9/male/site_iq_rh/module_stats_sitecov.csv,family_G_child_male_secondary,PC
OVERALL_ageSexMatched_fd-0.3,male,child_0_9,PC,7,0.8440421894586783,0.8425661678054728,84,88,-0.0028006682122978,0.0770339268833361,0.2717757549810615,False,0.037773300433585,0.7498382930437842,0.4999247277363581,118,51,67,,m3,site_iq_rh,DefaultMode,site_iq_rh,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/PC/all/child_0_9/male/site_iq_rh/module_stats_sitecov.csv,family_G_child_male_secondary,PC
OVERALL_ageSexMatched_fd-0.3,male,child_0_9,PC,8,0.8482474790254321,0.8475376346931331,84,88,-0.0017101315467164,0.101915908117898,0.2717757549810615,False,0.0523025575398445,0.7969056282517072,0.5991457471789645,118,51,67,,m3,site_iq_rh,DorsalAttention,site_iq_rh,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/PC/all/child_0_9/male/site_iq_rh/module_stats_sitecov.csv,family_G_child_male_secondary,PC
OVERALL_ageSexMatched_fd-0.3,male,child_0_9,Strength_pos,2,38.65376406615302,39.96953615977825,84,88,-2.7165484462389387,0.1632421502437263,0.9203939830132744,False,3.0597890823775537e-05,,,172,84,88,,m1,site,Visual,site,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/Strength/pos/child_0_9/male/site/module_stats_sitecov.csv,family_G_child_male_secondary,Strength_pos
OVERALL_ageSexMatched_fd-0.3,male,child_0_9,Strength_pos,2,38.65376406615302,39.96953615977825,84,88,-4.565969434403807,0.0423523925437206,0.3388191403497648,False,3.731575890161109e-05,0.1100614235562305,,153,74,79,,m2,site_iq,Visual,site_iq,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/Strength/pos/child_0_9/male/site_iq/module_stats_sitecov.csv,family_G_child_male_secondary,Strength_pos
OVERALL_ageSexMatched_fd-0.3,male,child_0_9,Strength_pos,2,38.65376406615302,39.96953615977825,84,88,-7.82453350539382,0.0032180270632002,0.025744216505602,True,9.893595102089142e-06,0.0357298726735643,0.8216871813050877,118,51,67,,m3,site_iq_rh,Visual,site_iq_rh,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/Strength/pos/child_0_9/male/site_iq_rh/module_stats_sitecov.csv,family_G_child_male_secondary,Strength_pos
