full_path,file,scenario,metric_folder,sign_folder,metric,age_group,sex,model,module,module_yeo_label,beta_CTL_minus_ASD,p_DX,p_DX_FDR
/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.2/PC/all/child_0_9/male/site_iq/module_stats_sitecov.csv,module_stats_sitecov.csv,OVERALL_ageSexMatched_fd-0.2,PC,all,PC,child_0_9,male,site_iq,3,unmapped_fd0p2,-0.0038818665072676,0.0080717166347836,0.0480477656246139
/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.2/PC/all/child_0_9/male/site_iq/module_stats_sitecov.csv,module_stats_sitecov.csv,OVERALL_ageSexMatched_fd-0.2,PC,all,PC,child_0_9,male,site_iq,5,unmapped_fd0p2,-0.0034653271337408,0.0120119414061534,0.0480477656246139
/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.2/Strength/neg/child_0_9/female/site_iq/module_stats_sitecov.csv,module_stats_sitecov.csv,OVERALL_ageSexMatched_fd-0.2,Strength,neg,Strength_neg,child_0_9,female,site_iq,2,unmapped_fd0p2,-5.760056574968188,0.0057749153237272,0.0461993225898178
/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.2/Strength/pos/child_0_9/male/site_iq_rh/module_stats_sitecov.csv,module_stats_sitecov.csv,OVERALL_ageSexMatched_fd-0.2,Strength,pos,Strength_pos,child_0_9,male,site_iq_rh,2,unmapped_fd0p2,-9.3200671086242,0.0030142771746656,0.024114217397325
/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.2/Z/all/adult_18_plus/female/site/module_stats_sitecov.csv,module_stats_sitecov.csv,OVERALL_ageSexMatched_fd-0.2,Z,all,Z,adult_18_plus,female,site,1,unmapped_fd0p2,0.2420698016646366,0.0050799625087492,0.040639700069994
/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.2/Z/all/adult_18_plus/female/site_iq/module_stats_sitecov.csv,module_stats_sitecov.csv,OVERALL_ageSexMatched_fd-0.2,Z,all,Z,adult_18_plus,female,site_iq,1,unmapped_fd0p2,0.2447690546941432,0.005440043215057,0.0435203457204563
/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/PC/all/child_0_9/female/site/module_stats_sitecov.csv,module_stats_sitecov.csv,OVERALL_ageSexMatched_fd-0.3,PC,all,PC,child_0_9,female,site,4,Frontoparietal,-0.0050470977814786,0.0042840186596926,0.0171360746387707
/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/PC/all/child_0_9/female/site/module_stats_sitecov.csv,module_stats_sitecov.csv,OVERALL_ageSexMatched_fd-0.3,PC,all,PC,child_0_9,female,site,7,DefaultMode,-0.0088966773357825,0.0009861523698072,0.0078892189584582
/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/PC/all/child_0_9/male/site/module_stats_sitecov.csv,module_stats_sitecov.csv,OVERALL_ageSexMatched_fd-0.3,PC,all,PC,child_0_9,male,site,6,Visual,-0.0030280200880028,0.0042965088959109,0.0343720711672874
/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/PC/all/child_0_9/male/site_iq/module_stats_sitecov.csv,module_stats_sitecov.csv,OVERALL_ageSexMatched_fd-0.3,PC,all,PC,child_0_9,male,site_iq,6,Visual,-0.0033375047382114,0.0062653090915273,0.018929824446949
