Id,Label,Degree,Group
0,ROI_1,27,M_ASD
1,ROI_2,28,M_ASD
2,ROI_3,26,M_ASD
3,ROI_4,21,M_ASD
4,ROI_5,18,M_ASD
5,ROI_6,53,M_ASD
6,ROI_7,18,M_ASD
7,ROI_8,25,M_ASD
8,ROI_9,22,M_ASD
9,ROI_10,12,M_ASD
10,ROI_11,24,M_ASD
11,ROI_12,10,M_ASD
12,ROI_13,36,M_ASD
13,ROI_14,22,M_ASD
14,ROI_15,7,M_ASD
15,ROI_16,22,M_ASD
16,ROI_17,15,M_ASD
17,ROI_18,8,M_ASD
18,ROI_19,21,M_ASD
19,ROI_20,19,M_ASD
20,ROI_21,13,M_ASD
21,ROI_22,26,M_ASD
22,ROI_23,16,M_ASD
23,ROI_24,32,M_ASD
24,ROI_25,17,M_ASD
25,ROI_26,31,M_ASD
26,ROI_27,5,M_ASD
27,ROI_28,19,M_ASD
28,ROI_29,13,M_ASD
29,ROI_30,2,M_ASD
30,ROI_31,25,M_ASD
31,ROI_32,8,M_ASD
32,ROI_33,28,M_ASD
33,ROI_34,17,M_ASD
34,ROI_35,20,M_ASD
35,ROI_36,7,M_ASD
36,ROI_37,14,M_ASD
37,ROI_38,23,M_ASD
38,ROI_39,6,M_ASD
39,ROI_40,25,M_ASD
40,ROI_41,8,M_ASD
41,ROI_42,3,M_ASD
42,ROI_43,5,M_ASD
43,ROI_44,22,M_ASD
44,ROI_45,16,M_ASD
45,ROI_46,21,M_ASD
46,ROI_47,11,M_ASD
47,ROI_48,18,M_ASD
48,ROI_49,18,M_ASD
49,ROI_50,34,M_ASD
50,ROI_51,14,M_ASD
51,ROI_52,3,M_ASD
52,ROI_53,17,M_ASD
53,ROI_54,30,M_ASD
54,ROI_55,31,M_ASD
55,ROI_56,14,M_ASD
56,ROI_57,5,M_ASD
57,ROI_58,21,M_ASD
58,ROI_59,20,M_ASD
59,ROI_60,25,M_ASD
60,ROI_61,22,M_ASD
61,ROI_62,18,M_ASD
62,ROI_63,19,M_ASD
63,ROI_64,21,M_ASD
64,ROI_65,25,M_ASD
65,ROI_66,35,M_ASD
66,ROI_67,26,M_ASD
67,ROI_68,1,M_ASD
68,ROI_69,19,M_ASD
69,ROI_70,26,M_ASD
70,ROI_71,7,M_ASD
71,ROI_72,28,M_ASD
72,ROI_73,29,M_ASD
73,ROI_74,14,M_ASD
74,ROI_75,16,M_ASD
75,ROI_76,27,M_ASD
76,ROI_77,16,M_ASD
77,ROI_78,9,M_ASD
78,ROI_79,46,M_ASD
79,ROI_80,10,M_ASD
80,ROI_81,34,M_ASD
81,ROI_82,27,M_ASD
82,ROI_83,19,M_ASD
83,ROI_84,7,M_ASD
