Id,Label,x,y,z,Module,Strength
1,CC200_ROI_001,-39.593,-85.426,1.352,2,49.753584
2,CC200_ROI_002,-49.706,-60.803,23.208,1,53.371807
3,CC200_ROI_003,13.320,-64.373,24.032,1,52.986139
4,CC200_ROI_004,-36.617,-13.938,-2.309,4,53.853505
5,CC200_ROI_005,-6.757,45.743,7.824,1,51.041694
6,CC200_ROI_006,9.056,-35.944,47.124,5,69.197356
7,CC200_ROI_007,55.202,-47.490,41.915,3,49.073205
8,CC200_ROI_008,-40.660,-21.345,54.319,5,53.918827
9,CC200_ROI_009,-19.251,-62.068,-26.119,6,59.969821
10,CC200_ROI_010,43.324,-55.191,-32.250,6,52.618768
11,CC200_ROI_011,-58.913,-30.209,-2.404,1,54.477829
12,CC200_ROI_012,27.662,58.247,-1.617,3,43.942124
13,CC200_ROI_013,2.761,12.414,49.418,3,59.324655
14,CC200_ROI_014,53.803,-55.381,23.533,1,53.235583
15,CC200_ROI_015,13.491,12.260,-6.971,7,45.783935
16,CC200_ROI_016,-49.081,-65.356,-4.310,2,57.490594
17,CC200_ROI_017,46.013,9.125,32.138,3,50.452157
18,CC200_ROI_018,11.646,-20.009,9.467,7,64.292737
19,CC200_ROI_019,-9.887,-67.381,22.412,1,50.979866
20,CC200_ROI_020,-32.654,19.696,2.042,4,44.678667
21,CC200_ROI_021,-8.847,-38.009,69.279,5,48.715393
22,CC200_ROI_022,6.704,42.592,6.085,1,55.750567
23,CC200_ROI_023,-42.150,41.190,13.275,3,45.414214
24,CC200_ROI_024,-58.099,-26.922,16.005,4,53.959710
25,CC200_ROI_025,44.493,40.681,14.478,3,46.100095
26,CC200_ROI_026,43.225,-73.600,-10.938,2,57.898468
27,CC200_ROI_027,-30.510,-5.098,-32.588,1,33.873260
28,CC200_ROI_028,30.363,-33.675,63.450,5,48.569492
29,CC200_ROI_029,1.617,-16.520,34.792,1,55.721341
30,CC200_ROI_030,2.907,-28.005,-35.954,6,39.198350
31,CC200_ROI_031,29.681,-54.623,59.725,5,49.867747
32,CC200_ROI_032,43.535,9.918,-36.212,1,34.006882
33,CC200_ROI_033,-56.541,-43.312,26.475,4,49.985508
34,CC200_ROI_034,-45.606,8.000,31.682,3,51.744652
35,CC200_ROI_035,41.036,-4.710,10.819,4,41.589209
36,CC200_ROI_036,-40.123,-52.601,-33.239,6,47.342572
37,CC200_ROI_037,-13.385,-32.321,0.833,6,61.435450
38,CC200_ROI_038,42.396,23.821,37.621,3,52.841035
39,CC200_ROI_039,62.922,-42.964,-7.788,3,52.040057
40,CC200_ROI_040,1.616,33.263,24.293,1,57.736082
41,CC200_ROI_041,30.085,-39.271,-31.627,6,45.817549
42,CC200_ROI_042,-28.304,50.674,-11.609,3,34.882578
43,CC200_ROI_043,-38.923,5.731,-39.365,1,36.027715
44,CC200_ROI_044,13.547,-94.439,2.172,2,55.186049
45,CC200_ROI_045,-8.168,-17.881,10.574,7,62.312475
46,CC200_ROI_046,1.903,-38.220,32.194,1,53.623962
47,CC200_ROI_047,-13.793,12.598,-2.894,7,54.437526
48,CC200_ROI_048,18.470,-34.564,-1.792,6,58.723793
49,CC200_ROI_049,61.905,-21.054,-15.635,1,53.330269
50,CC200_ROI_050,-28.237,-6.313,58.024,5,57.989376
51,CC200_ROI_051,-0.068,38.865,-12.189,1,43.432932
52,CC200_ROI_052,-7.286,-45.373,-39.484,6,26.724411
53,CC200_ROI_053,44.582,29.221,-9.476,1,48.682458
54,CC200_ROI_054,-5.439,-87.245,24.990,2,53.281486
55,CC200_ROI_055,0.279,16.324,32.344,4,56.660330
56,CC200_ROI_056,-51.872,-50.202,42.133,3,47.713230
57,CC200_ROI_057,-28.429,31.071,-15.262,1,42.252991
58,CC200_ROI_058,1.506,-52.753,14.844,1,56.850794
59,CC200_ROI_059,36.712,17.250,3.575,4,44.912921
60,CC200_ROI_060,43.263,-19.895,53.662,5,52.222568
