Source,Target,Type,Weight
1,16,Undirected,0.450978
1,26,Undirected,0.786729
1,44,Undirected,0.435204
1,54,Undirected,0.510255
1,63,Undirected,0.401130
1,85,Undirected,0.540365
1,89,Undirected,0.400257
1,100,Undirected,0.569003
1,102,Undirected,0.829545
1,108,Undirected,0.467766
1,131,Undirected,0.904079
1,138,Undirected,0.548546
1,142,Undirected,0.550336
1,143,Undirected,0.560353
1,150,Undirected,0.518903
1,158,Undirected,0.654145
1,159,Undirected,0.788118
1,170,Undirected,0.571098
1,172,Undirected,0.453195
1,175,Undirected,0.629538
1,177,Undirected,0.568777
1,189,Undirected,0.602060
2,3,Undirected,0.440796
2,5,Undirected,0.439621
2,11,Undirected,0.644080
2,14,Undirected,0.692876
2,19,Undirected,0.427558
2,49,Undirected,0.450766
2,69,Undirected,0.508257
2,72,Undirected,0.572620
2,73,Undirected,0.408667
2,74,Undirected,0.438659
2,82,Undirected,0.648448
2,91,Undirected,0.588524
2,97,Undirected,0.406514
2,101,Undirected,0.426571
2,104,Undirected,0.496069
2,107,Undirected,0.493528
2,109,Undirected,0.418632
2,117,Undirected,0.631377
2,133,Undirected,0.559652
2,139,Undirected,0.467524
2,140,Undirected,0.446171
2,141,Undirected,0.486889
2,150,Undirected,0.488298
2,173,Undirected,0.465851
2,174,Undirected,0.648089
2,186,Undirected,0.442784
2,191,Undirected,0.427490
2,193,Undirected,0.480261
3,5,Undirected,0.484591
3,6,Undirected,0.428824
3,14,Undirected,0.550776
3,19,Undirected,1.269790
3,22,Undirected,0.521127
3,46,Undirected,0.644314
3,49,Undirected,0.407576
3,51,Undirected,0.478963
3,58,Undirected,0.888442
3,62,Undirected,0.462577
3,70,Undirected,0.441850
3,72,Undirected,0.454524
3,81,Undirected,0.830805
3,82,Undirected,0.440911
3,89,Undirected,0.452684
3,91,Undirected,0.430895
3,97,Undirected,0.529412
3,104,Undirected,0.432648
3,105,Undirected,0.671355
3,106,Undirected,0.463883
3,109,Undirected,0.602889
3,122,Undirected,0.464725
3,127,Undirected,0.432871
3,139,Undirected,0.538461
3,147,Undirected,0.646972
3,163,Undirected,0.477611
3,166,Undirected,0.522391
3,174,Undirected,0.879267
3,179,Undirected,0.582470
3,191,Undirected,0.441087
4,20,Undirected,0.460129
4,24,Undirected,0.620078
4,33,Undirected,0.491207
4,35,Undirected,0.567533
4,55,Undirected,0.431010
4,59,Undirected,0.487161
4,66,Undirected,0.640213
4,67,Undirected,0.599482
4,79,Undirected,0.495554
4,83,Undirected,0.604937
4,119,Undirected,0.660744
4,121,Undirected,0.629028
4,123,Undirected,0.427472
4,128,Undirected,0.543320
4,129,Undirected,0.512848
4,137,Undirected,0.780115
4,146,Undirected,0.675910
4,153,Undirected,0.413966
4,178,Undirected,0.448468
4,184,Undirected,0.681312
4,185,Undirected,0.572716
4,196,Undirected,0.450313
4,200,Undirected,0.601138
5,11,Undirected,0.428634
5,19,Undirected,0.473294
5,22,Undirected,1.070819
5,29,Undirected,0.488241
5,40,Undirected,0.766625
5,46,Undirected,0.510825
5,51,Undirected,0.638401
5,58,Undirected,0.537467
5,72,Undirected,0.476941
5,82,Undirected,0.483866
5,91,Undirected,0.810008
5,104,Undirected,0.736651
5,106,Undirected,0.418753
5,109,Undirected,0.758764
5,112,Undirected,0.407074
5,133,Undirected,0.581615
5,139,Undirected,0.766704
5,149,Undirected,0.422581
5,160,Undirected,0.435967
5,173,Undirected,0.427367
5,174,Undirected,0.571489
5,186,Undirected,0.443755
5,191,Undirected,0.551171
5,193,Undirected,0.506280
6,7,Undirected,0.498762
6,8,Undirected,0.418296
6,13,Undirected,0.449193
6,18,Undirected,0.426914
