Source,Target,Weight
1,16,0.4937181922485788
1,26,0.7488395976435568
1,44,0.4932916259730322
1,54,0.5178424421746417
1,85,0.5495119387030105
1,89,0.45019689038807387
1,100,0.5368431199575766
1,102,0.8186793389388378
1,108,0.5165753770068973
1,131,0.9198658487751145
1,132,0.4217289446617992
1,138,0.5570605364917317
1,142,0.5602478916477486
1,143,0.5556852117245034
1,150,0.4997857062336444
1,158,0.6692346017957496
1,159,0.7838980391834107
1,170,0.5709549935884387
1,172,0.4745511609174218
1,175,0.6218949646689879
1,177,0.5694581397126934
1,189,0.6045960310559985
2,3,0.4851520175875772
2,5,0.4637566256396147
2,11,0.6242261615148682
2,14,0.7194902656166879
2,19,0.4658619079626126
2,22,0.43865635131793723
2,49,0.452387899020997
2,69,0.49467780216627244
2,72,0.5450876912160354
2,73,0.4419150928636468
2,82,0.6888694389019363
2,91,0.6245796428270683
2,95,0.42700834947392097
2,97,0.4486151214703913
2,104,0.5281581773239443
2,107,0.4782129440012826
2,109,0.44264591589760355
2,117,0.6536998557590115
2,133,0.586627182828482
2,139,0.49345569834294223
2,141,0.49659873959748135
2,149,0.42494247677929925
2,150,0.5340575655519356
2,166,0.4216613530712797
2,173,0.5024690095166462
2,174,0.6661331335137409
2,186,0.47001921494086163
2,187,0.4343104479365061
2,191,0.46476111541391096
2,193,0.49979512720164254
3,5,0.476161619970606
3,6,0.4418867744605203
3,14,0.58673342388986
3,19,1.2807734379287283
3,22,0.5222785661380155
3,46,0.6624751216730417
3,49,0.4242884828814629
3,58,0.870715541480541
3,62,0.43855530789820923
3,70,0.42910777398722777
3,72,0.44187366105167625
3,81,0.8629150304950072
3,82,0.4846960472239371
3,85,0.46276335170860977
3,89,0.4705672818041957
3,91,0.4235667801736707
3,97,0.6050029825199406
3,104,0.45848707044046616
3,105,0.6369781915465937
3,106,0.4686489437913155
3,109,0.5892124610416568
3,114,0.4459540738876809
3,122,0.4321729228301326
3,127,0.4791493249378028
3,139,0.5327170274874697
3,147,0.6733014761900974
3,163,0.5006168941826084
3,166,0.5959416175875228
3,174,0.9024565100781113
3,179,0.5429460284739903
3,191,0.4378879026477186
4,20,0.4832044188571235
4,24,0.6275883959193217
4,33,0.49920687916088996
4,35,0.5779040491249765
4,45,0.42743636823365366
4,55,0.4429203649274719
4,59,0.4781049179388157
4,66,0.6364944304782868
4,67,0.6289293455861871
4,79,0.49342991928821117
4,83,0.5617738364199344
4,119,0.6796151103622867
4,121,0.64988150272254
4,123,0.4271249800239971
4,128,0.525679990645685
4,129,0.47696328992859405
4,137,0.7961627772100183
4,146,0.7215247253362522
4,178,0.4735446797643935
4,184,0.7055359760820974
4,185,0.556501530343195
4,196,0.43810705134161193
4,200,0.607457855171885
5,11,0.4569417647645796
5,19,0.4880172147040861
5,22,1.1104927179269415
5,29,0.48185935754096865
5,40,0.764443942248645
5,46,0.4890270216284711
5,47,0.44119606591126126
5,51,0.5468036528101026
5,58,0.4890625217011052
5,72,0.4490733011454244
5,82,0.48904780464561365
5,91,0.7497375200195319
5,104,0.7370114139579597
5,106,0.4249536302553608
5,109,0.7087172802049918
5,112,0.4314742185068965
5,133,0.5853953564403643
5,139,0.721647656469058
5,149,0.45693486804565137
5,173,0.43502139665103284
5,174,0.5316391220371665
5,186,0.4518423862272644
5,191,0.5253090504351807
5,193,0.518192417988459
6,7,0.5545808577323107
6,8,0.4766610187751589
6,13,0.5298643391239682
6,18,0.4631683856100526
6,19,0.4330588814496603
6,21,0.45450432904324967
6,22,0.45103465418870026
6,28,0.45049964386810576
6,29,0.6535298457920907
6,38,0.535593281125112
6,40,0.5311605573139733
6,45,0.44197639110170134
6,46,0.6336020076356041
6,50,0.44464569684351546
6,55,0.5376052092338395
6,56,0.5047772207905634
6,58,0.4369337950041522
6,60,0.4905963176715436
6,61,0.4699209662780773
6,64,0.4491164460529602
6,65,0.6529854027627888
6,73,0.4533143809498976
6,76,1.036710638392264
6,79,0.6205406496227752
6,81,0.5875646417652407
6,93,0.43510145722476484
6,95,0.46240842696169127
6,106,0.5917059526277331
6,111,0.5234225978605689
6,114,0.4307398007800073
6,115,0.520789667108834
6,123,0.7023766236871496
6,125,0.5353013080931215
6,127,0.49427440014904583
6,136,0.49140995126650366
6,147,0.5977147315802229
6,149,0.490369543756166
6,150,0.4284880962040538
6,156,0.510591304969412
6,163,0.7136306460363075
6,166,0.4388599553514589
6,167,0.460542061328274
6,168,0.5196606217224783
6,174,0.5156833497903828
6,188,0.42067538300927426
6,191,0.515734468393315
6,197,0.8192499216805847
7,13,0.48590188331495693
7,14,0.43010797320697935
7,17,0.4792350027435702
7,25,0.5015845504160636
7,38,0.6524873920844759
7,56,0.6848776308603709
7,61,0.4363573653591426
7,64,0.4373753272646579
7,75,0.4284726422685624
7,93,0.4957049416310706
7,106,0.4842436042349043
7,115,0.5409098610071952
7,127,0.4545359298241104
7,149,0.47886522062598574
7,156,0.5149528149057425
7,163,0.44661291231806693
7,164,0.5067356821781229
7,166,0.5405638832527092
7,168,0.4802475615054538
8,13,0.43547487440865185
8,21,0.42800401787654563
8,24,0.43932966988658084
8,28,0.5111378464614991
8,50,0.4899547720976558
8,60,0.6964486392224831
8,65,0.443959106615406
8,66,0.46015736254531503
8,73,0.4560956773035115
8,76,0.5105396070585023
8,79,0.5426094053807917
8,88,0.4341789356784244
8,90,0.5119892085306351
8,96,0.743028919146251
8,98,0.46402937292431123
8,111,0.47459555871331793
8,123,0.6897297957710181
8,146,0.4867609005734487
8,154,0.627177174527647
8,157,0.596792363644647
8,161,0.4790570730676674
8,171,0.4992757284363653
8,182,0.4363983472742313
8,188,0.4320938041139141
9,10,0.5560316122735495
9,36,0.5701020477332462
9,41,0.45410683983912126
9,63,0.43529024602326905
9,77,0.47503091560466815
9,80,0.5470448125828808
9,100,0.4485816399473024
9,103,0.5499989302547514
9,118,0.7340770324163778
9,120,0.5257996557834129
9,126,0.4619039697425701
9,138,0.46003183799801617
9,152,0.5392876423299904
9,159,0.4740094004900621
9,162,0.4838104442580652
9,176,0.470291391566362
9,177,0.46359690112289176
9,189,0.5307647917913454
9,192,0.6530878523515731
9,195,0.41941411712890064
10,36,0.6961630976885632
10,41,0.5425456753838402
10,63,0.45237232849472025
10,77,0.5552210094345336
10,80,0.5913019015857603
10,100,0.4786750321224257
10,103,0.5141388034286906
10,118,0.4721418739430081
10,120,0.4912076134667585
10,126,0.7078155243644849
10,192,0.5231048898895355
11,14,0.43933536192056627
11,22,0.43355791968059704
11,39,0.46619790155907426
11,49,0.5686902484775072
11,69,0.46979381027018036
11,72,0.7046412671522195
11,73,0.4222733357417598
11,74,0.5300510796527871
11,82,0.550024294640384
11,91,0.5577843529908917
11,99,0.5208799619518318
11,104,0.5167744217858539
11,107,0.6602570272140177
11,109,0.4605652777963134
11,117,0.7132926059878474
11,133,0.5775668760444822
11,139,0.4857693148256415
11,141,0.4670052577254404
11,149,0.4333807097574825
11,153,0.47796825069638027
11,173,0.4556076091627258
11,174,0.4933281339193699
11,186,0.47127259892674106
11,191,0.42437171950090324
11,193,0.4492701064292933
11,196,0.5201190376315904
12,38,0.5042132056516498
12,42,0.43662019092615734
12,75,0.6325900229092463
12,106,0.44829227907553865
12,113,0.6711815503043826
12,127,0.42842732647403037
12,139,0.4939700061490205
12,169,0.4303766299014251
12,183,0.6447580132117072
13,17,0.46916290814674877
13,18,0.4409427098707201
13,20,0.5823885331970997
13,25,0.4597344042785804
13,29,0.4196914659147296
13,34,0.46745091551866486
13,38,0.5409451182994018
13,40,0.5601247108866512
13,45,0.46936235085634714
13,50,0.566077425410489
13,55,0.819638481728177
13,56,0.45696987270420036
13,59,0.5997909209065616
13,61,0.47800527541838894
13,64,0.5340158856413704
13,67,0.475404681406832
13,73,0.594448960719226
13,76,0.4945642022412229
13,79,0.7435167415030457
13,115,0.6145553452797865
13,119,0.5464318787564967
13,123,0.522715830228789
13,125,0.6273851640759858
13,149,0.6553101894189828
13,151,0.45231990378629455
13,156,0.47184631474725386
13,161,0.7261477615778542
13,164,0.4492720889139803
13,167,0.5145652728621998
13,168,0.5902990951312921
13,182,0.6283471726179101
13,184,0.5850633900909518
13,187,0.47249572061866696
13,197,0.4343542472673465
14,19,0.45194130762683404
14,22,0.44547646627047355
14,49,0.5340929378073768
14,58,0.43556743163722955
14,69,0.6555270523685942
14,81,0.4480966730393533
14,82,0.48091471369229716
14,85,0.45489864786253936
14,91,0.5045151979970709
14,97,0.44040281172498225
14,106,0.528075477643178
14,107,0.5097717212100285
14,115,0.4434392829333772
14,117,0.44327993588188863
14,127,0.495477327738472
14,139,0.4968410696198736
14,140,0.44923842099299843
14,150,0.4661783511889288
14,153,0.4257948339651025
14,163,0.45069336762074697
14,166,0.5729485120045065
14,174,0.6246218692622363
14,186,0.5120584287889298
14,187,0.4566954407009287
14,193,0.5696882124518716
15,22,0.47961921354133163
15,47,0.7400461720636212
15,51,0.5105381488458658
15,71,0.4551918471102297
15,109,0.43025636780321724
15,130,0.48416000203945453
15,135,0.48026662581250257
15,160,0.5928863073870805
16,26,0.4726184222767493
16,31,0.44169937224053046
16,34,0.45612003032964876
16,50,0.504683801501725
16,63,0.6971067994915188
16,64,0.43066898020629385
16,85,0.44985981908928596
16,93,0.42790589392199596
16,97,0.5301813866881517
16,99,0.5378259906559727
16,100,0.6425431545523576
16,114,0.5812225499509809
16,132,0.5214557254489938
16,136,0.5740720301794318
16,143,0.702502881051237
16,150,0.6168889626219032
16,156,0.5143231195392669
16,159,0.5641387518571654
16,163,0.4691888749989447
16,170,0.5074016941283357
16,171,0.4440782234684603
16,189,0.4859337081211961
17,25,0.4739884568970544
17,34,0.6601636916619706
17,38,0.5629399312023381
17,64,0.4482947869059121
17,73,0.5330300429416748
17,93,0.4505583610207721
17,114,0.44404057017091214
17,115,0.7351142082388924
17,127,0.4250293756416075
17,132,0.5151246612283664
17,144,0.4413177175851376
17,149,0.4387739512001621
17,151,0.4902898261991009
17,156,0.46232154509185885
17,164,0.8833627723414409
17,166,0.42514244140440716
17,170,0.4521133424442534
18,37,0.5823288868196231
18,40,0.4366225764021947
18,45,0.9955872209576362
18,47,0.4609734168734477
18,48,0.5732819738133282
18,55,0.48149309981559596
18,58,0.46104418489233734
18,67,0.4304003704363932
18,79,0.497435509642299
18,84,0.4709388810360046
18,94,0.5182276950209704
18,105,0.43264576992555803
18,119,0.42113537673848506
18,123,0.4210618963353859
18,148,0.4910196243224361
18,178,0.5143098822476065
19,22,0.4960515177279909
19,46,0.5835734994615972
19,54,0.5078816395105149
19,58,0.751594432540852
19,62,0.42187894289688377
19,70,0.5428711712861932
19,81,0.7876069931635286
19,82,0.43233235674904175
19,85,0.44533791199786676
19,89,0.5200961854462178
19,97,0.6431604745997085
19,104,0.4369437795423347
19,105,0.6706140245628094
19,109,0.5039945108925687
