Source,Target,Type,Weight
1,16,Undirected,0.497409
1,26,Undirected,0.748671
1,44,Undirected,0.558496
1,54,Undirected,0.570313
1,70,Undirected,0.473273
1,85,Undirected,0.549931
1,89,Undirected,0.511861
1,97,Undirected,0.438494
1,100,Undirected,0.502942
1,102,Undirected,0.826053
1,105,Undirected,0.421382
1,108,Undirected,0.582795
1,131,Undirected,0.934819
1,132,Undirected,0.424519
1,138,Undirected,0.610723
1,142,Undirected,0.578432
1,143,Undirected,0.529643
1,150,Undirected,0.549040
1,158,Undirected,0.639417
1,159,Undirected,0.758339
1,170,Undirected,0.576174
1,172,Undirected,0.487112
1,175,Undirected,0.611859
1,177,Undirected,0.614894
1,189,Undirected,0.607836
1,192,Undirected,0.416399
1,195,Undirected,0.465821
2,3,Undirected,0.460107
2,5,Undirected,0.440755
2,11,Undirected,0.633664
2,14,Undirected,0.687270
2,19,Undirected,0.435830
2,49,Undirected,0.416533
2,61,Undirected,0.437340
2,69,Undirected,0.450781
2,72,Undirected,0.575134
2,73,Undirected,0.445527
2,74,Undirected,0.429124
2,82,Undirected,0.717525
2,91,Undirected,0.595329
2,95,Undirected,0.428719
2,101,Undirected,0.453658
2,104,Undirected,0.491650
2,109,Undirected,0.452470
2,117,Undirected,0.623483
2,133,Undirected,0.590266
2,139,Undirected,0.457392
2,141,Undirected,0.452028
2,149,Undirected,0.418634
2,150,Undirected,0.535288
2,173,Undirected,0.493767
2,174,Undirected,0.716497
2,186,Undirected,0.470175
2,191,Undirected,0.469706
2,193,Undirected,0.454016
3,6,Undirected,0.455495
3,14,Undirected,0.577379
3,19,Undirected,1.178145
3,22,Undirected,0.454217
3,46,Undirected,0.656865
3,54,Undirected,0.484370
3,58,Undirected,0.781920
3,70,Undirected,0.484953
3,81,Undirected,0.826409
3,82,Undirected,0.420800
3,85,Undirected,0.468794
3,89,Undirected,0.521292
3,97,Undirected,0.539783
3,105,Undirected,0.670744
3,106,Undirected,0.433181
3,109,Undirected,0.478272
3,114,Undirected,0.425353
