Id,Label,x,y,z,Module,Strength
1,CC200_ROI_001,-39.593,-85.426,1.352,2,52.842721
2,CC200_ROI_002,-49.706,-60.803,23.208,1,52.400643
3,CC200_ROI_003,13.320,-64.373,24.032,1,54.153576
4,CC200_ROI_004,-36.617,-13.938,-2.309,4,54.902594
5,CC200_ROI_005,-6.757,45.743,7.824,1,49.933369
6,CC200_ROI_006,9.056,-35.944,47.124,5,68.568473
7,CC200_ROI_007,55.202,-47.490,41.915,3,46.697386
8,CC200_ROI_008,-40.660,-21.345,54.319,5,55.800646
9,CC200_ROI_009,-19.251,-62.068,-26.119,6,59.722709
10,CC200_ROI_010,43.324,-55.191,-32.250,6,50.288663
11,CC200_ROI_011,-58.913,-30.209,-2.404,1,55.199973
12,CC200_ROI_012,27.662,58.247,-1.617,3,44.104028
13,CC200_ROI_013,2.761,12.414,49.418,3,60.802175
14,CC200_ROI_014,53.803,-55.381,23.533,1,51.765289
15,CC200_ROI_015,13.491,12.260,-6.971,7,45.358446
16,CC200_ROI_016,-49.081,-65.356,-4.310,2,56.123230
17,CC200_ROI_017,46.013,9.125,32.138,3,52.063985
18,CC200_ROI_018,11.646,-20.009,9.467,7,59.374453
19,CC200_ROI_019,-9.887,-67.381,22.412,1,52.585012
20,CC200_ROI_020,-32.654,19.696,2.042,4,48.363112
21,CC200_ROI_021,-8.847,-38.009,69.279,5,48.031508
22,CC200_ROI_022,6.704,42.592,6.085,1,54.606849
23,CC200_ROI_023,-42.150,41.190,13.275,3,48.193008
24,CC200_ROI_024,-58.099,-26.922,16.005,4,58.159476
25,CC200_ROI_025,44.493,40.681,14.478,3,47.032674
26,CC200_ROI_026,43.225,-73.600,-10.938,2,60.181486
27,CC200_ROI_027,-30.510,-5.098,-32.588,1,33.731561
28,CC200_ROI_028,30.363,-33.675,63.450,5,51.729347
29,CC200_ROI_029,1.617,-16.520,34.792,1,54.229410
30,CC200_ROI_030,2.907,-28.005,-35.954,6,39.264307
31,CC200_ROI_031,29.681,-54.623,59.725,5,49.763145
32,CC200_ROI_032,43.535,9.918,-36.212,1,36.180497
33,CC200_ROI_033,-56.541,-43.312,26.475,4,53.650149
34,CC200_ROI_034,-45.606,8.000,31.682,3,52.918476
35,CC200_ROI_035,41.036,-4.710,10.819,4,44.283133
36,CC200_ROI_036,-40.123,-52.601,-33.239,6,44.849839
37,CC200_ROI_037,-13.385,-32.321,0.833,6,58.571612
38,CC200_ROI_038,42.396,23.821,37.621,3,50.037834
39,CC200_ROI_039,62.922,-42.964,-7.788,3,49.541824
40,CC200_ROI_040,1.616,33.263,24.293,1,56.544639
41,CC200_ROI_041,30.085,-39.271,-31.627,6,45.222793
42,CC200_ROI_042,-28.304,50.674,-11.609,3,34.723738
43,CC200_ROI_043,-38.923,5.731,-39.365,1,36.111564
44,CC200_ROI_044,13.547,-94.439,2.172,2,56.637470
45,CC200_ROI_045,-8.168,-17.881,10.574,7,61.393926
46,CC200_ROI_046,1.903,-38.220,32.194,1,53.021425
47,CC200_ROI_047,-13.793,12.598,-2.894,7,55.250475
48,CC200_ROI_048,18.470,-34.564,-1.792,6,54.124877
49,CC200_ROI_049,61.905,-21.054,-15.635,1,50.874720
50,CC200_ROI_050,-28.237,-6.313,58.024,5,57.336377
51,CC200_ROI_051,-0.068,38.865,-12.189,1,43.262412
52,CC200_ROI_052,-7.286,-45.373,-39.484,6,26.624117
53,CC200_ROI_053,44.582,29.221,-9.476,1,53.333662
54,CC200_ROI_054,-5.439,-87.245,24.990,2,56.943776
55,CC200_ROI_055,0.279,16.324,32.344,4,57.094659
56,CC200_ROI_056,-51.872,-50.202,42.133,3,46.500892
57,CC200_ROI_057,-28.429,31.071,-15.262,1,45.249658
58,CC200_ROI_058,1.506,-52.753,14.844,1,52.874499
59,CC200_ROI_059,36.712,17.250,3.575,4,46.354430
60,CC200_ROI_060,43.263,-19.895,53.662,5,53.407503
61,CC200_ROI_061,-39.106,20.308,42.195,3,51.392995
62,CC200_ROI_062,34.000,-31.405,-16.392,1,52.936632
63,CC200_ROI_063,-43.948,-52.727,-18.610,2,58.470309
64,CC200_ROI_064,28.761,-0.274,56.843,5,46.206682
65,CC200_ROI_065,12.272,-44.799,67.653,5,60.216262
66,CC200_ROI_066,61.433,-17.392,12.216,4,61.837722
67,CC200_ROI_067,-27.822,1.109,3.183,4,53.333190
68,CC200_ROI_068,1.597,-20.750,-7.597,6,36.189414
69,CC200_ROI_069,60.011,-44.489,10.777,4,58.132807
70,CC200_ROI_070,-11.296,-70.394,5.894,2,55.881100
71,CC200_ROI_071,29.589,24.554,-15.054,1,46.952563
